,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
3,"(1, 'donovan', 19)",1.3812315458049438,2.5197148697168843,0.32817935215900307,0.0665289436013452
4,"(1, 'donovan', 21)",1.3020902183898495,2.4254710808359907,0.3093754451392332,0.06404059073626943
0,"(1, 'elcajon', 11)",1.3158698010651253,2.5256812181622905,0.24540738635287795,0.0667280392076266
1,"(1, 'elcajon', 12)",1.3290057250455978,2.6239119454813147,0.24785721290013094,0.06932327718809779
2,"(1, 'elcajon', 13)",1.169806346403887,2.223999668454722,0.21816681086351575,0.05875766743927199
6,"(1, 'shafter', 15)",1.5147191142405674,2.519682623136107,0.2243052965377363,0.07679179980363715
5,"(1, 'shafter', 18)",1.3604004630196935,2.146170805987614,0.24361926611099954,0.06525316624031781
12,"(2, 'donovan', 15)",6.490283640722434,13.28724682310234,0.6110190693885175,0.3094719639756648
10,"(2, 'donovan', 18)",6.017916621768783,9.682994630330482,0.5795753028373918,0.22708346877594224
11,"(2, 'donovan', 20)",6.0757561239745765,9.815287644193432,0.5851457268086422,0.23018597555506634
7,"(2, 'elcajon', 17)",1.4171093854093806,2.3781256990338893,0.12587787166803902,0.06235115385207021
8,"(2, 'elcajon', 19)",1.6501099191986772,3.147898543574658,0.14693463397479609,0.0824831993913452
9,"(2, 'elcajon', 21)",1.6457586179402994,2.7241878390023175,0.14654717078202628,0.07138086745602155
16,"(3, 'donovan', 11)",1.8592569218595405,2.28996298676309,0.15678767147910833,0.07656440772282028
17,"(3, 'donovan', 12)",1.9584652486114167,2.665188497995752,0.1651079617412765,0.08914391417365487
18,"(3, 'donovan', 13)",1.9244413108108984,2.5215177066032464,0.163915815877269,0.08475762677947667
15,"(3, 'elcajon', 15)",1.5202591114246402,1.9767332929393964,0.09583357796931256,0.08764800938983057
13,"(3, 'elcajon', 18)",1.5241020842192694,1.8093379164354004,0.09556696176888782,0.08038069290997922
14,"(3, 'elcajon', 20)",1.4176377475465136,1.7954091927838127,0.08885999471211053,0.07980209576221317
