,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
3,"(1, 'donovan', 19)",0.3493811596522427,0.1268784290622964,0.09541391018129586,0.005055046136328151
4,"(1, 'donovan', 21)",0.2886655280104016,0.46648904804084346,0.08276509747273941,0.01378295602506438
0,"(1, 'elcajon', 11)",0.11777730285356824,-0.0976528484306396,0.06409123724586996,-0.0028889312153452806
1,"(1, 'elcajon', 12)",-0.10564567688992632,0.06321458986820261,0.0025523718616371482,0.0011782932461879003
2,"(1, 'elcajon', 13)",-0.062155536636584685,-0.02676761544303119,0.007019105276558246,-0.0010597642495965287
6,"(1, 'shafter', 15)",0.29849733732264205,-0.005101516441705201,0.04684121799280261,-0.0035824380789968857
5,"(1, 'shafter', 18)",-0.09929401117985748,-0.05710652007153527,-0.038415502385046096,-0.004066843773474993
12,"(2, 'donovan', 15)",-0.6428801909934316,-0.6529083341674751,-0.05976429517148421,-0.015094964310528647
10,"(2, 'donovan', 18)",-0.9926680015405402,-0.9442676377921608,-0.09103042714159987,-0.022658775337049672
11,"(2, 'donovan', 20)",-0.5363745915880105,-0.550744442422642,-0.04721714470807095,-0.013452397689113368
7,"(2, 'elcajon', 17)",-0.1200372876084348,-0.047715710023528146,-0.011506184276592113,0.002886920379199298
8,"(2, 'elcajon', 19)",-0.41325107590197696,0.006838171351358113,-0.02066130561095192,0.006070989569750607
9,"(2, 'elcajon', 21)",-0.5550069412322856,-0.21842498470102,-0.03336069974245026,-0.0015978256959990889
13,"(2, 'shafter', 11)",0.1214786183874299,0.1644769009127547,0.020105232007656904,0.00439885730944245
14,"(2, 'shafter', 12)",0.08914589407300255,0.12028601480004042,0.00470893662915417,0.0015997747445766208
15,"(2, 'shafter', 13)",0.2063299274776078,0.17124395701887707,0.009269592331040633,0.010015481430313167
19,"(3, 'donovan', 11)",-0.06635158436577804,0.012211820478466251,0.013321403139562538,-0.0015772779196827624
20,"(3, 'donovan', 12)",-0.051150706534315304,-0.2105808086198646,0.014522489945487216,-0.008270004812407916
21,"(3, 'donovan', 13)",-0.16377276057472834,0.0016554755928570586,0.00467985263610049,0.00010093065573418825
18,"(3, 'elcajon', 15)",-0.12010357363379143,0.007950090360406392,0.0008967826965957659,-0.004364079716179026
16,"(3, 'elcajon', 18)",0.18179695859379663,-0.008784829040031639,0.012485677159142394,0.0012469392993472717
17,"(3, 'elcajon', 20)",0.1279839092449997,0.07261484745898628,0.0068284079179519175,0.0076102340686143854
22,"(3, 'shafter', 17)",0.02168756558902274,0.144355447801507,0.0015982754460921456,0.0003257812273258498
23,"(3, 'shafter', 19)",-0.007476903702034576,0.27380776262859285,-0.0005232703777855452,-0.0017763970742679103
24,"(3, 'shafter', 21)",0.14760467453860215,-0.02488949448116351,0.01079801349161813,-0.007553747465910199
