,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(1, 'donovan', 19)",2.2384999597098454,3.9593605191925723,0.5286875929280442,0.10380934648272587
1,"(1, 'donovan', 21)",2.335914580818642,4.127349323729987,0.5516949203691771,0.10821379713350918
2,"(1, 'shafter', 18)",2.805144036365702,7.059773294407589,0.5083740705236967,0.21580952990476404
3,"(1, 'shafter', 15)",3.585504300683686,7.208775976370615,0.5301313174148681,0.2214655301336397
4,"(1, 'elcajon', 11)",2.468622226698031,5.752166575202882,0.45471576097957755,0.15213276831812386
5,"(1, 'elcajon', 12)",2.493803634457527,5.275428008426733,0.45935413086382354,0.13952403090076002
6,"(1, 'elcajon', 13)",2.0878296108333028,5.109706897007832,0.38457444805380914,0.13514105430936593
7,"(2, 'donovan', 18)",5.4260885332108,7.024738346822417,0.51487981355378,0.16575211933536224
8,"(2, 'donovan', 20)",5.641923430136679,7.4009516234598856,0.5353603182133376,0.17462905465252868
9,"(2, 'donovan', 15)",5.431237434651474,8.237811690147538,0.5100106371463053,0.1916159784516636
10,"(2, 'elcajon', 17)",3.0173475454601193,6.795698156821107,0.2682631584472661,0.1755932572066337
11,"(2, 'elcajon', 19)",2.9169119596925968,7.110166046433553,0.25650646868178273,0.18419425136112355
12,"(2, 'elcajon', 21)",2.927659516590649,5.9420451795107745,0.2574515838943675,0.15393319315558807
13,"(3, 'donovan', 11)",3.8689036769610277,5.166411407869071,0.32158317853586915,0.17346714036323804
14,"(3, 'donovan', 12)",3.60414926195051,6.091487107166197,0.29989352211351106,0.2042364673126342
15,"(3, 'donovan', 13)",4.046925440740685,5.965162586022952,0.3397602070037365,0.20049184725225933
16,"(3, 'elcajon', 18)",3.035447852979315,4.067051630325826,0.19017491158609381,0.18040883236164598
17,"(3, 'elcajon', 20)",2.8037767684892985,4.787610423719554,0.17590857082462474,0.2119625624241766
18,"(3, 'elcajon', 15)",2.7678800380974873,4.493117510914934,0.1734081337820896,0.19994910225312798
