,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,Calibration,NO2 CvMAE Diff,NO2 MAE Diff,O3 CvMAE Diff,O3 MAE Diff,Training Size,Board,Testing Location
22,"(3, 'shafter', 17)",4.539401048650668,6.4335780630809465,0.3316297618212965,0.28477814313979816,Split-NN,-0.6055279504654267,-8.288563120011048,-0.5069699046794465,-11.453233107804856,1.0,,
19,"(3, 'shafter', 17)",12.827964168661715,17.886811170885803,0.9371577122867232,0.7917480478192447,Linear,,,,,1.0,17.0,"(3, 'shafter')"
17,"(3, 'donovan', 12)",5.454274981021744,9.532250387283424,0.4538385110468477,0.3195989928876229,Split-NN,-0.07664572100436673,-0.9211356645609516,-0.003170548135754958,-0.09456368564208084,2.0,,
15,"(3, 'donovan', 12)",6.375410645582695,9.626814072925505,0.5304842320512144,0.32276954102337785,Linear,,,,,2.0,,
7,"(2, 'donovan', 15)",5.614835420929132,9.699231176112939,0.5272510776696454,0.2256093902052372,Split-NN,-0.08139572577356258,-0.8668044951289522,-0.0337826682307685,-1.4523593571086373,2.0,,
13,"(2, 'donovan', 15)",6.481639916058084,11.151590533221576,0.608646803443208,0.2593920584360057,Linear,,,,,2.0,,
10,"(2, 'elcajon', 17)",5.4985969022814185,10.599397163897212,0.4888634636251129,0.2738765950879272,Split-NN,-0.26357629839634467,-2.9646310794630075,-0.06837358480023908,-2.646150835139716,1.0,,
41,"(2, 'elcajon', 17)",8.463227981744426,13.245547999036928,0.7524397620214576,0.3422501798881663,Linear,,,,,1.0,17.0,"(2, 'elcajon')"
21,"(3, 'elcajon', 20)",3.8284132276034213,9.825537237292489,0.24019412207223195,0.4350074182503444,Split-NN,-0.13951317621233428,-2.223676768724785,0.09912115117964887,2.238855065589834,1.0,,
18,"(3, 'elcajon', 20)",6.052089996328206,7.5866821717026545,0.37970729828456623,0.3358862670706955,Linear,,,,,1.0,20.0,"(3, 'elcajon')"
4,"(1, 'elcajon', 13)",2.7796929902688783,5.929339708015915,0.5120144344849258,0.1568186269096739,Split-NN,-0.502037904981482,-2.7255310618931086,-0.009516484102853745,-0.3598199281789016,2.0,,
0,"(1, 'elcajon', 13)",5.505224052161987,6.2891596361948165,1.0140523394664078,0.16633511101252765,Linear,,,,,2.0,,
