,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,Calibration,NO2 CvMAE Diff,NO2 MAE Diff,O3 CvMAE Diff,O3 MAE Diff,Training Size,Board,Testing Location
18,"(3, 'donovan', 13)",5.2817050862316375,8.331434349145287,0.44342630960414,0.28002332523759915,Split-NN,-0.04512410644787723,-0.5374787588724219,-0.04223601482317724,-1.25663311929552,2.0,,
20,"(3, 'donovan', 13)",5.819183845104059,9.588067468440807,0.4885504160520172,0.3222593400607764,Random Forest,,,,,2.0,,
17,"(3, 'donovan', 12)",5.454274981021744,9.532250387283424,0.4538385110468477,0.3195989928876229,Split-NN,-0.04068902392210799,-0.4890046123865437,0.009233779470154857,0.2754035522302871,2.0,,
15,"(3, 'donovan', 12)",5.943279593408287,9.256846835053137,0.4945275349689557,0.31036521341746803,Random Forest,,,,,2.0,,
5,"(1, 'shafter', 15)",4.5950322727656845,9.147087397829372,0.6793941125271041,0.2810136653405789,Split-NN,0.05595197940162655,0.3784271107667827,-0.08316942290277829,-2.7071921189196715,2.0,,
9,"(1, 'shafter', 15)",4.216605161998902,11.854279516749044,0.6234421331254776,0.3641830882433572,Random Forest,,,,,2.0,,
16,"(3, 'donovan', 11)",4.921720054850899,7.233713129131117,0.4090932499890788,0.242878747288138,Split-NN,-0.07513262947223515,-0.9039058191672762,-0.0652027735319983,-1.941949076320907,2.0,,
6,"(3, 'donovan', 11)",5.825625874018175,9.175662205452024,0.48422587946131396,0.3080815208201363,Random Forest,,,,,2.0,,
21,"(3, 'elcajon', 20)",3.8284132276034213,9.825537237292489,0.24019412207223195,0.4350074182503444,Split-NN,-0.4036802535882608,-6.434190850410761,-0.25323819564702654,-5.7199054932039655,1.0,,
18,"(3, 'elcajon', 20)",10.262604078014183,15.545442730496454,0.6438743756604928,0.6882456138973709,Random Forest,,,,,1.0,20.0,"(3, 'elcajon')"
20,"(3, 'elcajon', 18)",3.941489339331232,9.080589282660618,0.2469396355760608,0.40280248655442696,Split-NN,-0.1605688334648403,-2.5628949514489103,-0.07326775423270271,-1.651713696062787,2.0,,
17,"(3, 'elcajon', 18)",6.504384290780142,10.732302978723405,0.4075084690409011,0.4760702407871297,Random Forest,,,,,2.0,,
2,"(1, 'elcajon', 11)",2.5342798083884395,6.362458135062068,0.4668097690864263,0.16827370291532634,Split-NN,-0.4083114210271967,-2.2166960898627517,-0.04461340110189638,-1.6868404976883298,2.0,,
7,"(1, 'elcajon', 11)",4.750975898251191,8.049298632750398,0.875121190113623,0.21288710401722272,Random Forest,,,,,2.0,,
24,"(3, 'shafter', 21)",4.435111378770813,6.514425132469195,0.32401079226738183,0.28835678601518344,Split-NN,-0.06203006276466111,-0.8490773880346207,-0.11425940525707218,-2.5812964262559808,2.0,,
10,"(3, 'shafter', 21)",5.284188766805434,9.095721558725176,0.38604085503204294,0.4026161912722556,Random Forest,,,,,2.0,,
4,"(1, 'elcajon', 13)",2.7796929902688783,5.929339708015915,0.5120144344849258,0.1568186269096739,Split-NN,-0.34471556434370265,-1.8714383292859713,-0.0777452862032742,-2.939562867500779,2.0,,
1,"(1, 'elcajon', 13)",4.65113131955485,8.868902575516694,0.8567299988286284,0.2345639131129481,Random Forest,,,,,2.0,,
12,"(2, 'elcajon', 21)",3.245558046774382,7.386587872739961,0.28540684291601864,0.19135516870452685,Split-NN,-0.09714779423035286,-1.1047345679216263,0.010794482457963162,0.41668272540687656,2.0,,
18,"(2, 'elcajon', 21)",4.350292614696008,6.969905147333084,0.3825546371463715,0.18056068624656368,Random Forest,,,,,2.0,,
