,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,Calibration,NO2 CvMAE Diff,NO2 MAE Diff,O3 CvMAE Diff,O3 MAE Diff,Training Size,Board,Testing Location
4,"(1, 'elcajon', 13)",2.663564951279584,5.886836850965345,0.4906238591879051,0.15569451528668868,Split-NN,-0.36610613964072336,-1.9875663682752656,-0.07886939782625943,-2.982065724551349,2.0,,
1,"(1, 'elcajon', 13)",4.65113131955485,8.868902575516694,0.8567299988286284,0.2345639131129481,RF,,,,,2.0,,
17,"(3, 'donovan', 12)",5.194793526274861,9.462374504035386,0.4322476162943181,0.317256181798334,Split-NN,-0.06227991867463756,-0.7484860671334266,0.006890968380865947,0.20552766898224917,2.0,,
15,"(3, 'donovan', 12)",5.943279593408287,9.256846835053137,0.4945275349689557,0.31036521341746803,RF,,,,,2.0,,
18,"(3, 'donovan', 13)",5.615760663387002,9.322370698807061,0.47147199359486996,0.3133291499134625,Split-NN,-0.017078422457147246,-0.2034231817170573,-0.008930190147313888,-0.26569676963374533,2.0,,
20,"(3, 'donovan', 13)",5.819183845104059,9.588067468440807,0.4885504160520172,0.3222593400607764,RF,,,,,2.0,,
6,"(1, 'shafter', 18)",3.1473604700190814,7.200477103253969,0.5703936884545711,0.22011069108610126,Split-NN,-0.1742405285772256,-0.9614372722198654,-0.13170282422279456,-4.308392134751677,2.0,,
4,"(1, 'shafter', 18)",4.108797742238947,11.508869238005646,0.7446342170317967,0.3518135153088958,RF,,,,,2.0,,
14,"(2, 'shafter', 12)",4.848286093176315,8.839783139983929,0.3611929929399026,0.280596405437464,Split-NN,-0.06211598184704992,-0.833781542941372,-0.08977679650336551,-2.8282878779396423,2.0,,
2,"(2, 'shafter', 12)",5.682067636117687,11.668071017923571,0.4233089747869525,0.3703732019408295,RF,,,,,2.0,,
16,"(3, 'donovan', 11)",4.940228421979448,8.444649257774477,0.4106316650098899,0.283537070990031,Split-NN,-0.07359421445142406,-0.8853974520387267,-0.024544449830105286,-0.7310129476775469,2.0,,
6,"(3, 'donovan', 11)",5.825625874018175,9.175662205452024,0.48422587946131396,0.3080815208201363,RF,,,,,2.0,,
15,"(2, 'shafter', 13)",5.387385027308401,9.160491989967763,0.3991383413383568,0.289071360699969,Split-NN,-0.009136461457352696,-0.12331973794568629,-0.05274966112088625,-1.6716040184725411,2.0,,
16,"(2, 'shafter', 13)",5.510704765254087,10.832096008440304,0.4082748027957095,0.3418210218208553,RF,,,,,2.0,,
2,"(1, 'elcajon', 11)",2.901241317727797,7.110750836370858,0.5344034171403258,0.18806447890799446,Split-NN,-0.3407177729732972,-1.849734580523394,-0.024822625109228252,-0.9385477963795399,2.0,,
7,"(1, 'elcajon', 11)",4.750975898251191,8.049298632750398,0.875121190113623,0.21288710401722272,RF,,,,,2.0,,
13,"(2, 'shafter', 11)",4.53305098146185,8.666114055627247,0.3344010925137324,0.2751125727819135,Split-NN,-0.047078987886339685,-0.6381900568570629,-0.058662495763302513,-1.8478831190151688,2.0,,
14,"(2, 'shafter', 11)",5.171241038318913,10.513997174642416,0.3814800804000721,0.333775068545216,RF,,,,,2.0,,
9,"(2, 'donovan', 20)",5.831941310815885,9.110415090428543,0.5533910544199399,0.21496467693298,Split-NN,-0.0404263920114718,-0.4260357006783684,0.014214141570826538,0.6024093433021065,1.0,,
40,"(2, 'donovan', 20)",6.257977011494253,8.508005747126436,0.5938174464314117,0.20075053536215345,RF,,,,,1.0,20.0,"(2, 'donovan')"
24,"(3, 'shafter', 21)",4.958833680539009,6.397412640469372,0.3622717655399493,0.28317730426037396,Split-NN,-0.023769089492093665,-0.3253550862664243,-0.11943888701188166,-2.6983089182558038,2.0,,
10,"(3, 'shafter', 21)",5.284188766805434,9.095721558725176,0.38604085503204294,0.4026161912722556,RF,,,,,2.0,,
1,"(1, 'donovan', 21)",2.359660592214542,4.523202032997781,0.5573032392579421,0.11859254664452523,Split-NN,-0.031296388219334004,-0.13251107970974818,-0.032389048975212414,-1.2353408061189395,2.0,,
5,"(1, 'donovan', 21)",2.4921716719242903,5.75854283911672,0.5885996274772761,0.15098159561973765,RF,,,,,2.0,,
8,"(2, 'donovan', 18)",5.87915923283703,8.723936382948752,0.5578715480089854,0.2058455237802161,Split-NN,-0.02937097965581037,-0.3095276445576065,-0.01646195659925545,-0.6976739618788361,2.0,,
19,"(2, 'donovan', 18)",6.188686877394637,9.421610344827588,0.5872425276647958,0.22230748037947154,RF,,,,,2.0,,
12,"(2, 'elcajon', 21)",3.7396692740343616,7.4540788122452435,0.3288578375952808,0.1931035727494746,Split-NN,-0.05369679955109069,-0.6106233406616468,0.01254288650291091,0.4841736649121593,2.0,,
18,"(2, 'elcajon', 21)",4.350292614696008,6.969905147333084,0.3825546371463715,0.18056068624656368,RF,,,,,2.0,,
21,"(3, 'elcajon', 20)",6.337666476375245,10.484576612753225,0.3976243275683449,0.4641851629701328,Split-NN,-0.24625004809214784,-3.9249376016389386,-0.22406045092723814,-5.060866117743229,1.0,,
18,"(3, 'elcajon', 20)",10.262604078014183,15.545442730496454,0.6438743756604928,0.6882456138973709,RF,,,,,1.0,20.0,"(3, 'elcajon')"
7,"(2, 'donovan', 15)",5.4728337606355115,10.1353403213,0.5139166657398475,0.2357535260158048,Split-NN,-0.013632558184398125,-0.14517669818703816,0.021320112687430004,0.9165784343818544,2.0,,
13,"(2, 'donovan', 15)",5.61801045882255,9.218761886918145,0.5275492239242456,0.2144334133283748,RF,,,,,2.0,,
23,"(3, 'shafter', 19)",6.75628071447564,18.792750631603948,0.4935857704851584,0.8318488680612295,Split-NN,0.09665093491938359,1.322973405392176,0.43535814611401896,9.835412885067402,2.0,,
12,"(3, 'shafter', 19)",5.433307309083464,8.957337746536545,0.3969348355657748,0.3964907219472105,RF,,,,,2.0,,
5,"(1, 'shafter', 15)",3.6439548615662813,9.930345403945154,0.5387734693259449,0.305076647755963,Split-NN,-0.08466866379953264,-0.5726503004326204,-0.05910644048739422,-1.9239341128038898,2.0,,
9,"(1, 'shafter', 15)",4.216605161998902,11.854279516749044,0.6234421331254776,0.3641830882433572,RF,,,,,2.0,,
11,"(2, 'elcajon', 19)",3.670236432653216,7.809265867581522,0.3227520746516859,0.20230496317039787,Split-NN,-0.06702956700473056,-0.7622394345605108,-0.020227079867368936,-0.780794706831009,2.0,,
3,"(2, 'elcajon', 19)",4.432475867213727,8.590060574412531,0.3897816416564165,0.2225320430377668,RF,,,,,2.0,,
20,"(3, 'elcajon', 18)",6.291580183788183,11.633280388981845,0.3941760040497362,0.5160363630160533,Split-NN,-0.013332464991164916,-0.2128041069919595,0.039966122228923595,0.9009774102584398,2.0,,
17,"(3, 'elcajon', 18)",6.504384290780142,10.732302978723405,0.4075084690409011,0.4760702407871297,RF,,,,,2.0,,
22,"(3, 'shafter', 17)",4.610795266532022,7.317663100892911,0.3368455264602127,0.3239115915843798,Split-NN,-0.028532346688960875,-0.3905553101416954,-0.1646136984236855,-3.718877675739863,1.0,,
19,"(3, 'shafter', 17)",5.001350576673717,11.036540776632775,0.3653778731491736,0.4885252900080653,RF,,,,,1.0,17.0,"(3, 'shafter')"
10,"(2, 'elcajon', 17)",6.055633101594957,8.386696650229869,0.5383878515008635,0.21670288291713974,Split-NN,-0.5617004716885754,-6.3178468088695094,-0.02042323937052451,-0.7904071736835796,1.0,,
41,"(2, 'elcajon', 17)",12.373479910464466,9.177103823913448,1.100088323189439,0.23712612228766425,RF,,,,,1.0,17.0,"(2, 'elcajon')"
0,"(1, 'donovan', 19)",2.536063631659238,4.879310512317092,0.5989660044970784,0.1279292535030948,Split-NN,-0.1420879069915223,-0.6016100591924962,-0.038596477229871334,-1.472096427746001,2.0,,
0,"(1, 'donovan', 19)",3.1376736908517344,6.351406940063093,0.7410539114886007,0.16652573073296614,RF,,,,,2.0,,
