,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,Calibration,NO2 CvMAE Diff,NO2 MAE Diff,O3 CvMAE Diff,O3 MAE Diff,Training Size,Board,Testing Location
9,"(2, 'donovan', 20)",5.638952962461845,8.01637205721318,0.5350784514813031,0.18915019923338536,Split-NN,-0.06112217671590037,-0.6441393379047078,-0.014800461983212332,-0.6272581808368933,1.0,,
40,"(2, 'donovan', 20)",6.283092300366553,8.643630238050074,0.5962006281972034,0.2039506612165977,NN[2],,,,,1.0,20.0,"(2, 'donovan')"
8,"(2, 'donovan', 18)",5.750657211389692,7.402800700873478,0.5456780321016919,0.17467268453381202,Split-NN,-0.013630559067153047,-0.14364637787029366,-0.031075812230869138,-1.3170235814310134,2.0,,
5,"(2, 'donovan', 18)",5.8943035892599855,8.719824282304492,0.5593085911688449,0.20574849676468115,NN[2],,,,,2.0,,
24,"(3, 'shafter', 21)",4.0218734205342574,6.01895110552316,0.2938213456428666,0.2664249508863936,Split-NN,-0.03427547545263493,-0.46916817223579965,-0.09476342702535406,-2.1408521685366937,2.0,,
13,"(3, 'shafter', 21)",4.491041592770057,8.159803274059854,0.32809682109550153,0.3611883779117477,NN[2],,,,,2.0,,
18,"(3, 'donovan', 13)",5.666442087962994,9.716953849149863,0.4757269598791097,0.3265912703613125,Split-NN,-0.003437889890941015,-0.040949127576796585,0.006056669661565428,0.1802019371671122,2.0,,
10,"(3, 'donovan', 13)",5.707391215539791,9.536751911982751,0.4791648497700507,0.3205346006997471,NN[2],,,,,2.0,,
6,"(1, 'shafter', 18)",3.2180990811686225,8.109606603620637,0.5832135918987721,0.2479017832238761,Split-NN,-0.14367369766095572,-0.7927733524274085,0.018732225221403997,0.6127869488490889,2.0,,
20,"(1, 'shafter', 18)",4.010872433596031,7.496819654771548,0.7268872895597278,0.2291695580024721,NN[2],,,,,2.0,,
23,"(3, 'shafter', 19)",7.58487684296772,24.488934254717325,0.5541195576066018,1.0839867265388081,Split-NN,-0.03485338633943036,-0.47707870858554635,0.32077229373916893,7.246741514257959,2.0,,
9,"(3, 'shafter', 19)",8.061955551553266,17.242192740459366,0.5889729439460322,0.7632144327996392,NN[2],,,,,2.0,,
17,"(3, 'donovan', 12)",5.839301097986053,9.481704662453133,0.4858757076028045,0.31790428680100064,Split-NN,0.10583587069808953,1.2719456978468147,0.03035809257451494,0.9054500988442058,2.0,,
16,"(3, 'donovan', 12)",4.567355400139238,8.576254563608927,0.380039836904715,0.2875461942264857,NN[2],,,,,2.0,,
0,"(1, 'donovan', 19)",2.3982388691594743,4.6932140299198375,0.5664146338277106,0.1230500428005714,Split-NN,0.005831011549202403,0.0246889075752037,-0.067476450246319,-2.5735986414767957,2.0,,
0,"(1, 'donovan', 19)",2.3735499615842706,7.266812671396633,0.5605836222785082,0.1905264930468904,NN[2],,,,,2.0,,
16,"(3, 'donovan', 11)",4.985720585821686,8.12467862106372,0.41441297255031256,0.27279375479460005,Split-NN,0.024085376282104887,0.289766402841968,0.021423340193273244,0.6380562274642925,2.0,,
12,"(3, 'donovan', 11)",4.695954182979718,7.486622393599428,0.3903275962682077,0.2513704146013268,NN[2],,,,,2.0,,
22,"(3, 'shafter', 17)",4.377042298076798,7.1321993906921435,0.3197685067338174,0.3157021612342801,Split-NN,-0.016121185658229176,-0.2206693593498752,-0.07481149940237553,-1.6901073099034924,1.0,,
19,"(3, 'shafter', 17)",4.597711657426673,8.822306700595636,0.3358896923920466,0.3905136606366556,NN[2],,,,,1.0,17.0,"(3, 'shafter')"
1,"(1, 'donovan', 21)",3.0505905760552037,4.338699069459357,0.7204866730811352,0.11375511595939125,Split-NN,-0.08248323814882652,-0.3492397547108994,-0.013409757496608499,-0.511457457376955,2.0,,
4,"(1, 'donovan', 21)",3.399830330766103,4.850156526836312,0.8029699112299618,0.12716487345599975,NN[2],,,,,2.0,,
15,"(2, 'shafter', 13)",4.879249846111471,10.273135487296932,0.3614918333626799,0.3241822881587951,Split-NN,-0.01065166320876737,-0.14377123153447968,0.01541108434802324,0.48836769711444994,2.0,,
8,"(2, 'shafter', 13)",5.023021077645951,9.784767790182482,0.3721434965714473,0.30877120381077183,NN[2],,,,,2.0,,
7,"(2, 'donovan', 15)",5.58804457185568,10.182316682650214,0.524735330904743,0.23684622171980896,Split-NN,-0.06464504540430083,-0.6884220935648111,0.0165702588591696,0.7123762498401032,2.0,,
11,"(2, 'donovan', 15)",6.276466665420491,9.46994043281011,0.5893803763090438,0.22027596286063936,NN[2],,,,,2.0,,
12,"(2, 'elcajon', 21)",3.7165834427995663,7.619444679342425,0.3268277231700086,0.197387501126355,Split-NN,0.0009851621605788674,0.011202958362793503,-0.0014570656319723152,-0.05624485295995374,2.0,,
3,"(2, 'elcajon', 21)",3.705380484436773,7.675689532302378,0.3258425610094297,0.19884456675832732,NN[2],,,,,2.0,,
19,"(3, 'elcajon', 15)",3.7061499740272126,8.514354264851281,0.23219089760636624,0.3788989465302093,Split-NN,-0.0003329220159913604,-0.00531398488760404,0.014647965494438586,0.32915891854828594,2.0,,
7,"(3, 'elcajon', 15)",3.7114639589148166,8.185195346302995,0.2325238196223576,0.3642509810357707,NN[2],,,,,2.0,,
14,"(2, 'shafter', 12)",5.440764391314421,9.478119844042528,0.4053320981089712,0.3008587785954064,Split-NN,0.025186493486529182,0.3380777824971073,-0.006528411496646347,-0.20566814385579768,2.0,,
14,"(2, 'shafter', 12)",5.102686608817313,9.683787987898326,0.380145604622442,0.30738719009205273,NN[2],,,,,2.0,,
