,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",5.545892845111331,7.397651715719349,0.5221106615259071,0.17229798134637847
3,"(2, 'donovan', 18)",5.4596551510752445,6.9360981176607925,0.5252123480297749,0.1628015413445118
4,"(2, 'donovan', 20)",5.52874298065589,7.45983874897733,0.532463822402034,0.17494650408260537
0,"(2, 'elcajon', 17)",3.4474781716495917,6.867713644760067,0.3062273271546304,0.18006191609230604
1,"(2, 'elcajon', 19)",4.226384949748572,7.966233616279245,0.37549880211612485,0.20867823299524385
2,"(2, 'elcajon', 21)",2.892022664624248,6.441792266776161,0.25751906484406756,0.16879185546264477
6,"(2, 'shafter', 11)",4.440442169554626,7.111064277297172,0.3307563653846375,0.2253739430468961
7,"(2, 'shafter', 12)",4.725477420074325,7.880236530860297,0.35154952536170736,0.2491998240955811
8,"(2, 'shafter', 13)",4.595196890491018,8.32415786893271,0.3388559742779634,0.2650372222564965
12,"(3, 'donovan', 11)",3.6097951653511338,4.9649092516103455,0.3044063109988402,0.16600053963909656
13,"(3, 'donovan', 12)",3.471516961266685,5.746780884286556,0.2926644878561786,0.1922155008206319
14,"(3, 'donovan', 13)",4.117547078675563,6.050154988451296,0.3507140660036519,0.20336830359202035
11,"(3, 'elcajon', 15)",2.7095686972852335,4.359333625821628,0.17080315552722522,0.19329209253174268
9,"(3, 'elcajon', 18)",3.1139390994795804,4.353854039621474,0.19525330991712736,0.1934220254573332
10,"(3, 'elcajon', 20)",2.7674535307768187,4.495661435076852,0.1734666220270914,0.19982252836759912
15,"(3, 'shafter', 17)",3.5107519615034395,4.757333457822361,0.25648398226211033,0.20861650970807386
16,"(3, 'shafter', 19)",3.4357676785482,4.329063943831944,0.2469165211360881,0.18923408066870806
17,"(3, 'shafter', 21)",3.340423267342292,4.774748959112609,0.24404032852325494,0.2093802066669267
21,"(4, 'donovan', 17)",5.414237031311649,9.3108417171537,0.7107814543512118,0.25047310078490154
22,"(4, 'donovan', 19)",4.010550386142451,8.089702955076524,0.5302241919943718,0.21671404399540192
23,"(4, 'donovan', 21)",6.107572548462848,13.762282172955375,0.801802594427654,0.37022232730970206
18,"(4, 'elcajon', 11)",2.853963706230345,3.4591054382691304,0.1475593764321659,0.19477774367142697
19,"(4, 'elcajon', 12)",3.66228410708044,4.314536371480837,0.18935221845270547,0.24294595074437825
20,"(4, 'elcajon', 13)",3.552515647800239,4.676433151648059,0.18362543342741913,0.2636557659390677
26,"(4, 'shafter', 15)",3.5169218428176787,4.723803786844629,0.28333421640998624,0.23926313347198744
24,"(4, 'shafter', 18)",3.2162606777997604,3.592807593572802,0.2605894274241475,0.1793241396558714
25,"(4, 'shafter', 20)",3.390075732583868,3.959805615439992,0.2748162228764045,0.19736001726689445
