,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",0.0855022775609271,0.11601684843483184,0.009396574731022511,0.0029289481430909148
3,"(2, 'donovan', 18)",-0.14686712936385238,-0.08204639437047234,-0.00922413266908717,-0.0022281189388429212
4,"(2, 'donovan', 20)",-0.152672997713303,-0.09975548091405173,-0.006568471302497603,-0.0034127789636472505
6,"(2, 'elcajon', 17)",-0.03219051640026738,-0.12001767476865677,-0.0031282269726459755,-0.0005487472103278823
7,"(2, 'elcajon', 19)",0.014116599944848485,-0.09381404367064672,0.0010706687558768024,-0.0006517474300920256
8,"(2, 'elcajon', 21)",-0.09014950187564841,-0.16053831130432883,-0.004704974746825408,-0.0024483265729875747
0,"(2, 'shafter', 11)",0.05876030092055906,-0.004796882781610279,0.0074662662518749645,-0.0005303151250386218
1,"(2, 'shafter', 12)",-0.029724243447821763,0.04395144606988044,-0.0026893410346980895,0.000481991458777864
2,"(2, 'shafter', 13)",-0.09122149253459888,-0.14460256483883427,-0.00833816314988678,-0.0022231905378647387
12,"(3, 'donovan', 11)",-0.07387379249361414,-0.08739661708490765,-0.0016266812772570138,-0.00362298574154421
13,"(3, 'donovan', 12)",-0.12514215515878968,-0.02514132611013853,-0.00651239959321287,-0.00129864926162912
14,"(3, 'donovan', 13)",-0.1067018574829417,-0.10248293656969576,-0.0038703786381265592,-0.0034238965010622846
17,"(3, 'elcajon', 15)",-0.005809409016992895,-0.014500099149811874,0.0007808898371346462,-0.0013537484024255808
15,"(3, 'elcajon', 18)",-0.008915171369748176,-0.02929018244795767,-0.0003704246209494666,-0.0008546642224614431
16,"(3, 'elcajon', 20)",0.00016152028286686715,-0.019749006073560338,-0.00016283424841670446,-6.154375544714652e-05
9,"(3, 'shafter', 17)",-0.017704258148306007,0.016522266384948914,-0.001290330996104705,-0.001231370274507565
10,"(3, 'shafter', 19)",0.02015862267556523,0.09784343456263045,0.0034136372765112277,0.002940721709415256
11,"(3, 'shafter', 21)",0.011791469858154713,0.018084318102116193,0.0008640917334735709,-0.0010179968451024257
21,"(4, 'donovan', 17)",-0.33492325561774017,0.11482849784655613,-0.008137858391353059,-0.003243231374694122
22,"(4, 'donovan', 19)",-0.053308462686325164,0.25804082087633695,0.03759762492767532,-0.003322839609449596
23,"(4, 'donovan', 21)",0.6463009248889042,0.768783327553793,0.11179522460301672,0.014893307810541795
24,"(4, 'elcajon', 11)",-0.02794149777738575,-0.007515593640680773,-0.00155419870044618,0.0008794734801443327
25,"(4, 'elcajon', 12)",-0.005152150686137169,-0.03098063660561934,-0.00040548089464415016,-0.00010004770432942012
26,"(4, 'elcajon', 13)",-0.08892082976228854,-0.023562057946016957,-0.004274690582082352,-0.0018789568879883922
20,"(4, 'shafter', 15)",-0.015319395523883284,-0.015208929247342517,0.00033675990390280575,-0.0017911762263821407
18,"(4, 'shafter', 18)",0.002276932404905452,-0.022236120802701542,0.0011107715207182012,-0.0009528740565703242
19,"(4, 'shafter', 20)",-0.0474197821563469,-0.053857274208313655,-0.002167756824354272,-0.0038458527374701235
