,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,Calibration,NO2 CvMAE Diff,NO2 MAE Diff,O3 CvMAE Diff,O3 MAE Diff,Training Size
11,"(3, 'donovan', 13)",4.193257873315427,6.328144812901164,0.3520455674115268,0.21269123644061924,Split-NN,-0.06425945815311529,-0.7654022768039859,-0.09504388615807749,-2.8278150301558123,2.0
8,"(3, 'donovan', 13)",4.958660150119413,9.155959843056976,0.4163050255646421,0.30773512259869673,Random Forest,,,,,2.0
12,"(3, 'elcajon', 15)",4.526757936434687,10.147427778075489,0.2835988827544527,0.4515726707516021,Split-NN,-0.15844374146870677,-2.529052502625251,-0.014928666959695469,-0.3354666471385759,2.0
10,"(3, 'elcajon', 15)",7.055810439059938,10.482894425214065,0.4420426242231595,0.4665013377112976,Random Forest,,,,,2.0
10,"(3, 'donovan', 12)",4.3368161118271065,7.916766437037634,0.3608571576834744,0.2654340732561977,Split-NN,0.01943773525592718,0.23360457632733667,-0.0478259008735204,-1.426442665072333,2.0
5,"(3, 'donovan', 12)",4.10321153549977,9.343209102109967,0.34141942242754725,0.3132599741297181,Random Forest,,,,,2.0
6,"(2, 'shafter', 11)",4.689502541685873,8.883192988880168,0.3459424523789417,0.28200391340362896,Split-NN,-0.06171116034855095,-0.8365398386778944,-0.006003535615604294,-0.18911285607833683,2.0
1,"(2, 'shafter', 11)",5.5260423803637675,9.072305844958505,0.4076536127274927,0.28800744901923325,Random Forest,,,,,2.0
19,"(4, 'donovan', 19)",3.928254915259735,9.099683196921095,0.4753939069422609,0.2555922842762003,Split-NN,-0.17982180431039296,-1.4858959619332484,-0.008741881295415976,-0.31123142296194395,2.0
19,"(4, 'donovan', 19)",5.414150877192983,9.41091461988304,0.6552157112526539,0.26433416557161626,Random Forest,,,,,2.0
24,"(4, 'shafter', 15)",5.9482017850683375,9.819080351175284,0.4764858530587471,0.4994350685069126,Split-NN,-0.0069198946067050016,-0.0863843683665717,0.005382728761662292,0.1058264618408824,2.0
9,"(4, 'shafter', 15)",6.034586153434909,9.713253889334402,0.4834057476654521,0.4940523397452503,Random Forest,,,,,2.0
18,"(4, 'donovan', 17)",8.191782458483825,12.224744492106966,1.0209874638489314,0.3370576117623817,Split-NN,0.1760432947527215,1.412464329828854,0.02008660241055965,0.7285211002941008,2.0
13,"(4, 'donovan', 17)",6.779318128654971,11.496223391812865,0.8449441690962098,0.31697100935182204,Random Forest,,,,,2.0
17,"(3, 'shafter', 21)",4.074332326699266,6.363821327410524,0.29765377515734603,0.28166130747887497,Split-NN,-0.04904074842164696,-0.6712775825343371,-0.22800130876231817,-5.151433842179322,2.0
24,"(3, 'shafter', 21)",4.745609909233603,11.515255169589846,0.346694523578993,0.5096626162411931,Random Forest,,,,,2.0
26,"(4, 'shafter', 20)",4.439655216205928,5.227064301410072,0.35768470881104936,0.262037390437053,Split-NN,-0.0032011799868850166,-0.039733695840758365,-0.06548284920490599,-1.306237491003433,2.0
21,"(4, 'shafter', 20)",4.479388912046686,6.533301792413505,0.3608858887979344,0.327520239641959,Random Forest,,,,,2.0
9,"(3, 'donovan', 11)",4.612072218206063,6.018091141323858,0.3833553294179421,0.20206309144113768,Split-NN,0.011930790271032388,0.14353698025750372,-0.048778767051745636,-1.452789145138489,2.0
2,"(3, 'donovan', 11)",4.46853523794856,7.4708802864623465,0.3714245391469097,0.2508418584928833,Random Forest,,,,,2.0
16,"(3, 'shafter', 19)",4.227555502614171,6.489038493031787,0.301505779857874,0.2856088975559437,Split-NN,-0.026550761725650407,-0.3722808195742786,-0.12805947326180167,-2.909513178700733,2.0
18,"(3, 'shafter', 19)",4.59983632218845,9.39855167173252,0.32805654158352443,0.4136683708177454,Random Forest,,,,,2.0
1,"(2, 'donovan', 18)",5.6153885722088965,7.8468647140196,0.5352505689791229,0.18453645307675676,Split-NN,-0.04749652193411802,-0.49829265384474386,-0.019567793088179186,-0.8320622974746543,2.0
17,"(2, 'donovan', 18)",6.11368122605364,8.678927011494254,0.582747090913241,0.20410424616493594,Random Forest,,,,,2.0
14,"(3, 'elcajon', 20)",3.415662154613446,5.612406427756691,0.214298176228042,0.2484788741162856,Split-NN,-0.08591436840736602,-1.3693744943227237,-0.002984011016887056,-0.06740002614401774,2.0
22,"(3, 'elcajon', 20)",4.7850366489361695,5.679806453900709,0.30021254463540803,0.25146288513317266,Random Forest,,,,,2.0
20,"(4, 'donovan', 21)",5.534388692755448,12.138045588432,0.6897816810941557,0.3346671711741167,Split-NN,-0.09808449966386179,-0.7869703715720382,0.031082456565925787,1.1273297989583142,2.0
25,"(4, 'donovan', 21)",6.321359064327487,11.010715789473686,0.7878661807580175,0.3035847146081909,Random Forest,,,,,2.0
15,"(3, 'shafter', 17)",4.094222719161534,6.409948139790066,0.29910688450902023,0.2837028698698073,Split-NN,-0.0293758195093749,-0.40210090057503933,-0.16379437918560097,-3.70075028374095,2.0
12,"(3, 'shafter', 17)",4.4963236197365735,10.110698423531016,0.32848270401839513,0.4474972490554083,Random Forest,,,,,2.0
