,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",0.06280485917067402,0.07825839804761348,0.007197007170994363,0.0020328292076222942
0,"(2, 'donovan', 18)",-0.11930272396603758,-0.12241072743608061,-0.005968338880707913,-0.003235718325787479
1,"(2, 'donovan', 20)",-0.1586309386367315,-0.037238850276132496,-0.007361989872509023,-0.0019007198652541135
3,"(2, 'elcajon', 17)",-0.03149341648456039,-0.11857739601129591,-0.0030426490310959675,-0.0008801507318630108
4,"(2, 'elcajon', 19)",0.02148616346416743,-0.004842693117479868,0.0017232738342886078,0.0015299757584041895
5,"(2, 'elcajon', 21)",-0.10098728276330649,-0.12733312634246108,-0.005902589539242747,-0.0017327091469981626
6,"(2, 'shafter', 11)",0.03534932855623474,-0.03272797238296654,0.005589257300433581,-0.001377693680128661
7,"(2, 'shafter', 12)",0.003581304686468556,-0.039990230327453524,-0.00017568008553192627,-0.0020333578570016497
8,"(2, 'shafter', 13)",-0.07053518582199647,-0.16930858521082204,-0.006682206580984396,-0.003346701856972778
9,"(3, 'donovan', 11)",-0.09536420944782753,-0.0753861530006743,-0.00365493534535577,-0.003192127388449678
10,"(3, 'donovan', 12)",-0.10837337210842479,-0.04983082232263669,-0.005432850906256836,-0.002070888108077429
11,"(3, 'donovan', 13)",-0.11233613504930462,-0.11084101130771717,-0.004815837490749431,-0.0037076428016589724
14,"(3, 'elcajon', 15)",-0.008029939977487466,-0.05529526030474141,0.0005315108681520075,-0.0031260429075063156
12,"(3, 'elcajon', 18)",-0.0357880088768443,-0.06953585820316288,-0.0020120232038743358,-0.002701201589030755
13,"(3, 'elcajon', 20)",-0.005108453458981366,-0.0339823666938468,-0.0004704149141608327,-0.0008185692680874046
15,"(3, 'shafter', 17)",-0.025181491569930436,-0.04176048437853552,-0.0018368432819617642,-0.0035267215905301352
16,"(3, 'shafter', 19)",0.027353191112270636,0.09370590010082225,0.003845730457967045,0.002809838725049585
17,"(3, 'shafter', 21)",-0.006695281845418233,0.0014943676440841713,-0.0004865890201099232,-0.001636799976517056
18,"(4, 'donovan', 17)",-0.32020279119670203,-0.6836124783066317,-0.010058353387086938,-0.024727198817259183
19,"(4, 'donovan', 19)",-0.07112589053688545,0.21990559907380458,0.03475547505384302,-0.0041387414899857755
20,"(4, 'donovan', 21)",0.2770179215584112,0.5305483332201364,0.060988514959418594,0.009699644860420853
21,"(4, 'elcajon', 11)",-0.015688013384631105,-0.021080634361291484,-0.0009160261756967214,2.9331879775440495e-05
22,"(4, 'elcajon', 12)",-0.023821783226716242,-0.04011200153665717,-0.0013671484229799136,-0.0007754825153608036
23,"(4, 'elcajon', 13)",-0.04675322349836275,-0.014791727906371399,-0.0021131740384531805,-0.0013342936890276547
26,"(4, 'shafter', 15)",-0.028382025663505672,-0.04106000717922509,-0.000801910257404781,-0.0029785660679159665
24,"(4, 'shafter', 18)",0.0011126672025811857,-0.011779864865826717,0.0009023211475915061,-0.0004512245961672823
25,"(4, 'shafter', 20)",-0.054982822710240686,-0.05080627266808513,-0.0030013240540579245,-0.003519807034916833
