,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",0.5058698184006266,5.373381570540089,1.0000739973047743,86.20797571350789,0.34640988930346417,9.230808607013376,9.284825023311312,0.17661453725349832,7.582983992759256,1.432789917337126,109.07320798099752,0.6252119174268722,10.345062642128676,10.443811946841896
0,"(2, 'donovan', 18)",0.5369251194152938,5.581411032992723,2.525639140034253,99.24321191669075,0.23511193127576757,9.636615535643571,9.962088732624839,0.1982709939612585,8.447260736255798,0.2639288046271089,128.67983036436954,0.5575660544804562,11.340642484756389,11.343713252915446
1,"(2, 'donovan', 20)",0.507571296366439,5.270275883362325,0.6578838047482273,80.70786805675567,0.37938076369108753,8.959634862188382,8.983755787907175,0.17582654516882404,7.497364303603826,1.8528296371843396,107.61667911349997,0.6303552009167905,10.207041759029243,10.373845917185196
3,"(2, 'elcajon', 17)",0.26786173084719783,3.0155619313807844,-0.502214940067281,16.83676191999389,0.7395293346024171,4.072412316486648,4.103262350861067,0.15307243133035076,5.8383118879238,0.7889554142762938,57.05565011550575,0.8657340352770175,7.512203372686535,7.55351905508325
4,"(2, 'elcajon', 19)",0.2691233844575001,3.0290882828031624,-0.35491508856698006,18.225747307134597,0.7176506412073699,4.254383927724486,4.269162365984058,0.16609095345462915,6.340476041889306,0.546609580377773,67.44706645695636,0.84120526099822,8.194405679680782,8.212616297925793
5,"(2, 'elcajon', 21)",0.2460250373038458,2.7629410054691688,0.4323518249313585,15.792204344714664,0.7550707787084718,3.95035140779448,3.973940656919107,0.14118200659789173,5.388086740426366,-0.07594909104603698,48.710018936637354,0.8852588946421911,6.978843075416554,6.979256331203014
6,"(2, 'shafter', 11)",0.30893447202020907,4.147480746416921,-0.1710521118855205,36.949468410966446,0.5623665675399546,6.076200261488882,6.078607440110477,0.2069414509192066,6.529476918356112,-0.4675516166199479,79.2653482498227,0.850820480249189,8.890823568428642,8.903108909241912
7,"(2, 'shafter', 12)",0.30689553759752447,4.1252450326779515,0.7927236776769992,36.97246208160423,0.5780460592162058,6.028602760761245,6.080498506011183,0.20773958589204808,6.569174274474677,-0.5166013287760163,75.08048032467816,0.8582495513207065,8.64948573050907,8.664899325709339
8,"(2, 'shafter', 13)",0.31143152535921853,4.223296283859022,-0.15983332993303448,36.078847859862535,0.5830797240978305,6.00444012087818,6.006567061130887,0.22619779076642982,7.1043082323030395,0.5705139282463023,89.06171307166241,0.8326474522415922,9.419990811966482,9.437251351514508
9,"(3, 'donovan', 11)",0.2916742073987812,3.4588118106715466,0.12301029605110132,37.78638535927213,0.6889671176752944,6.145832259932811,6.147063149120247,0.15565613358731467,4.65551846637214,0.13121180514900802,40.42109977065516,0.8074781333960042,6.356404902019909,6.357759021121764
10,"(3, 'donovan', 12)",0.2723603677511641,3.2306742890160223,0.7355395983332251,36.82336166273711,0.6979564558383722,6.023482643870682,6.068225577772889,0.17079242976990516,5.106282617125917,0.3157621247106485,47.10759979803445,0.7755839115441056,6.856230311846465,6.863497635902154
11,"(3, 'donovan', 13)",0.3103659952029459,3.643841866481673,0.44514034772238553,41.02776123372844,0.6663555540040176,6.389805280362438,6.405291658755941,0.17600829408001348,5.236201707092271,0.6336713414402492,48.63115614589076,0.7657920942249059,6.944754621005801,6.9736042435666485
14,"(3, 'elcajon', 15)",0.16573644088698247,2.6291918954345777,-0.4796968818449351,12.10109178242034,0.8810704095495832,3.4454292460146227,3.4786623553343516,0.1774827777392644,4.002784753731933,-0.6104965433132196,30.803563694209867,0.9009503370962926,5.516417106126181,5.550095827479907
12,"(3, 'elcajon', 18)",0.1857473290918306,2.962335803313392,0.28147976261389357,16.005165379707076,0.8449117726352022,3.990731089814005,4.000645620360179,0.1549591184465543,3.488069066744096,-0.7369126626425692,23.665835021014395,0.9237868318218474,4.808616719273734,4.864754363892836
13,"(3, 'elcajon', 20)",0.15690761177600943,2.503274227288858,0.46489246729455036,11.47443953091803,0.888844942374636,3.3553412081662612,3.387394209553714,0.16600028279566176,3.7347193816076056,-0.4486458840017819,28.71504670476122,0.9075299478661092,5.339828044260822,5.358642244520642
15,"(3, 'shafter', 17)",0.2387889642270032,3.2685426089829055,0.3813620402084412,28.982068175469106,0.6591819461932331,5.36997496926356,5.383499621572301,0.17914494192273836,4.085257812055628,-0.4248136632960332,33.742056944247,0.9129907195722895,5.793236624692271,5.808791349691173
16,"(3, 'shafter', 19)",0.248314394391866,3.455218656266534,0.22992680578646946,32.54785627559843,0.6240917134602288,5.700437696538265,5.705072854539058,0.19662886414978342,4.498232681446471,-0.5600950280776973,43.892812260893095,0.8935879035283214,6.601447253611421,6.625165074237252
17,"(3, 'shafter', 21)",0.20950623296215465,2.8677206733612683,0.16486003303706673,24.044133315312276,0.7172501744050385,4.900709589371618,4.903481754357028,0.18608732556731564,4.243573345354516,-0.10714706033961435,35.80867803654364,0.9076616071694928,5.983075921970896,5.984035263644729
18,"(4, 'donovan', 17)",0.5978950033747771,4.554346836557136,-1.581784189271787,39.02025902298675,0.41467614973641476,6.0430305120540115,6.246619807782986,0.24005555406885218,8.923590039228065,5.044635638463532,134.529540051165,0.1140277404595551,10.444194139928651,11.598686996861542
19,"(4, 'donovan', 19)",0.524838625864019,3.9698146282313678,-1.8559055440401366,29.16541842637411,0.5691005827960485,5.071590801835018,5.400501682841522,0.21818107611583143,8.14446569154266,6.436191606451587,97.87569291304214,0.3493573086069516,7.513396741096279,9.893214488377483
20,"(4, 'donovan', 21)",0.6028757627476168,4.592286785152301,-2.400289377683768,42.319373752263445,0.3651877407880282,6.046319908644975,6.505334253692384,0.21025246648842622,7.815719252807304,4.823814022226418,115.83919514509205,0.23711689323392593,9.621331171945371,10.762861847347668
21,"(4, 'elcajon', 11)",0.14306409460812142,2.767019918005558,0.2738860839807399,14.242848304749518,0.8591371516297223,3.7640184270860715,3.773969833577041,0.18693771009251808,3.319872370476926,-0.34908312158133975,20.786275383320785,0.9305452195887807,4.545813057352799,4.559196791466759
22,"(4, 'elcajon', 12)",0.183644878886239,3.5518977637949924,-0.943719409593333,22.858608786366123,0.7739266279796261,4.687003570071969,4.7810677454273875,0.21915878298164634,3.892094259676271,0.5831758705442701,31.4738148547776,0.894834122076722,5.579759910199877,5.610152837024817
23,"(4, 'elcajon', 13)",0.16733465213465287,3.237345497471805,0.14768545537780242,19.615895178105728,0.8064082298469495,4.426520550504483,4.428983537800263,0.23462452932993533,4.161509319700985,-0.6465962854931238,37.94561037018526,0.8706643578493428,6.125971208629806,6.160000841735759
26,"(4, 'shafter', 15)",0.2591658323550672,3.216928715036213,0.2230771909809384,19.65389660613055,0.723383129805145,4.4276554943633775,4.4332715466267745,0.2043038158218864,4.033597340474594,-0.09069591029204181,32.82290844843042,0.8814869055554257,5.72841013777951,5.72912807052089
24,"(4, 'shafter', 18)",0.22538382438767657,2.781744213322741,0.02931962575650765,15.245718588432947,0.7819083308061076,3.904466543858609,3.90457662089412,0.15395226445005097,3.084475218034375,0.42935285960151776,18.556492856100203,0.9335059896077615,4.286274487135525,4.307724788806755
25,"(4, 'shafter', 20)",0.2339101573722889,2.8854670216077696,-0.1391967523400176,16.80253462964501,0.75955032157596,4.096725386812827,4.0990894878795965,0.1662758976266377,3.336137897900018,0.01778583451078685,21.198301236069998,0.9242622751423046,4.604126946023348,4.604161295618345
