,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",-0.00020406725353872002,-0.015891815808804388,-0.11321043887866156,-0.07246781217706655,-0.008611815314607862,0.006854446643261625,-0.0039225772261684,0.0021325065247046193,0.08185356350478035,0.25618478837944436,3.4756157336952924,-0.021425338509456826,0.12454546963022928,0.1682133242989483
0,"(2, 'donovan', 18)",-0.0070100699411207446,-0.12218964607386873,-0.019158957891446615,-5.343732394580201,0.009761782481752523,-0.28439258889149777,-0.2832898354981026,-0.002449682964797223,-0.0913314916443353,0.1055024889138626,-2.6089446654791857,0.01853684749422968,-0.1451065256173667,-0.13824146130896864
1,"(2, 'donovan', 20)",-0.0009982761521020178,-0.10403678293600382,-0.14452989791944582,-4.172162141906966,0.002785608582347998,-0.1742908174396387,-0.19773116844113225,-0.0007112826948468265,0.02502193383273088,0.3030499380181806,0.739959385095176,0.015616389529282126,-0.05324574066457188,0.03064538249904203
6,"(2, 'elcajon', 17)",-0.0028679991886512157,-0.029346201984581377,0.03048494084514719,-0.7440984803545518,0.0012422248007599723,-0.08126527857277033,-0.08558212859463943,0.0008538385498541301,-0.05461396091531956,-0.16852441699738074,-0.5519448155264968,0.0016662161546719956,-0.009411702881098272,-0.035914959325467954
7,"(2, 'elcajon', 19)",0.003082583419274032,0.036790469603127374,-0.04560490882152124,-0.03012206893557945,-0.011260980528655096,-0.012975880215969404,-0.003517123691883839,0.0011597891783707015,-0.02091885497813717,0.1271110237631099,-0.7029157764742564,0.0014624713740292172,-0.06058651680629623,-0.0415694230731809
8,"(2, 'elcajon', 21)",-0.004974841412510644,-0.09123134297339242,-0.05610689904342076,-1.3464159607840909,0.00899433140561523,-0.17025133819095828,-0.16987753444872,-0.001183145270097108,-0.10889304384550247,-0.07256356772092334,-2.475293057362464,0.005657793400346112,-0.16996752747686372,-0.17160939520606977
3,"(2, 'shafter', 11)",0.005958864102065198,0.04068771653559544,-0.0084487372903094,1.6534167694932052,-0.023938772142860998,0.13820022742387827,0.138425979026783,-0.001568292344940242,-0.038644997901617906,-0.01587229299709389,-0.4300334930162393,-0.0029008524198914643,-0.02448170454721499,-0.024079648163580103
4,"(2, 'shafter', 12)",-0.0002720781006596562,0.002125742687855592,-0.03110392580654553,0.20173844568238053,0.008504889898833579,0.020134876286100223,0.016765502259387333,-0.0028394422534886443,-0.0653722011422122,0.02505026125891796,-1.7861473997764818,0.0042613703007047254,-0.10323551769199213,-0.10463999921359424
5,"(2, 'shafter', 13)",-0.007488679922969921,-0.08172963790920651,0.038163647041621396,-2.2449329853613804,0.02318361233588251,-0.18428734197039276,-0.18605008955625202,-0.001656026352999218,-0.11585633242614879,-0.2387007368505567,-3.5367192061802513,0.0045483943495960855,-0.16630710513808822,-0.1859768015012051
9,"(3, 'donovan', 11)",-0.0027021870514971624,-0.08404583809371369,-0.0964648314415543,-3.9987372065289364,0.01698840442080385,-0.3148358871898118,-0.31432829737928714,-0.003636918547609197,-0.08868976013374219,0.013828593364706737,-2.0924572557572887,0.01177098977544988,-0.16261303107568814,-0.16208268197682418
10,"(3, 'donovan', 12)",-0.004230696583660709,-0.0941079044536095,-0.07849337697961045,-2.1915291256010008,0.008567772412878316,-0.1701936105697106,-0.17771399564170487,-0.0012836666923437268,-0.026182240234298604,0.030931999315564146,-1.2285204860718721,0.007642245362301736,-0.09033274327063978,-0.089716002147747
11,"(3, 'donovan', 13)",-0.0060955568898453105,-0.1259241296237148,-0.09932598790345365,-11.178952054537604,0.05528793542881483,-0.8171105080305558,-0.8215254518643214,-0.004518457984707042,-0.13496037716833786,0.12324326277810116,-3.3927575449293954,0.014029909553907927,-0.2526716738826149,-0.2389815709968941
17,"(3, 'elcajon', 15)",-7.433338978679593e-06,-0.01600565240568752,0.03396847327417174,-0.055680664692717485,-0.001015168315847248,-0.0032376744427660142,-0.008201733899934283,-0.0034534104440784585,-0.063136982897666,-0.01763912781705468,-0.2640694948985356,0.0019554814732125614,-0.02557818992462746,-0.02398548849506721
15,"(3, 'elcajon', 18)",4.3912606180057656e-05,-0.0017643736990149428,-0.046407077144338504,-0.12850496857629423,0.0014346764621192554,-0.01952395869129475,-0.016085738492026547,-0.0008587093501149501,-0.024866776819146175,0.09583982812337322,-0.4513975641252834,0.0019386202198060642,-0.023783352246004696,-0.04415761826680775
16,"(3, 'elcajon', 20)",0.0018464817633525588,0.0338534065444156,0.0313816344507849,0.3586849425481162,-0.0024162390335960016,0.013185898813153685,0.028163090923721157,0.00063316181379236,-0.010464674848110533,0.11401016795874863,1.8698942534224159,-0.004537369851092876,0.09357506521440406,0.10510041838591455
12,"(3, 'shafter', 17)",-0.0011866752225312138,-0.016281960045150257,0.046562118956546716,6.29224136789291,-0.05582881524854311,0.6224933563277419,0.6240593874670202,-0.003709466388743282,-0.046304903679938114,0.02251036384805022,-0.5065767430716761,0.002995200930982933,-0.0423037732625593,-0.043153118217916564
13,"(3, 'shafter', 19)",0.004065002134223922,0.030579632388180844,0.0034846571798187453,7.245802686211661,-0.06479016203962029,0.6755867522036105,0.6751429573050807,0.002963069550273645,0.09776328570378823,-0.06751684721396645,2.6676195871707407,-0.005194425058693497,0.20155195165567363,0.20561579008858377
14,"(3, 'shafter', 21)",0.0005381991066104874,0.0073333003905933225,0.058767646392907755,6.746852990097146,-0.06557782637004528,0.7495470862319928,0.7509875845852019,-0.0008109491642031008,0.01985347802081794,-0.018051753643306388,0.7485573442439062,-0.000271882669955148,0.06367546266070345,0.0637665392959823
18,"(4, 'donovan', 17)",-0.024423864802439188,-0.4344381468855101,-0.4690401081122103,-7.445467343207291,0.10097236322968128,-0.6652587168613815,-0.570544320661881,-0.027018834434068772,-0.7608700650391409,0.29302666441238046,-32.73506758251838,0.09287009721255957,-1.5591606507752225,-1.3523741031089678
19,"(4, 'donovan', 19)",0.017254929279682973,-0.20904155641968458,0.5871924259478549,0.09285870810431618,0.024888367024054947,0.24278360675251864,0.008767793599578688,-0.011165566481512512,-0.025718336204603176,-1.0527461891113878,0.07993375775303946,-0.0913080645069333,1.057008128782397,0.004109108511507031
20,"(4, 'donovan', 21)",0.082220117976538,0.4411217980886022,-0.6185822768387264,8.318790284051971,-0.13147241641402196,0.6082300072669922,0.7243540345410535,0.011133912358782916,0.5718585711498143,0.48491168195518375,10.936550881955995,-0.13394293777408983,0.42824941726648724,0.583645258850984
24,"(4, 'elcajon', 11)",-0.0013187480068003743,-0.023458121231496598,0.022281335905272898,-0.5199324523116129,0.004319916571488447,-0.06955708115092163,-0.06839583649386904,0.0014566022789933852,0.004301430730862865,-0.12284922196544448,-0.06850695269521978,0.0005703023124493667,-0.001339932540735056,-0.007534420580852519
25,"(4, 'elcajon', 12)",-0.001624207268245914,-0.028780079905515343,-0.025808086227669946,-0.6447808118981762,0.005076946558366768,-0.07407296780330963,-0.0673257692409086,-0.0006447442239037593,-0.037539018064532303,-0.020429071683091604,-1.021721421953007,0.003947720269216637,-0.08911434128000106,-0.09051285646722196
26,"(4, 'elcajon', 13)",-0.0034371407211727933,-0.07220409677802841,0.04475581286282376,-2.9062923570343955,0.023358637756379363,-0.3185672994507449,-0.31651239723733227,-0.00337560613621693,-0.051251129924329675,-0.13486768342501043,-1.5436884223933163,0.005158159780693561,-0.1391162856139747,-0.12400458438629425
23,"(4, 'shafter', 15)",-8.083941871406264e-05,-0.01890002671133928,-0.04887418954395351,-0.4657257969644988,0.009141954029574961,-0.0537002698094895,-0.053029563411215896,-0.001613427811552215,-0.014691938905934343,0.008617094152453875,-0.28589739708287,-0.0008489204663957306,-0.02520652848643401,-0.024703620142929594
21,"(4, 'shafter', 18)",0.0017717104723299903,0.01126561620067168,-0.01443311863569871,-0.0073724501919656404,-0.003684408265284489,-0.0013427205430667222,-0.0009453864555850622,-0.0010790392685076644,-0.02466105711927602,-0.025164792798557212,-0.28279947762880653,0.00012419569321420187,-0.027349442351214392,-0.03148398380301565
22,"(4, 'shafter', 20)",-0.0032867063075547043,-0.0572759446765696,-0.012111138611092788,-0.6069530736426856,0.004550189083995959,-0.07907251694676276,-0.07890206568695524,-0.0035757840593862167,-0.05326714032400526,0.021261443997760726,-0.7757480599955109,0.0029430871448759,-0.08828041113321117,-0.08789711520128662
