,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",5.395637635571667,7.308997141710226,0.5079650858645199,0.17023313634881837
0,"(2, 'donovan', 18)",5.30091219294366,6.783989944151402,0.5099414637950697,0.15923131429778448
1,"(2, 'donovan', 20)",5.36062116071696,7.28318217336789,0.5162722961930784,0.1708035927723156
6,"(2, 'elcajon', 17)",3.2690492151232977,5.945585639582854,0.2903781122434619,0.15588500015154452
7,"(2, 'elcajon', 19)",3.827470723351536,7.800290042894416,0.3400567361566389,0.20433128394267056
8,"(2, 'elcajon', 21)",2.830258500860592,5.484234447412106,0.2520192982316371,0.14370132873504035
3,"(2, 'shafter', 11)",4.061130297183988,6.64229305662196,0.30250246375458034,0.21051698011270153
4,"(2, 'shafter', 12)",4.216555734617252,6.524962665506996,0.3136885515247188,0.20634146476527937
5,"(2, 'shafter', 13)",4.255210708065537,6.981691175587869,0.3137849377517088,0.2222937220756668
9,"(3, 'donovan', 11)",3.5163061527048987,4.674820839185966,0.29652258237852214,0.156301503752413
10,"(3, 'donovan', 12)",3.276400019101652,5.075177431202963,0.2762152523813339,0.16975203880830655
11,"(3, 'donovan', 13)",3.6929678189706694,5.276989773995008,0.31455032199132593,0.17737933333250222
17,"(3, 'elcajon', 15)",2.548888313691017,4.143545821324022,0.1606743418246184,0.18372409892209746
15,"(3, 'elcajon', 18)",2.941377026245738,3.690189224181822,0.18443315098380061,0.1639384020609308
16,"(3, 'elcajon', 20)",2.5830813368360563,3.8985447352213334,0.16190999738174444,0.17328196911536378
12,"(3, 'shafter', 17)",3.209050467955214,4.073000359358699,0.23444266422876872,0.17860743345876046
13,"(3, 'shafter', 19)",3.3956606933515934,4.260045803981537,0.24403417338020397,0.18621712725487255
14,"(3, 'shafter', 21)",2.885460584379668,4.125430168477032,0.21080225246819342,0.18090656255700407
18,"(4, 'donovan', 17)",4.596542492639983,8.586556854136179,0.603434452354277,0.23098894661253053
19,"(4, 'donovan', 19)",3.9414912103381274,8.189206474853156,0.5210940621705038,0.21937963138251834
20,"(4, 'donovan', 21)",4.10357468883313,7.251393398581362,0.5387176011134157,0.19507140650964377
24,"(4, 'elcajon', 11)",2.756691967909143,3.3484662714269193,0.14253010538018465,0.1885477955927134
25,"(4, 'elcajon', 12)",3.490787185910463,3.9329933579909704,0.1804852596008343,0.22146175819593159
26,"(4, 'elcajon', 13)",3.1399958334841775,4.1607456860566066,0.1623027603666854,0.23458147591574624
23,"(4, 'shafter', 15)",3.1567883550233344,4.150605172012407,0.25432073697324814,0.2102303237120864
21,"(4, 'shafter', 18)",2.729920733989418,3.144563515597807,0.2211849573929035,0.15695139033790087
22,"(4, 'shafter', 20)",2.8494513139919864,3.4011576558393717,0.23099054686446086,0.16951653663668606
