,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
5,"(2, 'donovan', 15)",-0.048008031969486,-0.08784042729397878,-0.0032163630519167485,-0.0018385800790589046,-0.12813264498270716,-0.9423971578723211,-0.0015775439227679877,-0.0457805218843621,-0.05241941418798923,0.32819615402065194,-0.2194766185986481,-0.007105563537927573,-0.002413934220294678,-0.011770756971822394
3,"(2, 'donovan', 18)",-0.14049714619623987,-0.02896481913798432,-0.008643892405364784,-0.0009591930218685873,-0.06203008247749486,-6.253594912550028,0.017090548379615322,-0.3289806336773893,-0.33413654969940687,0.15832072239216988,-0.9629992873193629,0.011359738894428317,-0.033461495429378374,-0.055402381691839864
4,"(2, 'donovan', 20)",-0.1997572577975948,-0.07806677024426101,-0.01113752800999801,-0.0028510045342927393,-0.11825496407932246,-4.5826888041464855,0.013263210385024538,-0.24685507435767917,-0.25187753610948604,0.26003417682430735,-1.6073620217574955,0.01720921264244535,-0.08823247786262556,-0.0834372176772078
6,"(2, 'elcajon', 17)",-0.06342486805224912,-0.3006843301528157,-0.006091471521717129,-0.003956641824274965,-0.02625306930239657,-1.141083265461603,-0.012432386545456975,-0.0841597664774909,-0.07631655965542272,-0.047465912321220216,-6.772293916819677,0.01706916369949918,-0.25525200310812224,-0.25278052096396664
7,"(2, 'elcajon', 19)",0.00940188948885945,-0.14494133211377047,0.0006021161903279615,-0.0018295391208492662,-0.05004894899244361,-0.3318741359524111,-0.011642453299752553,-0.04473340340131671,-0.032481539062923837,0.19054608287399533,-2.945605334285247,0.0066842992935536305,-0.17611122063915374,-0.15346111866669077
8,"(2, 'elcajon', 21)",-0.13412789341808473,-0.24158955494644374,-0.007730366176480097,-0.0038717918188635736,-0.07246029253594688,-2.7727314265595453,0.02050249466602072,-0.24575712802620142,-0.25477338703375985,-0.0597952284427421,-7.097298761085128,0.0163431430061437,-0.33931560973018193,-0.33540885988711366
0,"(2, 'shafter', 11)",0.01351192824183034,-0.06836651852877917,0.00391440444685387,-0.002496966295647385,0.0003864443956826946,1.3817530290816151,-0.020685524152946222,0.11651790454565614,0.11636834061326251,-0.028660258149250883,-0.7671440463048356,-0.0020018512546554623,-0.046391110547000736,-0.044630206757343416
1,"(2, 'shafter', 12)",-0.029716386753098067,-0.10473348142574324,-0.0026226038036317734,-0.004062012461564318,-0.06832164777950078,-0.19882340147596977,0.012340321570265211,-0.011387243567247296,-0.017165675017162485,0.004620801775609418,-1.780057467831,0.004204474660678192,-0.10703650742863324,-0.10708508757184276
2,"(2, 'shafter', 13)",-0.10942986214996475,-0.1074053477221506,-0.009469224029786338,-0.0015036639924452255,0.02114726776593913,-2.3054821700198644,0.024091319585184068,-0.1995027139413983,-0.1990530689768546,-0.22378694692603818,-3.0870420251004873,0.003973468948798131,-0.19407554350332568,-0.17391585155396427
12,"(3, 'donovan', 11)",-0.08992688830386975,-0.07860106185857152,-0.003281732467140197,-0.0032786455114876545,-0.1085179685445601,-4.0713210185012585,0.018007511501860307,-0.3227112183699292,-0.32473379523665,0.02883861931934778,-2.1188845700421624,0.011793559437388246,-0.17018688805700943,-0.16919819397496472
13,"(3, 'donovan', 12)",-0.1020791600407267,-0.04010659655544657,-0.0050219266864483525,-0.0017404332463851202,-0.08353568874292884,-2.3719967741125814,0.01053083375726438,-0.1960178055841908,-0.19789041353291026,0.031288325942388256,-1.5869357776858237,0.009280057718316748,-0.11783031097500363,-0.11848257518132321
14,"(3, 'donovan', 13)",-0.11811504319926902,-0.15460564255260234,-0.0056236481364067,-0.005179536644255134,-0.06652848498714886,-10.971886841599307,0.05489017592342105,-0.8210737397196457,-0.822236053163178,0.14158700105202082,-4.0584476486494765,0.01736121273706026,-0.2961148997025447,-0.2953046506481831
17,"(3, 'elcajon', 15)",-0.058017987474479504,-0.047089212942395875,-0.0019477210555050584,-0.003672452462919251,-0.002424181565809147,-0.6131440575943934,0.0016531798388592644,-0.05449143604712159,-0.05417881425891835,0.036013693731092644,-2.4278452055253013,0.013173977316993546,-0.10499559727840868,-0.10031774079191003
15,"(3, 'elcajon', 18)",-0.0053957093793695066,-0.06547906894201816,-0.00013358845145830522,-0.0024857740982870413,-0.04860377596715537,-0.6488391828266344,0.006627711665458946,-0.056058473012763343,-0.06080671348247346,0.10450020831300844,-1.5855728095608868,0.006469006885764017,-0.04189378140562816,-0.09262470438242687
16,"(3, 'elcajon', 20)",0.02975974326749853,-0.05956838107136164,0.0015845232657237251,-0.0014357366534235028,-0.03941600995723982,0.43134601657187943,-0.003073591052064284,0.04580552845561758,0.03313638759804416,0.1098654330573372,-0.2724465430028573,0.00242544598823069,0.028598393648351816,-0.015095585202402617
9,"(3, 'shafter', 17)",-0.010771403361232945,-0.029897129584406823,-0.0007842039953506186,-0.0029043276586551148,0.04977655998046324,6.534629140046697,-0.06055860895100229,0.6778871895832328,0.6782662330263634,0.011618431276399915,-0.07039477175139552,0.0016708004490979533,-0.005851967148659654,-0.006366190292214746
10,"(3, 'shafter', 19)",0.04518450105190963,0.07692306511160307,0.0050579054091884346,0.002103778718128113,0.004745837892601468,7.323436202147967,-0.06681319135313424,0.7006582162492636,0.7005856672311399,-0.0594165279133783,2.2133020686550466,-0.004137198927470109,0.1729910526703291,0.17402166156871335
11,"(3, 'shafter', 21)",0.004853422352181447,0.025256763419470474,0.00035697322935132614,-0.0005353569101564926,0.07301547175141011,6.762739961067858,-0.06653158356797828,0.7695577227727948,0.7710068359887607,-0.009678342541405538,0.79066284716815,-0.00044366440752829917,0.06838571583354636,0.06863838205295814
21,"(4, 'donovan', 17)",-0.3616855989827501,-0.5888316881854738,-0.014891772681547955,-0.022250300717979232,-0.36158009444174277,-5.277322410795897,0.06867511595188858,-0.47406824699502703,-0.4037073103089375,-0.33437953775064067,-25.692461954732522,0.050688889330601006,-1.0183334162094724,-1.0683587955107505
22,"(4, 'donovan', 19)",-0.18286650927759585,-0.04706814759763489,0.018996214883255924,-0.011755220828227081,0.6706037548571886,1.09650405147881,0.008844248725446757,0.3161419981631628,0.10503657780273468,-1.3375768448121859,-0.7779168346521033,-0.08432823059714645,1.2184512745333276,-0.04036712617964611
23,"(4, 'donovan', 21)",0.458784047392113,0.7637672202604424,0.08428275180044215,0.016190784673921377,-0.49017745986570904,9.298136136173614,-0.14592090383429523,0.7430915516110908,0.8170292691911145,-0.06156673727789297,18.38365499382944,-0.18223043060767785,1.0425865359125623,0.9670302318396686
24,"(4, 'elcajon', 11)",-0.03152902942476743,-0.020073756264283205,-0.001760329512274117,0.0004913591887301949,0.0021042107928989084,-0.8201566036215304,0.006946157440626544,-0.09083418718776404,-0.09072337055255897,-0.07295372050990856,-0.1211569879544534,0.0009175543619686088,-0.020539225705331177,-0.010874632539165319
25,"(4, 'elcajon', 12)",0.014488140997345411,-0.056451702045923646,0.0005315368968001888,-0.0013257893291410694,-0.043283626182903046,0.5079031755591359,-0.008001583246713073,0.01958208743412726,0.034710049062636195,-0.03321513762726244,-1.0840024529879884,0.004411569024074358,-0.07962994241812549,-0.07877986336494835
26,"(4, 'elcajon', 13)",-0.02906791121838026,-0.037498581228541994,-0.0008350483465434655,-0.0034870794541136396,0.07147375761863145,-3.861737637490606,0.009251993564795002,-0.17348810626597633,-0.17601707692018742,-0.02850677655346079,-3.0165161291415075,0.009527430390978253,-0.10782076924294337,-0.08908014013510979
20,"(4, 'shafter', 15)",-0.010538662832075385,-0.006830395666401756,0.0006122647202219667,-0.0012100942524402858,-0.0647189359576312,-0.5299951995316476,0.010108374185850755,-0.0591832682716511,-0.0596791178936833,0.017786136417353354,0.26719961671894055,-0.002784601932974362,0.023892134862449232,0.023376198773051193
18,"(4, 'shafter', 18)",0.018158535664172692,-0.006128756496408538,0.002338746526073354,-0.00016364174257674224,-0.028156788384463755,0.08667118386066797,-0.004936272046348611,0.010323043491386574,0.011235890734668352,-0.023200153715267097,0.017015535582633134,-0.0008237826670343118,0.00273268360660861,0.0020375800514402798
19,"(4, 'shafter', 20)",-0.06162780329495687,-0.06759333266918155,-0.003604862369777029,-0.004314083939691571,-0.016255089465526257,-0.724379371814889,0.006014643748588511,-0.09217175914532394,-0.09192880933340053,0.027547520336751785,-1.1020493704522032,0.004118113673797219,-0.1204190978356996,-0.12207403630627844
