,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
8,"(2, 'donovan', 15)",0.0020017906199536473,0.007583313408432879,-0.060392168729251905,1.6727782392102881,-0.021735465117205255,0.09912780955995082,0.09061727263131125,0.0021252865823783995,0.08162909006823149,0.25063758764609756,3.211128650332327,-0.0201923577128309,0.11683806108132444,0.15819464751383627
6,"(2, 'donovan', 18)",-0.009308134313129934,-0.14683258857045978,-0.037176723487565067,-6.225929329688995,0.015298579750748442,-0.323282328966231,-0.32421598485251657,-0.0019212041162698645,-0.06900762451529374,0.11058769817848912,-2.121218563859898,0.016457214404202558,-0.11764488224948977,-0.11471331988223454
7,"(2, 'donovan', 20)",-0.008738990872096286,-0.17208293110303519,-0.12181241697563983,-3.85653114824035,0.0074492801030445754,-0.2018651959765414,-0.21037277191506298,-0.0011039581429507228,-0.0029776631158657807,0.2622664880392882,-0.3849543051722293,0.013687844190040321,-0.05757697091686076,-0.019362769396877866
0,"(2, 'elcajon', 17)",-0.0020813562300966426,-0.020546301925116417,0.01189955196326653,-0.6808106865543877,0.00037892236468095586,-0.07784836694307895,-0.07868997339654271,-0.0004540148629156582,-0.1025014912947908,-0.15481478292596718,-1.1328785026536252,0.003016497199886614,-0.057817973240586795,-0.07566633901375042
1,"(2, 'elcajon', 19)",0.0033069893282801632,0.03930124057027218,-0.03507702137631763,-0.18778412661707122,-0.008715579882158875,-0.029227000423251326,-0.022071044122647265,0.0010231776725112274,-0.027069516313818376,0.09997650468099151,-1.3130650983811165,0.0028919863232239607,-0.09228891170796594,-0.07642997265877938
2,"(2, 'elcajon', 21)",-0.005941940344354468,-0.10271384139329554,-0.047046178959501805,-1.408848856171609,0.009097290420045367,-0.16933006653875893,-0.17152572270534439,-0.0007644048759206656,-0.09273942234533017,-0.09574656086775507,-1.8320871121560032,0.004142590568611548,-0.1273073917593095,-0.12659572613714687
3,"(2, 'shafter', 11)",0.00499952011688698,0.021348664300836262,0.052182143430879874,1.742597785155752,-0.026477553824580058,0.12727598472598878,0.1263241649800655,0.0002576428184468682,0.021714029881739094,0.018557418899941558,0.5131331240547325,-0.006605707801533245,0.025671392631510415,0.02324846337619313
4,"(2, 'shafter', 12)",-7.394449795272706e-05,0.005259278204013285,-0.04278283300414451,0.30163323575475687,0.008398923340109499,0.025354337004299232,0.023935581858347987,-0.0030760340320833968,-0.07291981199524056,0.038819955049999744,-1.8180565397940853,0.004333041200730081,-0.10368152073433556,-0.10583472313367892
5,"(2, 'shafter', 13)",-0.007472397746394133,-0.07986668359091542,0.01684289075343348,-2.3928833570359203,0.02463864279226935,-0.18899061980319765,-0.1896743984193856,-0.0015810760010621927,-0.11529960689739216,-0.2476777879541995,-4.245488246137043,0.005772884288975932,-0.21001675090265337,-0.21805116368823363
15,"(3, 'donovan', 11)",-0.004596046145360855,-0.10459969886590237,-0.09654538240929786,-3.9855360598495366,0.017523245353530337,-0.31833953693377826,-0.3201321462812148,-0.0032422238929346314,-0.07818571813891406,0.02395086542064925,-1.862067818919229,0.010500708262589975,-0.15167160350025455,-0.15165744711040485
16,"(3, 'donovan', 12)",-0.004974012983729681,-0.10286479418028271,-0.04719388288007964,-2.251769304513303,0.009092568138348911,-0.17879260152594156,-0.18297993910047516,-0.0021129488554428033,-0.051180000776844814,0.014933883979050766,-1.4434759078375166,0.008593260042391027,-0.10837710890154639,-0.10779218809682956
17,"(3, 'donovan', 13)",-0.006095841560000703,-0.1265036685837595,-0.09950771656224183,-10.514686794374384,0.05025461423106792,-0.7719296206193684,-0.7742800933362401,-0.0032770459978948285,-0.09802485663863969,0.14907640524793525,-2.9703623492240254,0.012016035273233139,-0.22003513190843105,-0.20973974788296257
11,"(3, 'elcajon', 15)",-0.000742848848938521,-0.028467967364085744,0.03840458305066813,-0.15085843816545008,-0.00021776802099426895,-0.01590029284733463,-0.02133904758145011,-0.002404930277559003,-0.03921199821707244,-0.0324306720506603,0.05892975443885007,0.0009454080477310223,0.0015540560497884215,0.005270898404307722
9,"(3, 'elcajon', 18)",4.8670074782819484e-05,-0.0017874761213931833,-0.041232322903128546,-0.22435783143814447,0.0023848730955327024,-0.02781844875874917,-0.026652146902476304,-0.0011018667533958804,-0.030613306576222854,0.09004974548737077,-0.4075987327186894,0.001835813184488333,-0.01617064368275667,-0.03836101548145887
10,"(3, 'elcajon', 20)",0.00019597574632948533,0.005488505527150966,0.0230790626000561,0.10073884417478851,-0.000685889478159063,0.012703977244942433,0.015110469333384557,-0.0011864627532038874,-0.042112956638318266,0.07800143649207736,-0.32021918952172257,0.001600531341826139,-0.025820802585733382,-0.02931091219638482
12,"(3, 'shafter', 17)",-0.001231598083446167,-0.016897099293267548,0.04145843886323816,6.277858475184107,-0.055433477130760744,0.6183544366525782,0.6193180488976466,-0.003440351691492455,-0.039332686734668165,0.025584145974212713,-0.4499047719035474,0.002899962080886942,-0.03612211342725402,-0.03774151236579115
13,"(3, 'shafter', 19)",0.0036135262514831457,0.024567649300912375,-0.0041320319571453434,7.209046439473006,-0.06466189347482154,0.677703341291096,0.6766155067317312,0.0021393722883616684,0.0785468387885091,-0.06141245677257373,2.200241631941765,-0.004055938011255145,0.16611619476066508,0.1697072938090578
14,"(3, 'shafter', 21)",0.0007502137167177958,0.010234741493514665,0.07528695791372882,6.8654560287717565,-0.06646913355527573,0.7509036670770861,0.7516489585071806,-0.0008842353524132207,0.019033800478673868,0.0009499839982372027,0.846501144201433,-0.000429949079217784,0.07010789221356983,0.07011287898641161
24,"(4, 'donovan', 17)",0.009928223226164712,-0.1741795457856261,-0.7650738334977136,-3.431759223353936,0.040564566781134404,-0.4364673000957717,-0.2543441291432238,-0.020061053933673273,-0.5073079685025643,0.6900689372928697,-15.968940140091263,-0.01002155804984839,-0.9294963389795416,-0.6626300392426554
25,"(4, 'donovan', 19)",0.0062839169690331875,-0.2966261557351957,0.4741796661320641,0.11829709044723202,0.023510497900188443,0.17675846385669658,0.011386055636608994,-0.008603397576401411,0.06121777839551612,-0.9432373723613523,1.393509076388554,-0.09703450556299165,0.9672631704927985,0.0725914236500973
26,"(4, 'donovan', 21)",0.08745889067751866,0.46788964071646877,-0.7268968716063682,10.202428179915799,-0.16025515784808808,0.6602322709319131,0.8484565361559833,0.00013880139753458254,0.17915548399343528,0.22203750027787716,2.4318577973401574,-0.08983220973992623,0.023059408776965995,0.12193175721284355
18,"(4, 'elcajon', 11)",-0.0007761331808683603,-0.012988210180425952,0.02455332511949765,-0.44377867118016034,0.0035769026873703202,-0.0608010641319523,-0.05866953241676498,0.0006356526864105261,-0.010159807837392343,-0.11884826085257183,-0.0886512649158,0.0006218091988836605,-0.014331565173566041,-0.009986662135912816
19,"(4, 'elcajon', 12)",-0.0009131023017092676,-0.014972301247746955,0.006280329144063623,-0.5825266636217101,0.004428021679637517,-0.06029318574207476,-0.060012127258628034,-0.0011369407860735148,-0.04691963183072634,-0.044291519858418615,-1.1634380588324618,0.004430175755343435,-0.09863510684005572,-0.10231545374937578
20,"(4, 'elcajon', 13)",-0.0014749597883552401,-0.03413844501449814,0.044375996961761435,-2.4638299627840716,0.019211215228394862,-0.2720111471306268,-0.2729049977476139,-0.00011188243293092093,0.006626261922734855,-0.11805558606083033,-0.4230387607560786,0.0013431753853609951,-0.04737902449190923,-0.034534850875150624
