,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",5.428493930154416,7.425248843187216,0.5110582977564538,0.1729407433384804
3,"(2, 'donovan', 18)",5.262522775527496,6.603630479771113,0.5062484473860265,0.1549979833530538
4,"(2, 'donovan', 20)",5.308863155486711,7.232175839215631,0.5112875708402762,0.16960740339795008
6,"(2, 'elcajon', 17)",3.0729390388771107,5.928354463596396,0.27295833694407023,0.15543322264229842
7,"(2, 'elcajon', 19)",2.965402077336003,6.244492738262713,0.26346509867696266,0.16357663776133688
8,"(2, 'elcajon', 21)",2.6920019260696937,5.30638085319586,0.2397082937971951,0.13904109802203035
0,"(2, 'shafter', 11)",4.160749866778028,6.578477708932921,0.3099228524235339,0.2084944535295142
1,"(2, 'shafter', 12)",4.214030567368928,6.491283155465272,0.3135006929723033,0.20527640435178102
2,"(2, 'shafter', 13)",5.061648480066706,10.214864461791478,0.37325273933633396,0.3252364197445161
12,"(3, 'donovan', 11)",3.550631892129852,4.664816565780938,0.29941719861906474,0.1559670132915062
13,"(3, 'donovan', 12)",3.3047499335312502,5.096549229877565,0.27860527762962695,0.17046687221998386
14,"(3, 'donovan', 13)",3.6219435535904534,4.961529043406581,0.3085007958000115,0.16677552008273788
17,"(3, 'elcajon', 15)",2.598274298109317,4.047888951564602,0.16378748746507235,0.17948269000324008
15,"(3, 'elcajon', 18)",3.0023521031117317,3.6537321872432376,0.18825647096540404,0.16231878094762245
16,"(3, 'elcajon', 20)",2.499905433879475,3.7837944939587893,0.15669645259789353,0.16818156650030752
9,"(3, 'shafter', 17)",3.2332449272382267,4.039057319609732,0.23621023178513012,0.1771189780994523
10,"(3, 'shafter', 19)",3.4699178111463413,4.519484042203181,0.24937077087774476,0.19755781363353692
11,"(3, 'shafter', 21)",2.9066248799899728,4.132086270192718,0.21234844624076027,0.18119844302334076
21,"(4, 'donovan', 17)",4.5957900495473245,8.752743050499745,0.6033356715671367,0.2354595598154318
22,"(4, 'donovan', 19)",3.8337415917154276,7.953974853353178,0.5068487718808399,0.21307804079829723
23,"(4, 'donovan', 21)",4.219429503088473,7.281256959585151,0.5539270300493433,0.1958747730528981
24,"(4, 'elcajon', 11)",2.8160463158252598,3.3797068984133065,0.14559892175928582,0.19030691480543507
25,"(4, 'elcajon', 12)",3.560066729773542,3.923374902329398,0.18406724148435435,0.22092015542469537
26,"(4, 'elcajon', 13)",3.1398274937655306,3.838441531323753,0.16229405908093067,0.216410073475943
20,"(4, 'shafter', 15)",3.1401203205089074,4.08459662271965,0.252977908013917,0.20688695615230157
18,"(4, 'shafter', 18)",2.771547969314007,3.124506882377593,0.22455769937658676,0.15595032406787787
19,"(4, 'shafter', 20)",2.842431413248069,3.2979726353137098,0.23042147916226524,0.16437370908140803
