,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",0.002789256252173966,0.012658727336911646,-0.0009817340994387296,1.5641184123135616,-0.02436213382795127,0.07221092366891213,0.07221232437230718,0.0022064384186584185,0.07528275657674044,-0.027422991901208782,1.2777185553002823,-0.035496782504680136,0.029792488368279635,0.034391687068445975
0,"(2, 'donovan', 18)",-0.007095646645355447,-0.12408008913023316,-0.02636683664320172,-5.413795938176662,0.009789388153969902,-0.2842229423046003,-0.2846788040325805,-0.0008560960556341646,-0.02348206137808173,0.13125719052620888,-1.2385449976346052,0.013689550603863565,-0.07376990064381594,-0.06584627640163987
1,"(2, 'donovan', 20)",-0.006713664378951156,-0.15076792468513123,-0.09190600859251064,-3.523914483225184,0.0051968234409014435,-0.18729133107697926,-0.1933987612708581,-0.0013318200432422544,-0.012213333955897632,0.26006310421730827,-0.1947793233891275,0.013287541776168421,-0.04384213788234881,-0.009693738561557197
3,"(2, 'elcajon', 17)",-0.003997024954624562,-0.042250817856159806,0.013658279636672543,-0.8287800869568862,0.0033731455441778913,-0.09864431923408468,-0.09958515034507531,0.0004806500863465957,-0.06481460661801286,-0.14082398661222706,-1.435807275283203,0.0037250709624236933,-0.08461387243630814,-0.0966310080939996
4,"(2, 'elcajon', 19)",0.0007400966866595859,0.010442912527798942,-0.048931235820085406,-0.38653028302177717,-0.006234647542086247,-0.05036193942804079,-0.04441611831942094,0.00045981839285855197,-0.04909077039569265,0.1369672600177394,-1.2594119733861362,0.002766169484704206,-0.08600265118736594,-0.07338679376163526
5,"(2, 'elcajon', 21)",-0.004787741282208019,-0.08916975990777054,-0.034149182305234685,-1.1325853112861548,0.005962134644779016,-0.14502135702391428,-0.14420271465163115,-0.0007225354629907255,-0.0884335798054039,-0.10237053993787848,-2.463962973704078,0.005641642774925626,-0.1729196709861709,-0.17640496035518982
6,"(2, 'shafter', 11)",0.006301403447268428,0.04392674764136473,-0.00454454555036099,3.020192683168119,-0.04036228233379213,0.24471256823169263,0.24425519915230254,-0.0012863954125042765,-0.02964243911168829,-0.021234448781686677,2.4673929211680417,-0.00848112773278975,0.13431690718925182,0.1346712067265461
7,"(2, 'shafter', 12)",0.000845501452902464,0.017414776148918065,-0.03346928960171604,0.6333852694086701,0.004173856977571666,0.05185840703358302,0.051105229194782886,-0.0021028458579602227,-0.04173941772694789,0.021059833566278385,-1.4317501697506572,0.003621536770173295,-0.0810222413598698,-0.08241722161518084
8,"(2, 'shafter', 13)",-0.008726252786426858,-0.09832847141187795,0.003745751894362992,-2.4706558480327914,0.025707188454536234,-0.2019203206572282,-0.20189349775218357,-0.0014010932042882174,-0.10801006927571954,-0.24660341019582233,-3.8562150974006926,0.0051437523064106205,-0.18774273221514015,-0.202712141347984
9,"(3, 'donovan', 11)",-0.0017445065729686515,-0.07290264392988677,-0.10517757273773318,-3.9123219898319803,0.016488359287318177,-0.31115106785196733,-0.30952942933442884,-0.0027261592981059346,-0.06149025950851961,0.028400756646115827,-1.6873472640524128,0.009843138107891836,-0.13126498869928493,-0.1303217975760429
10,"(3, 'donovan', 12)",-0.00610458392522234,-0.11766134560075026,-0.07484893649760538,-2.7123278424647097,0.012555434178801783,-0.21016218036146217,-0.21733957850223984,-0.0018415712027344266,-0.04251419309427895,0.03648788952713042,-1.4474038207998987,0.008750794982707366,-0.10373863786736859,-0.10390268204374475
11,"(3, 'donovan', 13)",-0.005249204165469978,-0.11768400393984146,-0.08752151105990508,-10.782235862736698,0.051505748681757946,-0.7797242729912197,-0.783733705652633,-0.0036741732369393876,-0.10984499544799675,0.14601617140667833,-2.8504612416395645,0.011398536096088874,-0.20735065057409763,-0.19936508829272803
14,"(3, 'elcajon', 15)",-0.0010029632439222391,-0.05182296748591675,0.011345673713856641,-0.9293751517093654,0.000933325088191439,-0.05883161795107039,-0.05991225940559808,-0.0010827129998718377,0.017598569901288386,-0.038942937310270764,0.6533188309289528,0.005355633875039234,-0.005238143249981064,0.022790219443736603
12,"(3, 'elcajon', 18)",-0.0016571022671175994,-0.02890664038842372,-0.045829149773056965,-0.4893981124006537,0.004934609683685753,-0.06574138954121134,-0.061135466062711696,-0.0007787013723526415,-0.0229663378314231,0.06834399948783954,-0.4503683414955262,0.0019164175934101024,-0.03480413946596528,-0.04494826971995458
13,"(3, 'elcajon', 20)",0.00041396624457007425,0.008976150009102124,0.0006733740885783712,-0.16049082446954976,0.001864540049174579,-0.02360598603965247,-0.02342190792290566,-0.0007965752660457348,-0.032967679338247624,0.07629620187335666,0.15510657169698305,4.67964883102967e-05,0.016664821152576614,0.014435867083858689
15,"(3, 'shafter', 17)",-0.0010483025715506966,-0.01438828011120652,0.035476140174002024,6.218502948951571,-0.05435476647188575,0.6072215288408209,0.6082464007596622,-0.00321895364489469,-0.03508805039003171,0.026199428050424967,-0.2787118203875778,0.002389854032970651,-0.02316914236216938,-0.02382913689630506
16,"(3, 'shafter', 19)",0.0032132999807200358,0.018629510809350602,0.003904335158936123,7.110293438646611,-0.06321817410315766,0.6649124756546643,0.6631439462347881,0.0017844556713510762,0.0702611104318116,-0.06491142027927277,1.8497689172593326,-0.0032372819700581257,0.1405154813827929,0.14469725555415724
17,"(3, 'shafter', 21)",-0.00014706116664126023,-0.0020466502223537297,0.05473394530668672,6.627311699454271,-0.06437833512480973,0.7446095413836682,0.7434315099453261,-0.0011976075147764054,0.010889188764131141,0.0009037018289580808,0.5498097712325247,0.00022421194982213954,0.047137439582075835,0.0471353075028933
18,"(4, 'donovan', 17)",-0.0007419922104257015,-0.2674299787292158,-0.4831660557630588,-2.9944852292966146,0.0337705370818302,-0.38167509457118864,-0.21897549411302997,-0.021938250142517046,-0.5735457643974637,-0.04692087678053447,-28.92825911498906,0.06456844193883082,-1.2568471949485502,-1.1701346316602326
19,"(4, 'donovan', 19)",0.018640896730341028,-0.19209471205137874,0.5446509502707775,1.3549309531358134,0.005202725630157556,0.3185313803801142,0.12904556876409679,-0.011098211506649469,-0.02069501922037098,-1.132283636857661,3.7582847124793943,-0.11275970691126713,1.3407066139084005,0.1945372569540087
20,"(4, 'donovan', 21)",0.10725253291773607,0.6287463291976341,-0.6254796537610696,10.881368745132942,-0.17019271098219668,0.7557911297145568,0.9145647740578964,0.017900838919620743,0.8239127640653781,0.17068911236394024,23.41020456856782,-0.2142374638946779,1.2653737449585645,1.2252668271895963
21,"(4, 'elcajon', 11)",-0.0017323856788019065,-0.03142460050465834,0.0246255866215066,-0.6205834383963218,0.005288274367806767,-0.0823536420671882,-0.08043760203536277,0.0004504523317871434,-0.014508219299721237,-0.08934624357470744,-0.11176802971969835,0.0007190937062727665,-0.015960850534516346,-0.012222865505099989
22,"(4, 'elcajon', 12)",-0.00022011819750233919,-0.0016019278091139455,-0.04665346556621519,-0.3588428575170646,0.002231911541513476,-0.04632314581049535,-0.03710725632646117,-0.0016264577903020438,-0.05592830473412347,0.00025480782790966716,-0.9553568584620038,0.0037442665488652827,-0.08317471298621903,-0.08315507562002011
23,"(4, 'elcajon', 13)",-0.002048141242300877,-0.0454304363824769,0.033535686733693545,-2.6718466204430946,0.020900264977238625,-0.2866567726697884,-0.2860392046347915,-0.003605327487422899,-0.0549060223040696,-0.1402847565812242,-1.6460525870964133,0.005497748294437055,-0.150370335914495,-0.12661960798991778
26,"(4, 'shafter', 15)",-0.00038513616046562116,-0.022337132631127687,-0.06892714997403149,-0.47890481827883136,0.009209462763252407,-0.056762374693607676,-0.05584400675202961,-0.0015233532131808947,-0.013129237069250621,0.031013708068150125,-0.25736284233951423,-0.0008355437397282728,-0.023490323121927226,-0.022957739154595203
24,"(4, 'shafter', 18)",0.000923684220768578,0.0006793930045163599,-0.013887987684583124,-0.1784835518630281,-0.001320445730302211,-0.02291587935662287,-0.022701055124583203,-0.00037894678432767726,-0.010646665135607858,-0.02606286830787008,-0.11580671566247602,-0.00047857251136007584,-0.01051810963962474,-0.012834410362469129
25,"(4, 'shafter', 20)",-0.003130276687786676,-0.05641483168696704,-0.019155447048287977,-0.7808291428503615,0.006440804185392168,-0.09749818374184027,-0.09500347799196085,-0.00438805033248546,-0.06817948520534012,0.018516170952696268,-1.1727863965516256,0.004387756382707497,-0.12473481913227857,-0.12418022693711794
