,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",-0.005081144708197205,-0.06646743857009518,-0.08300943209819495,-0.9572560616690211,0.0005246748979917948,-0.05950459525578733,-0.060660685276905824,-0.00188740201961074,-0.08872973276660456,0.2770606921760312,-0.9730884617222273,-0.0024681185166168795,-0.052098761725980935,-0.060882841995163695
0,"(2, 'donovan', 18)",-0.006584618554829391,-0.11809342643489273,-0.012968598333271908,-5.667299102133612,0.012203143121640725,-0.3023684929046091,-0.30046242196840645,-0.0013951268121523697,-0.04632485007083087,0.10964021289098824,-1.2871120045110445,0.013903126116358577,-0.0752020141631018,-0.06826808882179591
1,"(2, 'donovan', 20)",-0.007670173437669514,-0.16221590223097682,-0.11189539622072975,-4.237592381801903,0.01026837321237517,-0.2244414205462082,-0.2308335867704674,-0.00209882334104991,-0.04498881295723045,0.2159036088492221,-1.6573479705509584,0.018283883695077385,-0.11097805059115373,-0.08287423361499968
6,"(2, 'elcajon', 17)",-0.0025432846731680003,-0.025800568621467512,0.020488940181908166,-0.6224677919130066,-0.0002406620969446216,-0.07077523728073043,-0.0729308636573176,0.00036485204255173875,-0.07190853567750732,-0.1083205846417239,-2.0861813050540263,0.005273205083913712,-0.12799822912354042,-0.1373003716180463
7,"(2, 'elcajon', 19)",-8.621158121091543e-05,0.0011102083206528945,-0.030555013784623553,-0.5564170792825216,-0.0030970619188749327,-0.07252106707653372,-0.06547199373897605,0.0009330690082407223,-0.030516867596266373,0.10801618799275414,-0.913227568968594,0.0019521431317235383,-0.06870407250506538,-0.05328890909456696
8,"(2, 'elcajon', 21)",-0.007320032832193513,-0.11849113198324446,-0.025025641160062867,-1.4068336155068444,0.0090504818320426,-0.17089285911324037,-0.17116636063840573,-0.0006881854321725001,-0.08904370634425085,-0.06557051754629217,-2.2354404350040724,0.005094701489168463,-0.1552085027190122,-0.15567795234562531
3,"(2, 'shafter', 11)",0.005244936170120507,0.030620135998699283,0.005025821780014095,1.5133348010758354,-0.022331989272003305,0.12649955835358107,0.12608159174881184,-0.0015241526548046558,-0.03705744553265511,-0.014090810539062998,-0.7647982632779105,-0.002446512839465731,-0.04219608799076546,-0.041884915156298774
4,"(2, 'shafter', 12)",-0.0007282800588663818,-0.0039128829729486725,-0.033475524384630306,0.4198420349285996,0.006274833269027669,0.037132839757835434,0.03443079331842824,-0.0031335412890422243,-0.07461801161226234,0.03255900963964331,-1.351066789847991,0.00344596214810422,-0.07625444005700466,-0.07876414447211211
5,"(2, 'shafter', 13)",-0.008176406693498894,-0.09075649479306502,0.02558606376171224,-2.3731109256731457,0.024595431720745853,-0.19328398490615317,-0.19434009813593534,-0.001807542247480226,-0.1207884821281775,-0.2536609989994325,-3.8036520760777393,0.00504806801697244,-0.17708137604749652,-0.20006964458670495
9,"(3, 'donovan', 11)",-0.004511056130207081,-0.10621927070938586,-0.109772488995079,-4.240943548029378,0.01894852890750076,-0.33562084035685924,-0.33351039112482983,-0.0038379784787026527,-0.09453214199344817,0.050805157219186436,-2.181566406027528,0.012244059926266093,-0.17118129732972154,-0.16678479927908896
