,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
8,"(2, 'donovan', 15)",-0.001084326364897692,-0.02507599821178985,-0.09097060246511979,0.4149348489761735,-0.01164170535354514,0.027646269560882786,0.023287319521150707,-0.0005845261803451018,-0.03387946800757735,0.23366425643271116,-0.09912794750040632,-0.007462336604324604,-0.005731417062108335,-0.005333798579728821
6,"(2, 'donovan', 18)",-0.0076184824621007285,-0.12988496868926358,-0.03622415380510513,-5.4337905670954285,0.009226403621132362,-0.2806471240245916,-0.2824965906200827,-0.0013158548715358764,-0.04326381641163657,0.13046214544855414,-2.1777965989844006,0.016586137992038452,-0.11992779381260199,-0.11822200968903118
7,"(2, 'donovan', 20)",-0.01017888410369061,-0.1873369976963808,-0.07476126238475356,-4.948547803418293,0.015541934288002657,-0.26478984044538123,-0.2689417615067473,-0.0016318388689199603,-0.025310241142680212,0.160585331762659,-0.7226665203440632,0.014843882822449306,-0.05085239260124652,-0.03638628092057772
0,"(2, 'elcajon', 17)",-0.005582336919736586,-0.060073935651032695,0.02702806844774397,-1.2696004571525208,0.009987640841809253,-0.1495442300009211,-0.15184783859906847,-0.0008436578697212094,-0.11758851228600609,-0.12608913166654923,-1.999447154748438,0.005069110353471906,-0.11510443881904475,-0.1315399678991449
1,"(2, 'elcajon', 19)",0.002118652647319086,0.025914791621033384,-0.01760405542784893,-0.2893303396139686,-0.007292645353648264,-0.03685288845720347,-0.03383452572608281,0.0024363943471012173,0.03046638969816584,0.09457172092308608,-0.254528343641951,0.0004154642884700577,-0.027834240595753457,-0.015379445894900812
2,"(2, 'elcajon', 21)",-0.005163878756719059,-0.09295317240501255,-0.055043438018057514,-1.3549777841276356,0.009020893941306674,-0.16857669294758226,-0.17018952689342548,-0.0004098098714137577,-0.07724755525544591,-0.06787962042676213,-2.346701600814221,0.00536178651170216,-0.16638038112325582,-0.16601545006110907
3,"(2, 'shafter', 11)",0.005597671204644217,0.03537570169069859,0.0004084676330506354,1.7931777296920117,-0.025591110886100887,0.15059443379730464,0.15003230736090778,-0.0016308962162330798,-0.0405285532843358,0.006516972490992812,-0.23011029735603472,-0.003407403604032133,-0.012579343260968656,-0.012656284682348584
4,"(2, 'shafter', 12)",-0.0025388104948209644,-0.028131878428383494,-0.06092569144303428,0.16661579572984664,0.00968476933663931,0.01751774847518206,0.013377297046304193,-0.002114414956157523,-0.042486670078107025,0.03570656064276567,-1.3754929150793203,0.0034690963930887886,-0.07885715667132409,-0.08125455402348081
5,"(2, 'shafter', 13)",-0.007120192523113245,-0.07656225631592228,0.014197193005428266,-2.19407916642259,0.0225887423350164,-0.1811950678126708,-0.18152665938125256,-0.0013418764536846095,-0.1066865136354469,-0.2067646689651973,-3.370733751877083,0.004213009881622876,-0.15833647297538356,-0.17616434936807757
15,"(3, 'donovan', 11)",-0.0034346143908910998,-0.09183762454443034,-0.09854065003503942,-4.003302488317395,0.017487133935711996,-0.31707506884353975,-0.3195955462626081,-0.0023552831839476207,-0.050787112429810044,0.039792658299347194,-1.508041220265639,0.008925475937421434,-0.1195476406684799,-0.11849212793400898
16,"(3, 'donovan', 12)",-0.005381732706689346,-0.10780465367253234,-0.07079746648901131,-2.601051083567924,0.011886465353017961,-0.2037405515594246,-0.21103361973359824,-0.001365352084953697,-0.02869015142914666,0.030324397193602803,-1.3435897319308623,0.008169811246112824,-0.09856511665053169,-0.09875857380803588
17,"(3, 'donovan', 13)",-0.0042261952364955335,-0.10500152641451921,-0.07528100885917594,-10.398165138291866,0.04872005071381025,-0.75519699457426,-0.7581550626904008,-0.0032355117315311654,-0.09679597863491729,0.11211343457760603,-2.624707708355686,0.010341794874020538,-0.1922905026026438,-0.18461423907565866
11,"(3, 'elcajon', 15)",-0.0004936715284643012,-0.03677326429505001,-0.009644796514775233,-0.2851180319680111,-0.002030459878773705,-0.029159826629745922,-0.023898799183681874,-0.0012528342457090447,-0.0003561121117341415,-0.01381553434270888,-1.2344397780593397,0.007430846928581092,-0.09092782879220707,-0.06345810370705429
9,"(3, 'elcajon', 18)",-0.0011551539226014873,-0.020969648964024756,-0.04271441526457857,-0.45149742117518343,0.004580021492414987,-0.05558223771337989,-0.05457503836728961,-0.0002720386140959985,-0.011973774165722872,0.05415602613971848,-0.2745596919942166,0.0014144931815818218,-0.014170045052295244,-0.025634984011167816
10,"(3, 'elcajon', 20)",-0.00022457121875962827,-0.0011954329282577447,0.015487802070012463,-0.06787019273444095,0.0009663202662442139,-0.010792298803719458,-0.009901212165471573,-0.0006561098660172737,-0.02999856727513084,0.06373824618854856,-0.11090810243551985,0.0009200327427822952,-0.009009931465854493,-0.010192171519489257
12,"(3, 'shafter', 17)",-0.0009895079015131147,-0.013583475579844517,0.031013167634630856,6.3770282750984855,-0.05639757617118679,0.6249699556039578,0.6255017734953023,-0.003929395862137447,-0.051232534573514066,0.023693871663574728,-0.4001957302515393,0.002723871332550809,-0.03319372767716544,-0.03403430218905967
