,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
8,"(2, 'donovan', 15)",0.49739620538604157,5.283374311058954,0.37829892805729554,79.57841567441393,0.3966722327114629,8.9126486295407,8.920673498924502,0.1561469196851612,6.704202331837149,0.13262633734318938,86.29978141993553,0.7034640293105471,9.28882078928106,9.289767565441856
6,"(2, 'donovan', 18)",0.5203932692417865,5.409560159160114,1.7654497824564228,89.79829463187218,0.30790587256123714,9.310289023555018,9.476196211131985,0.15363614493975966,6.545609869050857,0.18472983877380358,83.75016219005116,0.7120456672135465,9.149646830809788,9.151511470246385
7,"(2, 'donovan', 20)",0.5157837128588773,5.355548042946734,0.5373611608484468,82.18447187133404,0.3680261243752526,9.049625122340151,9.065565171092977,0.16884478702280328,7.199657354689421,0.9623290183044028,98.25344452432583,0.6625163026808949,9.865463363020918,9.912287552544358
0,"(2, 'elcajon', 17)",0.2663965576103701,2.999067150204387,-0.5665217562738545,16.847563146092813,0.7393622358121351,4.065294107412786,4.104578315258806,0.15153485468881858,5.779667415455221,0.9954166760607871,56.76689257592978,0.8664135527225942,7.468335705835798,7.53438070287995
1,"(2, 'elcajon', 19)",0.26841412935594233,3.0211053409938593,-0.6428916984344358,18.13695050657027,0.7190262621506253,4.209945459440639,4.258749876028207,0.1648486588289156,6.293051789409136,1.116607557874101,68.34762045519942,0.8390850318374858,8.1915082865177,8.267261968463284
2,"(2, 'elcajon', 21)",0.2421469699798582,2.7193890509655207,0.09514923766672233,15.17644711250198,0.7646208665935083,3.8945338221166854,3.89569597280152,0.14045992933245605,5.360529298559581,-0.0714872185195039,48.78621260717506,0.885079413168572,6.9843469427594265,6.9847127791466885
3,"(2, 'shafter', 11)",0.3101075320761336,4.16322921231172,-0.4997150637815902,36.61445739091504,0.5663344736810216,6.030318628057293,6.050988133430361,0.20838304212447498,6.574962423839399,-0.10532796035043641,82.52676169127012,0.8446824123336789,9.08381349825645,9.084424125461675
4,"(2, 'shafter', 12)",0.31505248725789015,4.234889559710329,0.38867372393325894,38.865835586196354,0.5564376413111463,6.222119279144609,6.2342469943206735,0.20460798963363142,6.4701464387808,-0.6004015031701867,70.95484851714863,0.8660386618494874,8.402045380288682,8.423470099498699
5,"(2, 'shafter', 13)",0.3083618417601224,4.181668567070452,-0.16552544248106765,35.433973172943425,0.5905317728283486,5.950342430648168,5.952644216895835,0.22744526142572208,7.143488173204928,0.7511691248246569,89.8501570756471,0.8311659164808158,9.44912176278473,9.478932275084947
15,"(3, 'donovan', 11)",0.29314533499177536,3.4762571430478033,0.1186961350950112,37.250006972866814,0.6933822347592412,6.102124048869443,6.103278379106332,0.1539425461036556,4.604266787494713,0.18234976546966614,39.74318716710426,0.8107069668659125,6.3015820014263175,6.304219790513673
16,"(3, 'donovan', 12)",0.2758631625215722,3.2722236124285837,0.7407701265687983,36.68881685411664,0.699060059339228,6.011661736259593,6.057129423589745,0.16744807374322845,5.006294420532506,-0.02874694679579367,45.603226320553254,0.7827506025417481,6.752954907535874,6.753016090648182
17,"(3, 'donovan', 13)",0.32031167427384943,3.76060878795273,0.33209932130076397,41.970542618374886,0.658688702016074,6.4699499733351145,6.478467613438759,0.1777591520425562,5.288289283420775,0.5166845204306881,49.22875148313224,0.7629140719131103,6.997270082639836,7.016320366341053
11,"(3, 'elcajon', 15)",0.29440816621923627,4.670400549395223,-2.104480629672311,35.440146036870736,0.651694067820302,5.568779698841619,5.9531626919538105,0.33988776079784555,7.6655186730307765,-5.959143970576728,93.98694701839108,0.6977825191937087,7.6469308001339416,9.694686535334244
9,"(3, 'elcajon', 18)",0.19259106579724336,3.0714810942309883,-0.11736863620748839,16.885486318485903,0.8363815631266878,4.107518827504644,4.109195337105052,0.17220109062069666,3.8761791075935554,-1.1403345875693864,28.540792285626438,0.9080875785506539,5.219236485518278,5.34235830749178
10,"(3, 'elcajon', 20)",0.15914113227075305,2.5389073889138953,0.2011296542391846,11.712939871138888,0.8865345446432709,3.4165021407176193,3.422417255557669,0.17096226380436688,3.846355376030527,-0.06919418744539094,29.547393742877937,0.904849570055845,5.435311020894176,5.435751442337843
12,"(3, 'shafter', 17)",0.23960301407029758,3.2796853207378516,0.4079633837815273,29.27114069382035,0.6557825637710746,5.394877810393564,5.410281018008247,0.17852198898775642,4.071051866206063,-0.20220496924983872,34.36635753613836,0.9113808608324736,5.858794303208897,5.862282621653306
13,"(3, 'shafter', 19)",0.24782351027859884,3.4483881543522994,0.26266217846051065,32.801470275960234,0.6211626233379408,5.7212305367429055,5.727256784531337,0.18921293917808207,4.328580294880016,-0.38826455081774464,41.8436655977578,0.8985557782479017,6.457005205123284,6.468667992543581
