,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
5,"(2, 'donovan', 15)",0.030982344765865477,-0.47084912437838966,0.005974602837955478,-0.00966979116916733,-0.09255824521749467,-0.7293412937573294,-0.023200748419653472,0.051577573955327694,-0.022303245316678044,0.7988746820776456,-52.50260208167356,-0.037931974752567044,0.2120630894731903,-0.5368338511441451
3,"(2, 'donovan', 18)",-0.1066056821810113,-0.013281203920580076,-0.004819590268249185,-0.0006383159130601557,-0.11780304731229707,-7.671501845809274,0.01892489068177039,-0.3426107057455283,-0.3602356628880923,0.2706557274692707,-0.053895791863808995,0.011054995662219458,0.02325801946837558,-0.0026600309393298716
4,"(2, 'donovan', 20)",-0.171468887264016,-0.08104671133946262,-0.007708297365890182,-0.0032467853134934,-0.1570895706442581,-5.3789103842890285,0.010525381785398302,-0.2124465070734125,-0.24900742297834988,0.25090020402580837,-2.53707112073792,0.027562444268538044,-0.16651045844407442,-0.10370016545018501
0,"(2, 'elcajon', 17)",-0.040368768053414605,-0.306394481757037,-0.0040513877644189344,-0.003883663437538265,0.02809804918563774,-0.8934853583127236,-0.017226435234067417,-0.052527804332338945,-0.05874977550132421,-0.18008789458204344,-10.033358580986885,0.02488220019270282,-0.3097371791182084,-0.3545254554322437
1,"(2, 'elcajon', 19)",-0.04901987500990446,-0.13670381053307334,-0.004596276497516871,-0.0014876219493478726,-0.07772743747569744,-1.7245630140973205,0.00832086933460019,-0.17879350400951743,-0.1631947441031345,0.14969737114081205,-3.5798545766876657,0.0081459681774404,-0.21582916525140838,-0.17587496788942225
2,"(2, 'elcajon', 21)",-0.22145937627173762,-0.3311654807515474,-0.014956478672160045,-0.006052066264270878,-0.18500724472647434,-5.380006035797372,0.0525582841161083,-0.3951999671975379,-0.42623203827332024,0.17584950483276612,-9.492603081704715,0.021932718210825652,-0.413669635263787,-0.42120480793261095
6,"(2, 'shafter', 11)",0.012007449466009401,-0.05876302047179571,0.0034898816959958445,-0.0021425750969955304,0.021279258810545057,0.9013543034633784,-0.014040425225980036,0.08591249651995092,0.08614905527041916,-0.03569165087832396,-0.8956248969341729,-0.0007159205832973914,-0.06384625314587655,-0.06252243278500558
7,"(2, 'shafter', 12)",-0.0354246909105318,-0.07215263664541638,-0.0030173838284792143,-0.0029120595309975184,-0.04112468223979812,3.4135506031770504,-0.030376986896146985,0.3116854612908657,0.30984686044728793,0.025457017696664724,0.2859336107506394,5.881022703135841e-05,0.020717780682602438,0.020261512025909312
8,"(2, 'shafter', 13)",-0.05730521920327103,-0.1055825719522927,-0.005478015531611591,-0.0018466553137187203,0.09102436678759644,-0.946356040116406,0.008938881142319222,-0.09087842778142008,-0.09158083122893146,-0.17784622598945726,-2.7229966500723677,0.0039159993910172775,-0.1901142546261747,-0.1898938187942525
12,"(3, 'donovan', 11)",-0.14601129021766113,-0.0997183249443534,-0.005468551209104611,-0.004919606836097323,-0.13986851254741745,-6.596751511551929,0.024018799891883602,-0.37095379092739655,-0.37481411508687046,0.19126631424044316,-3.868958258067522,0.026489947312984596,-0.18322053929293958,-0.14075243175315322
13,"(3, 'donovan', 12)",-0.0824583897865363,-0.03207982657660935,-0.0005464340456813321,-0.001983202004739393,-0.12073422543244816,-2.9896215254788103,0.007692689556122678,-0.21589922611212398,-0.18063725861662228,0.012651871836721007,-1.102410632483867,0.012660310226729643,-0.04924508367994562,-0.03936659981367896
14,"(3, 'donovan', 13)",-0.1550761500880684,-0.07313975389424954,-0.004717761173157031,-0.002413095662690379,-0.14260651200560148,-14.351787230316688,0.04271258536064071,-0.7386387805926535,-0.7146545631092973,0.2205676288228906,-4.63600645858196,0.009974617425089205,-0.2407842479914013,-0.13945009280166332
11,"(3, 'elcajon', 15)",-0.061381540251030486,-0.19378810049777329,-0.00046312360790701224,-0.012178990026927017,-0.05691178353707338,-1.9350162061306833,0.0031826443316629316,-0.07602641100992891,-0.08979628489475289,0.2085058928208241,-13.96204900908242,0.07650685011786473,-0.1254943628422538,-0.23769145766045696
