,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",-0.09152190774128943,-0.14426790617897467,-0.007502985894074055,-0.0031836639208907003,-0.14049412020195884,-2.1393828885284734,0.010001912894103349,-0.13917707397914825,-0.14185435472947994,0.2934514380850634,-2.3124336729619372,0.0022469157594785516,-0.14014312200055556,-0.1469111662816598
0,"(2, 'donovan', 18)",-0.20556133024585233,-0.06588490348694886,-0.015717024176875927,-0.0017816570813863064,0.03710336928263866,-7.103094606949462,0.03392893907175165,-0.46931621977695226,-0.46998867976331127,-0.0029841642203351504,-2.06967519625087,0.012574758441280642,-0.1456400717033297,-0.14560197604104808
1,"(2, 'donovan', 20)",-0.16902433316512333,-0.06327577746005808,-0.009434839241317217,-0.0023523113394596784,0.041938485249420246,-2.6485760600430908,0.0048333118938109765,-0.17222282141992729,-0.17271001515336248,0.05678742199108476,-1.4964358783674072,0.013479719642465748,-0.09105355446473773,-0.09208296193747856
6,"(2, 'elcajon', 17)",-0.12917768577241784,-0.2549371468066859,-0.012047781469334828,-0.001411227831080164,0.2808209289376262,-2.5256227535497544,-0.011174813182303733,-0.1596279800991276,-0.13092376223810476,-0.6153034105285833,-7.731606262244213,0.02012819766112539,-0.14274936341875133,-0.2201318118964437
7,"(2, 'elcajon', 19)",0.07336187460935939,-0.05149776808383777,0.006230768368011341,0.0013135112745770172,-0.1259582559782313,1.9151375310101528,-0.059922526890100025,0.12167177146988095,0.13778880503764324,0.18167996182239188,-2.37276598724182,0.005153461247652369,-0.05490080375074591,-0.09367637452280952
8,"(2, 'elcajon', 21)",-0.06029621259083928,-0.10853261141268433,0.0007763192516762052,0.0013090820316384866,-0.06913770694689969,-2.8910365432804355,-0.0013457859667210803,-0.17465108762503156,-0.1832832985324977,-0.2916586266240708,-5.032076657785069,0.010732308414533098,-0.048454329564954435,-0.1359213031044817
3,"(2, 'shafter', 11)",0.04480041643976218,0.08545696806741176,0.00683320449718261,0.0022756382277551723,0.02204648665103759,2.219908665325775,-0.03237852899374538,0.16211291971030306,0.15730057645609108,0.03398459052610072,1.1470927338611432,-0.007862114134519427,0.05177467680356429,0.05161641636962422
4,"(2, 'shafter', 12)",0.029734791387485693,-0.006019988084632999,0.00167125601480006,-0.0013432677363465761,-0.07255676068241884,1.916999372913459,-0.004364776924784652,0.11968680929995745,0.12431237230453895,0.1823890385834921,1.527180038609032,-0.0008605248775351848,0.02957068464548307,0.05882324646680992
5,"(2, 'shafter', 13)",-0.03290537873318833,-0.15626612562773623,-0.00411798093856014,-0.001959663534142786,0.017360824726007265,-0.6472730163389286,0.003897394548457611,-0.04631988924013086,-0.046511638283155854,-0.34408711041562223,-6.471613055717199,0.007628876677445495,-0.1941921823600996,-0.23116281879226896
9,"(3, 'donovan', 11)",-0.09884506729413278,-0.12133695091033303,-0.0043140297025215935,-0.0046703582432234825,-0.09328617113126719,-4.05092367458402,0.018710078677478648,-0.3304397667927965,-0.3330578067545886,0.0021991505314156445,-2.2372809873705677,0.012213772302925863,-0.187091265825285,-0.18710407871971757
10,"(3, 'donovan', 12)",-0.07136646185788864,-0.03646377579581994,-0.0026280913624586177,-0.0016051485650840636,-0.0533880110701378,-1.7831420049624143,0.006333644645680203,-0.15328437963004848,-0.15384467604261953,-0.0002659711708403595,-1.081853126345699,0.006789407124444979,-0.08264199546987427,-0.08262417044956205
11,"(3, 'donovan', 13)",-0.12667032111751464,-0.160584562414801,-0.006520264989232583,-0.005381604156805886,-0.06726556617596885,-10.812291175819936,0.0546453883111222,-0.8218505170675714,-0.8238960251896321,0.09567361921684155,-4.012807170495016,0.0173703467778773,-0.3087737673316493,-0.3093154734756922
17,"(3, 'elcajon', 15)",-0.05733546526930944,-0.1663134975616547,-0.000728199514165917,-0.009500394286829472,-0.19293957109897875,-1.782227542021431,0.0030295563041917717,-0.04422720372405742,-0.08647233893816342,0.2159673053146527,-7.1197719659974155,0.0324615021682052,-0.10254691036848662,-0.22093427720185943
15,"(3, 'elcajon', 18)",0.02424980157827683,0.06847671961817525,0.0019398360111029245,0.0038440515356950034,-0.05462520565361784,-0.33503476078244887,0.004678378058250221,-0.018296405712980857,-0.015235499583795331,-0.06281240913332908,2.217987750062349,-0.002789299916738597,0.0439684025470779,0.07193612940350569
16,"(3, 'elcajon', 20)",0.05420630262821735,0.008002655752859411,0.0029287082725040214,0.002524457711283956,-0.10534016181447159,0.903896557455738,-0.005249242903494489,0.059678309186638856,0.03901002117783747,0.08611048888846717,-1.1318197721295462,0.008307792964797445,0.011352781779619292,-0.03614502410687237
12,"(3, 'shafter', 17)",0.014675940481883032,0.01641617660166972,0.0010771922155089486,-0.0032763652531773713,0.03105139674888302,6.000461749352098,-0.014345228522246845,0.35548591041442634,0.35311815304355854,0.06048709436880273,1.227246810988163,0.004625202365768577,0.07893481311993256,0.04840766107133199
13,"(3, 'shafter', 19)",0.012369062427324273,0.15399495985387723,0.003812162694847243,0.003733579741191151,0.0507945663900522,7.290269190885567,-0.041339920780764094,0.4643174205277667,0.4669126837974442,-0.12756913733566222,5.081129821375498,-0.006939076162246205,0.14395785251274162,0.1921693199335337
14,"(3, 'shafter', 21)",0.008542784017599558,0.09706741462386148,0.0006293331717763251,-0.00030079958148698793,0.0111213810682943,5.716564591190874,-0.008773922118526789,0.33044338385832184,0.3304874063980048,0.12288673081259915,5.418945825480449,-0.0026104030914635423,0.22636405684943917,0.17629623523402316
18,"(4, 'donovan', 17)",-3.6066994966236625,-6.554006004200202,-0.4402146023839716,-0.18173930378191472,-0.7201537936402017,-47.07251634655561,0.6943788632567295,-5.159971987947945,-5.1983283941419955,-0.5206297683400172,-120.70127946808815,0.7004341597110914,-8.966408701133114,-8.972889905989849
19,"(4, 'donovan', 19)",-1.7305337036460902,-2.7623369264360664,-0.1854547524560986,-0.08109069798655975,-0.0426440124248591,-20.94858017021292,0.33860723045954366,-2.3971071703413727,-2.3953933343730736,0.09442620237235333,-40.20262460768102,0.21490131878823748,-3.5978141146821505,-3.5989670160085674
20,"(4, 'donovan', 21)",-1.8637265742312688,-3.154050254300054,-0.22057297156748112,-0.08855195583277087,-0.29434571597403236,-30.052383261801573,0.4423824628190174,-3.4981191063439945,-3.5087104640109272,0.3755346691374761,-48.35295837521812,0.27274221786274955,-4.2548476670885655,-4.268546616126898
24,"(4, 'elcajon', 11)",0.05364802577953487,0.022250960255697727,0.002599753380061437,0.002855236253167248,-0.05653499115844429,0.43801161792200105,-0.006368096686989455,0.017829217803011943,0.036180875189748996,-0.070940686302839,0.4847057293526831,-0.0011300123916682114,0.03452706565866581,0.04429879000596948
25,"(4, 'elcajon', 12)",0.055413522320444386,-0.04882540605270247,0.0026006769466416224,-0.0007428122302590157,-0.03468544910373428,1.046439928445892,-0.01449691842120604,0.04962957707490201,0.06053284832191963,-0.07757205506823212,-0.7250885999312899,0.0033000551204442896,-0.054802950353398217,-0.04987674272344922
26,"(4, 'elcajon', 13)",-0.2373942752213516,-0.05218683011915459,-0.01127764166197065,-0.003944317156632959,0.2646125577973608,-9.562507950987708,0.037909044380916246,-0.21572315914792028,-0.31227699773393347,0.01343181878114219,-1.5176082532155704,0.004812799149382041,-0.06383762135069837,-0.064887050525396
23,"(4, 'shafter', 15)",-0.040483450590652836,-0.09450801876438497,5.1958330625434535e-05,-0.007860194682072774,-0.0912272379817054,-0.22901825317069324,0.01346800580763774,0.02518292196899452,-0.0130354410457727,0.14189510491620005,-3.7147071209810747,-0.00150187331652063,-0.06148753916839489,-0.11415197547790967
