,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",4.538209791453942,5.668486189776692,0.4272436887142562,0.13202415649185195,0.07515275257936065,55.798591999761946,0.5769601638364317,7.469467456212211,7.469845513781523,-0.0364457642001428,60.78886002985471,0.7911224881515845,7.79663592276318,7.796721107610218
0,"(2, 'donovan', 18)",4.403998195257885,5.09389162536068,0.42365940134419433,0.11956194880505805,-0.13946068093483086,53.60687049980556,0.5868407032073257,7.320342970239146,7.321671291433778,-0.07410100269608806,49.484241457304456,0.829860607315044,7.034113340594018,7.034503639725013
1,"(2, 'donovan', 20)",4.655120069917534,5.979504658858438,0.44832668742989046,0.1402300333041843,-0.07045130289634297,57.476743329837284,0.5580211271867299,7.581014433605541,7.581341789540772,-0.12118288235189355,65.27726950908561,0.775783796980597,8.078526115746193,8.079434974618312
6,"(2, 'elcajon', 17)",6.995903369584487,13.630998396915727,0.6214214226263942,0.35738585161780523,1.0985556217107675,91.77511491860636,-0.41979350681450467,9.516737451492226,9.579932928711264,1.934850129070661,304.5459428728281,0.28332856186002797,17.343652957175156,17.451244737061828
7,"(2, 'elcajon', 19)",4.753452521474145,10.126152582007068,0.42232682279346073,0.26525805413680814,-1.0158035270789783,49.258416709480564,0.23689919877153143,6.944534407131613,7.018434063912018,-2.706785044730616,159.21038640333563,0.6251612844952323,12.324110559501644,12.61785981865925
8,"(2, 'elcajon', 21)",5.491367308384711,13.8807855637182,0.4889767259670661,0.36371299376774857,1.1930357469013049,60.764455671402196,0.05757356699977323,7.703318853262603,7.795155910653885,5.555083017825458,340.1454526741907,0.19875487478175857,17.586543302006415,18.44303263224871
3,"(2, 'shafter', 11)",4.915999635830377,8.350534997577014,0.3661793374830846,0.2646570085104562,-0.996895461313592,50.90699626107985,0.3970521236685809,7.064927177624632,7.134913893038924,-0.034543366634696406,124.04418970575459,0.7665454948881227,11.137459176417371,11.137512725279132
4,"(2, 'shafter', 12)",5.199893723622275,9.734473567938995,0.3868434885975981,0.30783709236309587,-0.5569620294207271,60.41282612368979,0.310529279859336,7.7525878488798305,7.772568823991834,2.2012114845964628,169.2732245160465,0.6804155298317449,12.822943985237286,13.010504391300381
5,"(2, 'shafter', 13)",4.852353522287513,10.483735876345461,0.3578190487851223,0.33379715753680866,-0.06940108096109537,48.093220182219746,0.44424393192163203,6.934580223386361,6.934927554215671,1.3812862865090012,192.72027161424427,0.6378665158463236,13.81348326024737,13.882372693968573
9,"(3, 'donovan', 11)",3.2304089971457315,4.2239006311900535,0.2724134863045453,0.14122509569173863,0.13404750005102126,34.98584540681267,0.7120193362243019,5.9133642459641305,5.914883380660406,-0.07576578399947849,34.63505070457388,0.8350365366256207,5.884667388766783,5.8851551130428055
