,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",0.0017452966357965893,0.004653471812986254,-0.11541768835117039,1.5046711738575311,-0.02066851604657216,0.09070649624941574,0.08063954924010197,0.0018343146907421892,0.06931050991594034,0.2681211308346265,2.2824289522397123,-0.016972774363194998,0.06257121788601516,0.11286891637688079
0,"(2, 'donovan', 18)",-0.008739926417933308,-0.14065455812049432,-0.08267566536692761,-6.5381559818700765,0.018249833817006178,-0.3343778001771387,-0.3437506009054694,-0.0008927628468284043,-0.024940751240353443,0.14140367857130315,-1.605515042114945,0.014871887389193983,-0.08602926629253638,-0.08581027216185255
1,"(2, 'donovan', 20)",-0.006651473482136905,-0.15211880837934721,-0.12488825702004963,-4.328783045330226,0.010634890870541924,-0.2272619705431076,-0.23407155611572428,-0.0032085831459746084,-0.09168335084599999,0.2606200051433283,-1.6427874785180592,0.018399621854839343,-0.11306711576135342,-0.08160338513956766
6,"(2, 'elcajon', 17)",-0.0016391141732130798,-0.016209722139810978,0.02773607421420312,-0.6540340643032376,0.003377618477489075,-0.09287434610563006,-0.0931637742011695,-0.0006156502930036722,-0.08944000575560374,-0.11717542859702333,-1.555217344517395,0.0038933801084820585,-0.12509780151878047,-0.12794915101534876
7,"(2, 'elcajon', 19)",0.000945369642665228,0.012684781550804658,-0.028789259697520886,-0.17391724170619582,-0.00870155740930545,-0.026894869289934675,-0.020642470772553878,0.001652169880318799,-0.0009446039048830457,0.09738901764662167,-0.33280450312361154,0.0005984650723985796,-0.02899088228832447,-0.02004453713722043
8,"(2, 'elcajon', 21)",-0.006271747086205898,-0.10608567729319995,-0.03197553933934017,-1.5415580278418766,0.01166501909439499,-0.19225667117383471,-0.19212225938559913,-0.0003410708105505422,-0.07507405071861495,-0.055151381529520455,-1.9474411794569733,0.0044197722335045375,-0.13505435621643525,-0.1368564108043886
3,"(2, 'shafter', 11)",0.0047045427456200994,0.02330761084219901,0.025961549055153688,1.5870276573378703,-0.023280633809240392,0.13375949606985138,0.13105636967964074,-0.0019476261800464856,-0.0506140819881038,-0.003814482606805336,-1.0398688671892984,-0.001877291703289874,-0.057290259427244195,-0.05738072749340439
4,"(2, 'shafter', 12)",0.000939300177082214,0.018552826762759267,-0.0366748594778159,3.258571110257897,-0.02581952984418745,0.2620699455737645,0.2589518661719499,-0.0021762133227846703,-0.04418824458790738,-0.011641684967719668,0.27838208540177334,0.0003840702517583505,0.014902520587694923,0.01601106017463394
5,"(2, 'shafter', 13)",-0.005451463886394947,-0.05411586963256809,0.01848250915415986,-1.7433275474607726,0.01733530859271093,-0.14215876196903388,-0.14261125873447789,-0.0013627947656941197,-0.1076264874625581,-0.25068201857100736,-3.864051482737537,0.0051317933097619894,-0.1913496873034255,-0.20182424887920192
9,"(3, 'donovan', 11)",-0.0026818724245796788,-0.08378700738165401,-0.10831981383890646,-3.8238922802419353,0.015827344139277333,-0.3045384560526001,-0.3030388872580767,-0.0040121870720915,-0.09986828132241587,0.025297963583248706,-2.3565038557316598,0.013078707251386934,-0.18211567636705883,-0.18027425467160896
10,"(3, 'donovan', 12)",-0.005808767278223437,-0.11355361548498966,-0.05800650118384543,-3.090983365783025,0.01569582552202342,-0.24424890203799876,-0.24875806345352736,-0.0025821009377516024,-0.06490024382202808,0.033372029482144815,-1.692342914847842,0.009860522326719967,-0.12329082956914572,-0.12359262604703947
11,"(3, 'donovan', 13)",-0.0033886503886043084,-0.09643194340123395,-0.1063551865765567,-10.550290057898515,0.04868805547150801,-0.7541200410212809,-0.7550928052810733,-0.003115371546785456,-0.09321047464405652,0.12871793788323843,-3.0185926395880642,0.012294899343710086,-0.2217438280391777,-0.21546882178761617
17,"(3, 'elcajon', 15)",0.0009149683851433499,-0.001930689387773299,0.04909303649654995,0.15966863980140822,-0.003194882160155288,0.028836008138024116,0.022953156662004925,-0.001707494255164449,-0.023843808266575728,-0.019011049340957764,0.3125195939304213,0.0001062914310107077,0.026842456123727487,0.02819079780179834
15,"(3, 'elcajon', 18)",0.0003187756296335609,0.002496237563621939,-0.057649824727011995,-0.15702313779550536,0.0017311610813761646,-0.020273777805852156,-0.01869107881077614,7.40416260595067e-05,-0.0038242114905160385,0.05421843960327144,-0.3531600291284178,0.0016171782745639796,-0.02409485111032339,-0.03469846869331317
16,"(3, 'elcajon', 20)",0.0008583020180850942,0.016115576544190713,0.006479284155717635,0.1367896409064162,-0.0010181928938665097,0.01932067183270636,0.019931369600694637,-6.788120805292785e-05,-0.01708339206492715,0.05736983393630263,0.4515686852538252,-0.0008761600712590134,0.04422477067721253,0.040762371637397266
12,"(3, 'shafter', 17)",0.000666417589280488,0.009070304111006067,0.057807262963749495,6.032326913572923,-0.03888883195473192,0.4595701777980681,0.4630742786377411,0.0002938404602059186,0.0705603924609628,0.03425194263558651,1.2204518598575191,0.0009832437538361827,0.06831396310622573,0.06600091819381504
13,"(3, 'shafter', 19)",0.004321350978943206,0.033970621243748944,0.0027077471018152055,7.414552424878547,-0.06652126632980015,0.6883315091085311,0.686445836485623,0.003164695637711795,0.10325561481310874,-0.058712366698707164,2.804689924303446,-0.005462317376218828,0.20646538510175638,0.21090756949215805
14,"(3, 'shafter', 21)",0.00011931220733651937,0.0015986218933865537,0.06219386870725076,6.718131659254542,-0.0649363860011185,0.7428611897970949,0.7411494917031405,-0.0014343773609502564,0.00662585989220954,0.003156373906561122,0.3331058944763896,0.0008936920541092741,0.027613478188833973,0.02768915960358509
18,"(4, 'donovan', 17)",0.02087924694316312,-0.13845778624756466,-0.6086909105216316,-2.6272599965833336,0.024675149334685287,-0.3519546785550398,-0.16620615551683837,-0.03371714385999092,-0.9318483947421683,1.164248672582647,-40.64639001924439,0.070516141928332,-1.5976688103690666,-1.3074098667943161
19,"(4, 'donovan', 19)",0.022341336524278665,-0.16745694896631091,0.43019552064629263,1.0368733230187992,0.010243623137653035,0.27244078663894644,0.09838433332892116,-0.009610452297097838,0.057331201180542024,-0.9132382345122183,2.2590898513305433,-0.11533863027402813,1.1626662242776167,0.10990201167855496
20,"(4, 'donovan', 21)",0.07120597425428354,0.34391720561824535,-0.5442870434783964,7.800277731152754,-0.12462278205034683,0.5138664330506701,0.6432673293855791,0.017035687010567208,0.8006592986330654,0.17235790996492906,14.98218590098702,-0.17028134399992267,0.7391555791628868,0.739360037540413
24,"(4, 'elcajon', 11)",-0.000946920095120346,-0.01628526313142986,0.021472769118272395,-0.588883294078947,0.005002473924426876,-0.07922756002247544,-0.07758990866373372,0.0007571912395365199,-0.008125286010906674,-0.11992010854693114,-0.049858510341369566,0.0004982025456244932,-0.002769118659315062,-0.005562642631582904
25,"(4, 'elcajon', 12)",-0.001542201870600196,-0.027205815078300333,-0.04228548427919343,-0.42891838227997425,0.0029453277834829983,-0.053463941607435395,-0.04473746722263172,-0.0001630487633874078,-0.029741997692010358,-0.04685079352143298,-0.45523876646328887,0.002073082113032476,-0.037824719962726405,-0.03947793916619524
26,"(4, 'elcajon', 13)",-0.0020085192530210627,-0.044557176642762375,0.05337822487063959,-2.543121188745342,0.0197997904829057,-0.2789294417260093,-0.2764356107176491,-0.0019905210724353306,-0.026508687310263568,-0.145885349090757,-1.0558318321084599,0.003495661996092414,-0.10617069448045857,-0.08468663602084892
23,"(4, 'shafter', 15)",-0.000550139344034084,-0.02536410998523797,-0.06499234436079598,-0.38217210547640335,0.008129460433473179,-0.041878556259772104,-0.04214451813009479,-0.002436664264103494,-0.030386244998036993,-0.008714397116789882,-0.3622187484301449,-0.0006418598323800762,-0.030644137886595146,-0.030758166585893143
21,"(4, 'shafter', 18)",0.0011303226867809268,0.0031276097756816057,-0.029567579928768448,-0.15039117208751485,-0.0017556787450100364,-0.019341072618279664,-0.019037101182502347,-0.00047019247290852606,-0.0123645074401324,-0.014454182570557084,-0.1373200491473625,-0.0003491960292252294,-0.013700828827931666,-0.015690267890161813
22,"(4, 'shafter', 20)",-0.003109497150532381,-0.055972214531901265,-0.00033615177972767807,-0.7133877336047547,0.0054816526472205584,-0.0869715815565506,-0.08676616925348846,-0.003928628953847657,-0.0585055209191645,-5.219045018938894e-05,-1.0947878822875978,0.004111643525537723,-0.1150570464287437,-0.11505701420906078
