,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",0.5122470598965423,5.441121037649191,0.7297153344069761,87.7955937284195,0.3343732833453532,9.341472542785876,9.369930294747101,0.17040598562583123,7.3164184634266105,2.0748734525267567,103.3761582230749,0.6447876353746518,9.953444551543496,10.167406661635743
0,"(2, 'donovan', 18)",0.5100221964563635,5.301751420147182,1.6499966430013169,87.20110406073024,0.3279229602965389,9.191224895475406,9.338153139712919,0.15765997356968942,6.717043566516807,0.08502045925567234,86.71563707178196,0.7018496112462038,9.31173499370762,9.312123123744765
1,"(2, 'donovan', 20)",0.5283817158762691,5.4863571567724945,0.4699566603220742,83.35092986982686,0.3590564131235324,9.117569343909686,9.129673042876554,0.17058091082630444,7.273686862682703,1.3147632053471616,100.49822869684141,0.6548058548091523,9.938290919174777,10.024880482920553
6,"(2, 'elcajon', 17)",0.21850364299048688,2.4598932650293635,-0.02351219215318344,11.996170989056392,0.8144149893791554,3.4634690943651787,3.4635489009188816,0.11705897602457088,4.464728268655464,0.09156823551884992,36.162272488885634,0.9149012868582479,6.012810304390443,6.013507503020649
7,"(2, 'elcajon', 19)",0.26411848961970963,2.97275624632713,-0.8508839287441524,17.659207267662197,0.7264273576942031,4.115240431404281,4.2022859573882165,0.1678907270118937,6.409181897827324,0.8010832633368836,68.7506931882148,0.838136053137593,8.252815204853885,8.291603776605271
8,"(2, 'elcajon', 21)",0.24592562409595628,2.7618245628844087,-0.03244722635387618,15.333945761593377,0.7621781410161044,3.9157238024317986,3.91585824074281,0.14155730597639749,5.402409710142871,0.21515361065964164,49.65285871744932,0.8830379454209148,7.043192999005817,7.046478462143294
3,"(2, 'shafter', 11)",0.30980957672650317,4.15922912754357,-0.503564151937874,37.457830683998594,0.556345470727254,6.099528983027965,6.1202802782224435,0.2062991015099458,6.509209322750408,0.2778688039266875,81.58502946607994,0.8464547777391138,9.02816805265826,9.032443161519476
4,"(2, 'shafter', 12)",0.3149516852636087,4.233534594012721,0.41125246907634944,41.23338983820676,0.5294175623007122,6.4081402168905806,6.421323059791242,0.2066886076954142,6.5359400745377005,-0.891534283941644,75.714993161012,0.8570516037469278,8.655643233928727,8.701436270008072
5,"(2, 'shafter', 13)",0.3071414804772278,4.1651193520702385,-0.15804547550757475,36.492001377457115,0.5783054009483068,6.038793178001346,6.040860979815469,0.22842745867060893,7.174336538031799,0.2818510867160967,89.71690131395029,0.8314163124192535,9.467706232765769,9.471900617824824
9,"(3, 'donovan', 11)",0.29898005984056414,3.5454480920829963,-0.13919166596282556,37.91756597871846,0.6878873243639312,6.156150738706211,6.157724090824341,0.15606375815289214,4.66771010732234,0.40385503295865977,41.54767499663601,0.8021123623851643,6.433084500270306,6.445748598621886
10,"(3, 'donovan', 12)",0.2798087133600464,3.3190248036412124,0.5800678398318139,37.0692412397393,0.695939629141372,6.060755912933195,6.088451464842214,0.16856607009511038,5.039719820858012,-0.04637263498721233,46.03160501153002,0.7807098475336598,6.784501055067725,6.784659535417383
11,"(3, 'donovan', 13)",0.3285535425806837,3.8573721745951146,0.014275722639721183,43.67282629903732,0.6448454534818179,6.608526528153072,6.608541919291828,0.1740726245492785,5.178616033904658,0.39203403855431745,47.56825365572708,0.7709110382516027,6.885823333355582,6.896974239166555
17,"(3, 'elcajon', 15)",0.16848562298975817,2.6728040742952337,-0.3784257840662801,12.177432252383952,0.880320135029663,3.469038220567702,3.4896177802710646,0.1776162643440591,4.005795288913463,-0.4246208902003499,30.880601501154246,0.9007026200176964,5.540785015046749,5.5570317167669865
15,"(3, 'elcajon', 18)",0.19715629288851144,3.144288255059846,-0.14355708642412507,17.565637743726718,0.829790973377832,4.18867868406272,4.191138001035842,0.16195071363573144,3.645447136205538,-1.0162170925633314,25.721497483946056,0.9171668013489818,4.9687825786679936,5.0716365685985485
16,"(3, 'elcajon', 20)",0.1625641302058397,2.5935172476325246,0.3928489458572041,11.84379852351691,0.8852668922227179,3.418986443854825,3.44148202429083,0.175142886818494,3.940412166387172,-0.2981095312070675,30.907146363667195,0.9004708066491072,5.5514211622013905,5.559419606727594
12,"(3, 'shafter', 17)",0.31832924835186666,4.357289773804031,0.69624484714196,45.49346185603171,0.4650142620315555,6.708852728021003,6.744884124729772,0.3039162818474767,6.930568908631378,-0.5699827708857953,86.09463102360559,0.7779912497204656,9.261196003283878,9.278719255565694
13,"(3, 'shafter', 19)",0.24930596386630272,3.4690160414541658,0.4217703156054873,32.992452736053416,0.6189568900716734,5.7283996501789805,5.743905703966023,0.20002137792691085,4.575842428166603,-0.6272569631033598,45.623961079712636,0.8893909709184876,6.725363172461097,6.754551138285403
14,"(3, 'shafter', 21)",0.21257988533974428,2.909792817666073,-0.07632077295124078,24.03757202243126,0.7173273327036327,4.90221859874088,4.90281266442348,0.18558841054572944,4.232195985393296,0.16530802544260464,36.34812192951175,0.9062705649744117,6.02667364153594,6.0289403653968705
18,"(4, 'donovan', 17)",0.7534791450298555,5.739478238167301,-2.5272898677507105,61.1604570215797,0.08256185160988727,7.400896091086692,7.820515137865261,0.3219404502616917,11.967498966326112,3.9316039389529185,221.73947557787875,-0.46031142403616143,14.362519485099671,14.890919232132003
19,"(4, 'donovan', 19)",0.5034697325200485,3.808182954788208,-1.6877397353078476,28.288531453623282,0.5820559973211623,5.0438146317234605,5.318696405475996,0.23137284821114565,8.636900402900931,7.110755880848777,106.76462078513964,0.290266887051126,7.496784075635606,10.332696685044986
20,"(4, 'donovan', 21)",0.5599654253683375,4.26542578414738,-1.936433476087285,40.76372663141028,0.3885232435557783,6.083909273436149,6.384647729625361,0.2022001090091875,7.5163888029339025,4.555267369642285,110.2823586891326,0.27371259518095337,9.462129692399376,10.501540776911385
24,"(4, 'elcajon', 11)",0.14138838367415865,2.734609790616184,0.2678847493165075,14.1079090503614,0.8604717110748111,3.7464845941178457,3.756049660262947,0.1801269734118926,3.1989188372523465,0.04447433992175966,20.05935935240538,0.9329741200230132,4.478546793461422,4.47876761536088
25,"(4, 'elcajon', 12)",0.1823780706497431,3.5273962728214583,-0.9061515215158086,22.76585684864325,0.7748439516679749,4.6845219895826276,4.771357966935959,0.22305837144550747,3.961348001957568,0.18304734929529703,33.01648425338442,0.8896794821832603,5.743080874655435,5.745997237502331
26,"(4, 'elcajon', 13)",0.16769015899613327,3.2442233229708997,0.2198004255916966,19.906105364121505,0.8035441085250763,4.456208381744032,4.461625865547391,0.23929765453885085,4.244396024533472,-0.9458907661295828,38.33360425194419,0.8693419008547587,6.118733113349952,6.191413752281799
23,"(4, 'shafter', 15)",0.26105133688334636,3.240332778774994,-0.013842434155159922,20.367118073679215,0.713344963121824,4.512973129077258,4.5129943578160185,0.21169426248681714,4.179507909460601,0.07455684933163675,34.489696242585,0.8754686643755478,5.872319603843841,5.872792882656854
21,"(4, 'shafter', 18)",0.22651868434121172,2.7957509421430315,-0.05523808352741303,15.526995134161407,0.7778846391049139,3.9400436437149926,3.9404308310337597,0.15627008285770427,3.1309133361344825,0.6408091493677927,19.080449697449,0.9316284801061598,4.320857938379355,4.368117408844341
22,"(4, 'shafter', 20)",0.22740807859823828,2.805258731017984,-0.2671237712467564,16.545333445200228,0.76323095330523,4.0588148931489005,4.067595536087656,0.17109192057979827,3.4327659535624964,-0.0022026384876550997,22.090565039634487,0.9210743767488305,4.700059597295007,4.700060110215026
