,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",-0.02908643378480935,0.06899294797984457,-0.0014743506419027663,0.0018153962160650516,-0.0863522718659378,-0.38752403645140987,-0.005427160670923747,-0.017159900512474735,-0.02197417513497868,0.3383711727301597,2.8542632022516585,-0.017912196476490894,0.10035082496196246,0.14947211587464793
0,"(2, 'donovan', 18)",-0.13327938373446369,-0.055220222537701424,-0.008223722651983956,-0.001588606097576356,-0.025166995866709563,-5.588167912661717,0.013798431356722873,-0.3069373861275686,-0.3075250276908541,0.11826819941310451,-2.1484387064488146,0.01608424472198844,-0.13235646212041274,-0.11931100254493998
1,"(2, 'donovan', 20)",-0.1742053673927355,-0.08571918719801364,-0.009106665427235816,-0.0030534670383367546,-0.10510566764978613,-4.8752937634723,0.016370154444075524,-0.27199437334170184,-0.27375388557648606,0.2150495648955022,-2.797636578886113,0.021899761992180133,-0.16804449787073672,-0.14202739483220306
3,"(2, 'elcajon', 17)",-0.053385770279646305,-0.0592594956207364,-0.0049470066026423565,0.0002291637300279592,0.007446960746518495,-0.84858456246433,0.006370550586271451,-0.12111236665601988,-0.12120741449211803,-0.12927857177250812,-1.631258350475619,0.00407772883624713,-0.13037841053379662,-0.13271414701017648
4,"(2, 'elcajon', 19)",0.035305065778013844,-0.01623989994712627,0.0029821469707507486,0.0010346990518297627,-0.008274372681489783,-0.05266111981744892,-0.008090337833057126,-0.006799246840675011,-0.007059686567450374,0.13145586321826738,-0.8057897178309545,0.0017489011110181085,-0.05259373872430739,-0.05436496420657466
5,"(2, 'elcajon', 21)",-0.09422666264620805,-0.10874226322506608,-0.00558139701221097,-0.0015075716989755988,-0.04045690923473452,-1.1104110232146365,0.007776536559866654,-0.15542636228517281,-0.15730594451799185,0.006669916965675657,-2.1674197442125163,0.00498269827857778,-0.17882772011815007,-0.1788061390427993
6,"(2, 'shafter', 11)",0.008487924111911127,0.045303656133672376,0.004209742803360228,0.0010303209319640905,-0.007009686984586372,1.4585524415748736,-0.02309261282719921,0.10588514783214986,0.10607519291986378,0.02567075346965743,1.062680797820363,-0.007030586243931158,0.051127727955453395,0.05090886046492393
7,"(2, 'shafter', 12)",0.019160721005355263,0.01023318106792992,0.0008916219022483407,-0.0008662885530136277,-0.07216054773588554,1.6078117621538226,-0.003510623824201309,0.11952257231368613,0.11327846902493999,0.13626686716788172,8.951337532733362,-0.014836221105118175,0.32497575128306977,0.33775949627878
8,"(2, 'shafter', 13)",-0.09532979501469008,-0.15860632162948818,-0.00886611013440286,-0.002175111781696215,-0.026627296831004732,-1.7105270727250073,0.015895546741047317,-0.12185009457601659,-0.11882281049650345,-0.24099124862214216,-6.2488014500796965,0.007607972066492663,-0.17384404441060042,-0.23380993397928407
9,"(3, 'donovan', 11)",-0.08148959696288349,-0.08088476240164244,-0.0025942118986477247,-0.00333501338347747,-0.109737155405493,-3.657358629219381,0.014717452421424637,-0.2935158556869055,-0.29209185941492066,0.02897750664037867,-1.886298821217757,0.010632375797655969,-0.15280913150716202,-0.15287712040267287
