,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",0.1045789210543484,0.2026184937859501,0.01123379324360485,0.004989031544572448,-0.1376657424889034,4.144920357885738,-0.042001421829557906,0.24332988871133665,0.20661424552419128,0.2508159060963431,7.034161606644346,-0.037055572125984204,0.23082492967593993,0.2909058255451207
0,"(2, 'donovan', 18)",-0.11072432174887847,-0.11587823175193712,-0.005603166192603259,-0.003120547567745241,0.00036903893022399714,-5.214728688805295,0.004957307540234157,-0.2683397260313356,-0.26056131971154883,0.16890367415233015,-3.3104960965575003,0.026051259757610357,-0.14864027005025449,-0.14148004531624103
1,"(2, 'donovan', 20)",-0.1616753083992739,0.015463112300382775,-0.007405093323471057,-0.0008993609424820803,-0.08956208625287387,-4.102580845806543,0.007301405700865016,-0.20828771175687244,-0.21410970911718863,0.25586804239457583,0.08263494508801728,0.017232227283033863,-0.07925437073418884,0.0034883858012957347
6,"(2, 'elcajon', 17)",-0.04816241326003645,-0.10993124503963436,-0.0045289268872856225,-0.0006186933340261991,0.034597170043647374,-0.8331176049682547,0.0032968812270206538,-0.09413465361015394,-0.09934360299985201,-0.16389014653682166,-1.7756787926304796,0.004541163611262111,-0.09104493450960405,-0.11692761278557917
7,"(2, 'elcajon', 19)",0.034962800038259356,-0.07340980968053223,0.002926040553498155,-0.0002523781032176542,-0.053268237853294154,-0.25261438909311806,-0.007591560834940503,-0.036919922210326916,-0.029872781261209624,0.11641793660720512,-1.6859261465600355,0.003781152864244186,-0.11480185533330456,-0.10120541440547903
8,"(2, 'elcajon', 21)",-0.11507305164961457,-0.10864338777884353,-0.007061773266155147,-0.0012303343185239846,-0.014701492292407026,-1.485317684144352,0.010787535698514872,-0.18432207234936948,-0.18490643211979574,-0.06395773187763241,-2.1365291192922484,0.004869555966449779,-0.15152231022979468,-0.1523278246292019
3,"(2, 'shafter', 11)",0.015371576333112369,-0.07496957285504102,0.003921050282512384,-0.0026914419387028543,0.023598639880434924,1.2020446941129102,-0.018061127788054354,0.10903434933548528,0.10761587072815448,-0.03618666314834357,-0.8430232158905113,-0.0014781135795538525,-0.05374499313266945,-0.05203533605601329
4,"(2, 'shafter', 12)",-0.001780694819866202,-0.01653524711402632,-0.0005421222749829036,-0.001241966624600549,-0.026963995756389636,0.42352369125058686,0.005479529520710069,0.03906212771153861,0.03597049275525421,0.01896237671516493,-0.6425694456381166,0.0019925934800947287,-0.03922545368298014,-0.04006171594717678
5,"(2, 'shafter', 13)",-0.08534365880249073,-0.17228256922783647,-0.007761774428847734,-0.0035973168775330633,0.06168477654685123,-1.8495991160303262,0.01876241532429823,-0.15024395292406378,-0.157229492583145,-0.24272455602610932,-4.301390330014769,0.006210398634440617,-0.20363497559884358,-0.24026394347961322
9,"(3, 'donovan', 11)",-0.10363643641419618,-0.0757219181779778,-0.0035718857927211634,-0.0035072016294954433,-0.10730384132023033,-4.8130626729503945,0.020084615862436594,-0.3430522924168935,-0.341468267881063,0.11144481162379671,-2.29397993376287,0.014432369472712536,-0.14885272716768938,-0.12678609340595592
