,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",5.878533258780964,9.09189826689441,0.5534266481996123,0.21175851178068272,2.161641875537916,102.6956152528643,0.22140801955228728,9.90065248635077,10.133884509548365,3.451012262980501,149.70877879471684,0.4855834243124888,11.738794367187486,12.23555388181168
0,"(2, 'donovan', 18)",5.62420808644464,8.673374774427048,0.5410421451816209,0.20357825941648336,2.3785218829659867,97.54406732269365,0.24820759194499964,9.5857551073315,9.876440012610498,0.5712189654750695,135.22842981403122,0.5350503060221556,11.614737993461095,11.628775937906415
1,"(2, 'donovan', 20)",5.594345116238484,8.797292472073858,0.5387818523759831,0.20631217579502398,0.634201193677968,89.74725621354223,0.30987058693087866,9.452250793601442,9.473502848130792,3.7792262845455,140.3286584124175,0.5179951735012482,11.227025747114306,11.8460397775973
6,"(2, 'elcajon', 17)",3.0687426139131744,5.85105887866823,0.2725855833148004,0.15340663972874605,-0.8758516452581777,17.168092392799142,0.7344035349309497,4.049811883208079,4.143439681327477,1.1756626454076597,56.77027083927725,0.8664056028388137,7.442317391538359,7.53460488939382
7,"(2, 'elcajon', 19)",2.973021559671,6.312646093025485,0.2641420617372505,0.16536193836004515,-0.562318617526504,17.751336601265148,0.7250001098655995,4.175540013134645,4.21323350898869,0.9802518537309929,68.53565340325953,0.8386423344085325,8.220386834051405,8.278626299287795
8,"(2, 'elcajon', 21)",2.7620979868645366,5.3363041715451205,0.245949971030899,0.13982516745746074,0.2987792970017238,15.397385870462973,0.7611942165350816,3.9125588573422303,3.9239502889897793,0.05787160711384519,48.118740920442136,0.8866517065242859,6.9365259159086445,6.936767324946263
3,"(2, 'shafter', 11)",3.8832781125815816,5.948349750780848,0.28925474203935664,0.18852354382951111,-0.2868814919623469,31.794866912564064,0.6234182157428285,5.631391134235779,5.638693723954518,-0.388205714998745,65.19706886009413,0.8772973608712915,8.065132679298921,8.074470190674688
4,"(2, 'shafter', 12)",3.9141877614710037,6.0586545523050646,0.29119403763865415,0.19159521960763864,0.6130553546954076,34.870017887136825,0.6020405286993438,5.873174696527597,5.905084071131996,-0.3620174486329921,63.99541703296008,0.8791779296214901,7.991518026452835,7.999713559431992
5,"(2, 'shafter', 13)",4.155643638196574,6.489073567779369,0.3064427286428321,0.20660901204686316,-0.7681238208400913,33.677485305625886,0.610829411187126,5.752170991300503,5.8032305921465746,1.329239823439282,77.99103779029663,0.8534499458142437,8.73064483750538,8.831253466541238
9,"(3, 'donovan', 11)",4.174538829628566,6.833303928310983,0.35202993716820435,0.22846986362332122,-0.15465925235200417,47.29126689089728,0.6107291314051735,6.875125250361665,6.8768646119359715,1.6560851954315867,80.69898413233615,0.6156383882092533,8.829290229928182,8.983261330515559
10,"(3, 'donovan', 12)",4.113911695277457,6.951854226221522,0.34682125215502535,0.23252220132125118,0.6604863608438876,48.43040125674323,0.6027497387464444,6.927781696014161,6.959195446080188,2.5158587291257217,86.67133223928286,0.5871060838210509,8.963358029564377,9.309743940586275
11,"(3, 'donovan', 13)",4.596584952219267,7.443164859266093,0.39151634881672315,0.25019256757456365,0.36300159006571087,55.33208228218763,0.5500304821977995,7.429691268626275,7.438553776251647,3.4137160592311826,89.68982366766072,0.5680533338026499,8.833819471202771,9.470471142855603
17,"(3, 'elcajon', 15)",2.5389621239645925,3.8095742025515023,0.16004862433336825,0.1689158556033524,-0.21919838339836967,11.398373370089438,0.887976729614182,3.369024404971933,3.376147711532989,0.15729244964646438,28.762338637911224,0.9075139495323103,5.360746005046952,5.363053107877193
15,"(3, 'elcajon', 18)",3.0509565413192403,3.362156873569264,0.19130411484458737,0.1493654096974736,-0.12624627816660447,16.843093723109757,0.836792342541602,4.102091613785886,4.104033835522041,-0.4895197883931014,22.24769013168157,0.9283538084299299,4.691274934618892,4.716745714121291
16,"(3, 'elcajon', 20)",2.37932059787479,3.5394130976990956,0.14913808027590117,0.15731933650549446,0.4469307918297895,10.549201296583975,0.8978078994739762,3.217056756264459,3.247953401233456,0.28973973942773185,25.86026665327188,0.9167230953788466,5.077038265029049,5.085299072156118
12,"(3, 'shafter', 17)",3.213033887505656,4.0840904084571745,0.23473367974923948,0.17909374944983536,0.11469686312838992,28.058605271862653,0.6700415172792018,5.2957954929314095,5.297037405178734,-0.4485264158452326,34.04281422770322,0.9122151689038712,5.817356641088288,5.834622029549405
13,"(3, 'shafter', 19)",3.414500374400448,4.482761844991959,0.2453881148975374,0.19595259566504167,0.17890821866092654,32.11342354500262,0.6291091518436438,5.664045850750391,5.666870701277965,-0.4281523003726907,43.13616632402608,0.8954222877083603,6.553842538304589,6.567812902635556
14,"(3, 'shafter', 21)",2.8391516607455665,4.161315247007365,0.20741907493865425,0.18248017935304517,-0.19764410005334315,23.379136517187213,0.7250702827959417,4.831156525152148,4.835197670952782,-0.0968671167020882,35.29231264704298,0.9089931377591206,5.939943549981676,5.940733342529606
18,"(4, 'donovan', 17)",6.613221698142916,12.568992710183442,0.8681842537311778,0.33812137221304467,-4.4308359563525475,71.37264721630349,-0.07062622643127758,7.193075846522959,8.448233378423177,8.660371185048234,240.45474169354392,-0.5835647006183182,12.862842243433997,15.50660316425051
19,"(4, 'donovan', 19)",3.9577291967585224,8.597464943772371,0.5232408431358093,0.23031641661260313,-1.8757596912187977,29.140772897224192,0.5694647038928945,5.0618473389178495,5.398219419144075,6.664073179471861,105.77557996650667,0.29684167759390834,7.83362677799806,10.284725565930609
20,"(4, 'donovan', 21)",5.854704317459263,11.207869912172692,0.7686060335913797,0.30150549385065384,-4.114786067316609,60.29007261020412,0.09561806311723875,6.584725371946895,7.764668222802834,9.343783380698598,192.51537432945167,-0.26785002852213213,10.257148073890633,13.874990966824146
