,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",0.0018734681455346847,0.006301678282961021,-0.08999834438705268,0.934289804535652,-0.01616477025910823,0.059627545172354246,0.05064334506840318,0.002735998807273099,0.10794899321029394,0.2739725638391588,3.9513615565059155,-0.022638863365783246,0.14719159579903263,0.19533375044825796
0,"(2, 'donovan', 18)",-0.006501229985565904,-0.11578089747275744,-0.04008968010196168,-5.403031276333621,0.009966241785917651,-0.2830745729829456,-0.28530245133722687,-0.001520345508380816,-0.05193768604996052,0.12461078120471702,-1.9290885611735575,0.016031924771569783,-0.11187462529915848,-0.10293625031782483
1,"(2, 'donovan', 20)",-0.007886512298303061,-0.16301536177538356,-0.09742006716600327,-3.8420100009881963,0.007800449036679202,-0.2075390435394162,-0.21184237367969594,-0.001806779234879402,-0.03153482593339074,0.22327000873298952,-0.6424149105052663,0.015073666993773993,-0.07095157899176563,-0.03169546881816032
3,"(2, 'elcajon', 17)",-0.003971344223375417,-0.041799280019026774,0.023738375973304304,-0.8061801904359172,0.0022900448429676867,-0.09019990772435182,-0.09320551073922889,-0.0006228735443403466,-0.11211015408048208,-0.1647220291738929,-2.035655240133771,0.005167903661930318,-0.10710120591847261,-0.13146869780986847
4,"(2, 'elcajon', 19)",0.002671298057731808,0.032122574366765466,-0.05226507710374906,-0.12640650305220547,-0.009610267430992914,-0.02360099214775957,-0.014880585077941433,0.002322093259579855,0.02195005030576258,0.13344638545742082,-0.19171704242577903,0.0002553021430322655,-0.03179952509746897,-0.011212433370303643
5,"(2, 'elcajon', 21)",-0.0066717910142972126,-0.10985413843995806,-0.029932158400611364,-1.5393830077618897,0.012035724790478097,-0.19410519781464952,-0.19525731702842908,-0.0021429231522978875,-0.14616065859483385,-0.06961479034943185,-3.223207005946975,0.0074162317891866,-0.2193521247247432,-0.22207670978303629
6,"(2, 'shafter', 11)",0.0064934867843919886,0.047978924109334464,-0.009339063078740023,1.7317793765950356,-0.02489128025903209,0.144310667821399,0.1445138333154743,-0.0015194687383372762,-0.03702470281619341,-0.01111410417343106,-0.4405652297247684,-0.002922042420361204,-0.02525789218147345,-0.024534588139029978
7,"(2, 'shafter', 12)",0.00018836594219806546,0.00838174089051602,-0.018041006830198714,0.5804525713674025,0.004369709146496703,0.04979459019330701,0.04770564498650032,-0.0018609711427394482,-0.03390985030274685,0.021954797791349345,-1.01628990103994,0.0028497280171105865,-0.056196138526184214,-0.058022548360794346
8,"(2, 'shafter', 13)",-0.006288067262518016,-0.06506535853994144,0.03600539696703603,-1.9032733366055083,0.01916181349288648,-0.1532599319042527,-0.15524800958144436,-0.0006023006066951386,-0.08295758498493999,-0.2677258453199051,-2.8316578306315847,0.0032131965313674238,-0.13261136652134908,-0.1482386415125525
9,"(3, 'donovan', 11)",-0.0020387749860610316,-0.07646342935183581,-0.09062350873547437,-3.876635312075294,0.01607418961814877,-0.3057070140093723,-0.3054100004594078,-0.002761975993770205,-0.06246072223284216,0.030764361366156984,-1.4048565035413816,0.00848775970926896,-0.10920760361195647,-0.10862276325993747
