,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
2,"(2, 'donovan', 15)",0.5078955563169215,5.394899088269409,0.5773429008408346,84.37404340800765,0.36031393946403467,9.167372494991298,9.185534465016593,0.17001722798826324,7.299727068773691,1.5996006035703472,101.99202021946944,0.6495436926868954,9.971624646295238,10.099109872630827
0,"(2, 'donovan', 18)",0.5151411068959217,5.354963203636406,1.703750296552003,88.81064225386217,0.31551791478958746,9.26865023540033,9.42393984774214,0.15407084136593013,6.564129945939653,0.08525980331794536,83.72663241530418,0.71212656855643,9.149828589523683,9.150225812257542
1,"(2, 'donovan', 20)",0.515275745118076,5.350273650653404,0.412274876502396,80.74443015362921,0.3790996121604394,8.976327737654483,8.985790457919059,0.17221107852586653,7.3431983298383,1.2387370220546066,100.06537363223862,0.6562926375709444,9.926273431879721,10.003268147572504
6,"(2, 'elcajon', 17)",0.27421364839866985,3.087071216036364,-0.507055028029069,17.55307257761736,0.7284477552281193,4.158842114840806,4.189638716836734,0.1523827146638736,5.812005511405207,0.30861994031760775,57.97957860013619,0.8635598045203298,7.608175359893518,7.614432257242571
7,"(2, 'elcajon', 19)",0.27216824929109223,3.0633594198459186,-0.8098129537375414,17.42611551727239,0.7300383649771061,4.095157935519634,4.174459907254158,0.17637655308804384,6.7331259526500755,1.4158965000479349,73.58162367549504,0.8267622990788752,8.46031091589999,8.57797316826621
8,"(2, 'elcajon', 21)",0.3282680889877048,3.686557164224659,0.8909294440847686,28.379483996824845,0.5598483426207662,5.252211793496651,5.327239810335635,0.2100590881195501,8.016719797917242,-0.20957005787633862,109.89568114632493,0.7411302191201914,10.481019105655472,10.483114095836452
3,"(2, 'shafter', 11)",0.30907838255010794,4.149412761798886,-0.05733938376726262,37.96698275731958,0.5503150194359581,6.1614685250000525,6.161735368978416,0.20786547964310445,6.558632141718998,-0.3159508967639566,80.41589843170942,0.848655113826498,8.961923538606436,8.96749120053705
4,"(2, 'shafter', 12)",0.3144207009307031,4.226397180093652,0.5323876849412524,37.703889346969255,0.5696985324451648,6.117225899657271,6.140349285420924,0.2050831193044288,6.485171064910861,-0.7102833247704818,73.871864107304,0.8605313946220945,8.565474984646574,8.594874292699341
5,"(2, 'shafter', 13)",0.3114414032661251,4.2234302373098895,-0.22895881775893603,36.86137103640425,0.5740370357079231,6.067037939403155,6.071356605932833,0.2272929165007139,7.138703399219215,0.2990984531338848,89.50593155365577,0.831812737837849,9.456028321456506,9.460757451370148
9,"(3, 'donovan', 11)",0.3056111944379737,3.6240832476156712,-0.1679261970894571,38.47242046221133,0.683320124097732,6.200340415198008,6.202614002355082,0.1540683030745443,4.608028052063957,0.13343532240517922,39.712616565443156,0.8108525717437708,6.300381859420089,6.301794709877747
10,"(3, 'donovan', 12)",0.2779701408479261,3.297216091189974,0.5443952313514228,36.404207356904834,0.7013945681227348,6.008980019513101,6.033589922832412,0.1673244763373603,5.002599155549412,0.060481578774942486,45.423746254006545,0.7836056283690648,6.739442724404687,6.739714107735323
11,"(3, 'donovan', 13)",0.31693733442533284,3.720992460771906,0.31736228578501285,41.272340921464284,0.6643665920923105,6.41651167874668,6.42435529228142,0.17301554412581677,5.1471681618211536,0.5177013866401904,47.80211382206932,0.7697847664508888,6.894497738921704,6.913907276068238
17,"(3, 'elcajon', 15)",0.16544137290606725,2.624511027787893,-0.6418538382875036,12.07404422003271,0.8813362331277594,3.4149769948655853,3.474772542200814,0.17877686666237372,4.031970455451145,-0.7134113762046813,30.39696133398154,0.9022577775962384,5.466992347198397,5.513343933946216
15,"(3, 'elcajon', 18)",0.18977014976729487,3.0264925574131816,-0.3030292926259631,16.292710489791837,0.8421254933089665,4.025032139628671,4.036422982021562,0.16966340074766753,3.8190567024338,-1.3061166309329042,27.799010458383325,0.9104764037537781,5.1081376324746435,5.272476691118068
16,"(3, 'elcajon', 20)",0.15099265898176478,2.408908194195448,0.32579503155456396,10.448794003932505,0.8987805638355433,3.2159993173891688,3.232459435775259,0.16937377888261246,3.8106172114638417,-0.32647891404532686,28.525851959338816,0.9081392050319619,5.33097210802611,5.340959835023927
12,"(3, 'shafter', 17)",0.2387696116985116,3.268277711632347,0.24873790192616188,28.945503934741936,0.6596119277006987,5.374349579469681,5.380102595187376,0.18127320971785107,4.133791265151281,-0.32760673667562484,35.19994150834922,0.9092313314864121,5.9239020369195945,5.932953860291619
13,"(3, 'shafter', 19)",0.24889007663261636,3.463229098122687,0.31860151005802273,32.623296619848546,0.6232204225738827,5.7027878883750525,5.71168071760393,0.19006523734578368,4.348078121350558,-0.7938424098866591,42.17421071523631,0.897754416997219,6.445465456198686,6.494167438189157
14,"(3, 'shafter', 21)",0.20229776920153447,2.76905124354416,0.11498517071991252,22.605445805292295,0.7341685901037545,4.7531278350468815,4.754518461978279,0.17579047357112024,4.008761831250033,0.03965101759337303,32.39143820765533,0.9164735055979667,5.691209539685723,5.691347661815725
18,"(4, 'donovan', 17)",0.6573020142930648,5.006867982774885,-2.2067468054483363,48.781840664219175,0.26824743055383404,6.626621250425641,6.9843998070141415,0.24948359131060702,9.274058661153239,5.317632409834093,145.0253894207907,0.0449051419710238,10.805006935452088,12.042648770963583
19,"(4, 'donovan', 19)",0.4923822544681473,3.7243186384220657,-1.4106904150981034,27.33956223092887,0.5960763785488746,5.03483016380676,5.2287247231929195,0.21076309605439347,7.867560447575237,5.8964313788561045,89.76879334814846,0.4032490849486208,7.416258511678553,9.474639483808788
20,"(4, 'donovan', 21)",0.6986578938591584,5.321888209088457,-2.9387421999509034,52.90394888059695,0.20641369821002653,6.653400873346299,7.273510079775579,0.2948527364051466,10.960566823083983,8.532352549938862,188.58079157315882,-0.24193801563919326,10.760099976546162,13.732472158106086
24,"(4, 'elcajon', 11)",0.14619523695383752,2.827579719963129,0.47257238412372427,14.96078562134441,0.8520366971979253,3.8389400834131466,3.8679174786109916,0.18186067369607375,3.22970804328944,-0.20704023469872243,20.21107483114067,0.9324671814269336,4.49090293481179,4.495672900817037
25,"(4, 'elcajon', 12)",0.18687476202088937,3.614367323266838,-1.1850466184513067,23.348374516695266,0.7690828078158386,4.684446503065358,4.832015574964061,0.21634177316501427,3.84206629553265,0.4536207010284074,31.296313642821254,0.8954272205261462,5.575889338474963,5.594310828227303
26,"(4, 'elcajon', 13)",0.16791429856510046,3.2485596467098543,0.306585103289449,19.737588405207244,0.8052072238751947,4.4321094292110175,4.442700575686735,0.23369013744338155,4.144936114182996,-0.8257883348710964,37.59875899342398,0.8718465827524771,6.075922326258781,6.131782692938814
23,"(4, 'shafter', 15)",0.2584244523631785,3.207726241998053,0.027889910620335353,19.540064322724415,0.7249852512874122,4.420326512342753,4.420414496710055,0.20899353377343616,4.126187064170399,-0.07642388541765503,33.525040441323185,0.8789517299990915,5.78957682840789,5.790081211979948
21,"(4, 'shafter', 18)",0.21950609848603744,2.709199832381463,0.06284161264553911,14.94224637427192,0.7862495339679291,3.8650093534215655,3.865520194523878,0.158270159789526,3.1709854179086867,0.6496079631202897,19.25007814956493,0.9310206456330574,4.339134434924257,4.387491099656492
22,"(4, 'shafter', 20)",0.23368468867528788,2.8826856866845243,-0.43848539613538856,17.108408907235248,0.755173162218407,4.112923474913582,4.136231244410212,0.1698585183549947,3.408019132380024,-0.18309140673580307,22.036431688272536,0.9212677854953815,4.690725874199054,4.694297784362698
