,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",-0.021632730835087877,0.04347958141806796,-0.0007427066333417498,0.001227081744519326
3,"(2, 'donovan', 18)",-0.14542042670667676,-0.034900218143651074,-0.009183173181392168,-0.0011243342402284806
4,"(2, 'donovan', 20)",-0.19142114832083834,-0.06562860158782335,-0.010647192772199388,-0.0025679918018880754
0,"(2, 'elcajon', 17)",-0.03907791699297736,-0.07662192856066685,-0.003719996858929986,0.0002553218660434897
1,"(2, 'elcajon', 19)",0.048175090583943536,0.012218163542742744,0.004095573094713145,0.0020091533531384487
2,"(2, 'elcajon', 21)",-0.10982635918503059,-0.10183072449199582,-0.006611017241537814,-0.0010256026837945353
6,"(2, 'shafter', 11)",0.04095259840867804,-0.04799713485762158,0.005932177408217831,-0.0018579617573663554
7,"(2, 'shafter', 12)",-0.011283739513317848,-0.06466106915940983,-0.0012714660380134801,-0.002820610235951565
8,"(2, 'shafter', 13)",-0.06291559100466415,-0.0820479589991896,-0.006126646734040175,-0.0005928909949411421
12,"(3, 'donovan', 11)",-0.08463070378394866,-0.06271324734553829,-0.002872690261238542,-0.0027691479641731576
13,"(3, 'donovan', 12)",-0.10232853189791813,-0.04609044008653651,-0.005001265877403238,-0.0019504828117933304
14,"(3, 'donovan', 13)",-0.11739634888054029,-0.1462717406352798,-0.0052703070432861265,-0.004898661352208761
11,"(3, 'elcajon', 15)",-0.007809197685940461,-0.03207113728757793,0.0005168814271362121,-0.0020940514847143377
9,"(3, 'elcajon', 18)",0.0025200361362367474,-0.01956846802425538,0.0003144432535855113,-0.0006205697903571006
10,"(3, 'elcajon', 20)",-0.005081542515578352,0.007545042802149737,-0.0004684381794514414,0.0010133155713408781
15,"(3, 'shafter', 17)",-0.00922426373033014,-0.037782585544390734,-0.0006710661555409669,-0.003313329738222792
16,"(3, 'shafter', 19)",0.038543573625268834,0.09408759702721436,0.0046541880051181594,0.002842676540477179
17,"(3, 'shafter', 21)",0.0039331408106515475,0.0010827254534140351,0.0002898237106628565,-0.0016026053737879797
21,"(4, 'donovan', 17)",-0.19365269259198126,-0.6071467825684866,0.00709378904430602,-0.023055576051549287
22,"(4, 'donovan', 19)",-0.1623423775703552,0.22347321017594268,0.026910741211519817,-0.004928627518678064
23,"(4, 'donovan', 21)",0.5649373888738403,0.5368662490471996,0.09890194811864583,0.010111998258354127
18,"(4, 'elcajon', 11)",-0.01726073884752477,-0.009203026601500852,-0.0010225079432433504,0.0010308686628999197
19,"(4, 'elcajon', 12)",-0.02648010391375033,-0.0259233676863051,-0.0015046033030945982,2.2254347807282304e-05
20,"(4, 'elcajon', 13)",-0.05480884684613718,-0.007301685405659342,-0.0025354804703283107,-0.0008933470590839765
26,"(4, 'shafter', 15)",-0.03860888635365711,-0.0002709995657150799,-0.0016348007041613877,-0.0008835113982081921
24,"(4, 'shafter', 18)",0.01098488309501855,-0.018793709935419844,0.0017634602274189393,-0.0007895764116780113
25,"(4, 'shafter', 20)",-0.05981610358463918,-0.05788452734168015,-0.0033862905452335668,-0.003875200961546643
