,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.17450445849745044,0.28011232838371747,0.019699356397675727,0.0069921449845445904
6,"(2, 'donovan', 18)",-0.09687820642703038,-0.06815912505971511,-0.004436830523482982,-0.0019329022715097177
7,"(2, 'donovan', 20)",-0.10800539483797955,0.018134002570220353,-0.0025907304602474923,-0.0006102274343421921
3,"(2, 'elcajon', 17)",-0.015824227087318565,-0.08462943520632837,-0.0016759330429191865,0.00028461846969002336
4,"(2, 'elcajon', 19)",-0.008739397782928204,-0.03656361799809549,-0.0009651132914426097,0.0008105445814617918
5,"(2, 'elcajon', 21)",-0.10278850989482269,-0.16922447600057033,-0.005844710132254571,-0.0026228314416630594
0,"(2, 'shafter', 11)",0.04307363565873956,0.022631035113309217,0.006225225108087651,0.00034887012007306373
1,"(2, 'shafter', 12)",0.004529448260253588,-0.021078166294040024,-0.00012989255028039715,-0.0014569138299478646
2,"(2, 'shafter', 13)",-0.12095617653194068,-0.05741831485042681,-0.010587230496745315,0.00035558787947007064
15,"(3, 'donovan', 11)",-0.10412710212528431,-0.09501216507766941,-0.00396638301279395,-0.0039012292834397777
16,"(3, 'donovan', 12)",-0.08045349261268964,-0.019480447294174752,-0.0030079821274150986,-0.0010747386769827116
17,"(3, 'donovan', 13)",-0.10480889593054954,-0.18266056081255044,-0.0038849259080679377,-0.006120611343076593
14,"(3, 'elcajon', 15)",-0.03780634227500457,-0.045516769488544995,0.0012638674217698709,-0.0034781498285724743
12,"(3, 'elcajon', 18)",0.015324554059258588,-0.010509531053966903,0.0011250697159621292,-0.0001958235577491918
13,"(3, 'elcajon', 20)",0.01763984976499433,-0.009620730489756646,0.0009435482898983993,0.00036757568790080075
9,"(3, 'shafter', 17)",-0.007291754456358657,0.020809964262148206,-0.0005297708943226842,-0.0009391251787601029
10,"(3, 'shafter', 19)",0.03849283308880347,0.10141594798704734,0.004682538319931595,0.0031450615536671167
11,"(3, 'shafter', 21)",-0.00779061078074017,-0.011840962950206091,-0.0005664037596578853,-0.0023450272888478896
24,"(4, 'donovan', 17)",0.10558611079425617,0.5793133274225948,0.04718226158583172,0.008948414192366583
25,"(4, 'donovan', 19)",-0.3697748987224556,-0.00905763195437892,-0.004141765447792101,-0.010131639171668844
26,"(4, 'donovan', 21)",0.7092145443682263,0.9555602034131301,0.11887054678337922,0.01958474348945949
21,"(4, 'elcajon', 11)",-0.04506393020846211,-0.04304192596905487,-0.0024559415642558258,-0.0010743875659567914
22,"(4, 'elcajon', 12)",-0.025630395407394868,-0.09034214793482365,-0.001463594379966543,-0.0035515741743318563
23,"(4, 'elcajon', 13)",-0.03215157074168662,0.0034977208566049356,-0.001336852172858255,-0.0003535693813501162
20,"(4, 'shafter', 15)",-0.02045038486585149,-0.0255704712566045,-0.0001449613455348775,-0.0022521712630782786
18,"(4, 'shafter', 18)",-0.013760494414246871,-0.019953212522865638,-0.00011144466527079899,-0.0008347748796077303
19,"(4, 'shafter', 20)",-0.052674962763948674,-0.04655109341595187,-0.0026320957349296736,-0.003435788176495702
