,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",0.11091790183243244,-0.06944450931127122,0.011745644088683727,-0.001218409478981719
0,"(2, 'donovan', 18)",-0.10607380425550872,-0.05793863443259717,-0.0051367804797406436,-0.0016947603104428277
1,"(2, 'donovan', 20)",-0.13512816776832004,-0.01710184492256417,-0.005205254531045589,-0.001533497316889204
6,"(2, 'elcajon', 17)",-0.012435589351398324,-0.07043195744477515,-0.001368337923547458,0.0006733458540954251
7,"(2, 'elcajon', 19)",0.03923984372401845,-0.02976330023889151,0.0033025852677489587,0.0009927997112116893
8,"(2, 'elcajon', 21)",-0.1454157762254451,-0.15756301752492075,-0.00952294144300686,-0.0022322569394553904
3,"(2, 'shafter', 11)",0.030943323204736473,-0.02334773722587702,0.0054940834214379786,-0.0011060549261682762
4,"(2, 'shafter', 12)",-0.04093340498834852,-0.09159162917530672,-0.0034964496649635968,-0.0037514952887571507
5,"(2, 'shafter', 13)",-0.057837462698506314,-0.1218942804549199,-0.005865246892034326,-0.0017408281238193157
9,"(3, 'donovan', 11)",-0.08658827370159639,-0.080283142677124,-0.002682283774974925,-0.003410595488865825
10,"(3, 'donovan', 12)",-0.08141479252600847,-0.040392605699680395,-0.0031481637608404833,-0.0017743041395318904
11,"(3, 'donovan', 13)",-0.11394367373484826,-0.13258611876328352,-0.004295444244800883,-0.004436261511533951
17,"(3, 'elcajon', 15)",-0.021312370648576273,-0.05643020955105449,-0.00021951863456770582,-0.0032742996882938746
15,"(3, 'elcajon', 18)",-0.004065060924638875,-0.009093795833382323,-8.247476049560998e-05,-0.00010514986659845849
16,"(3, 'elcajon', 20)",-0.011759417352357637,-0.0028401641949802325,-0.0009185359904757551,0.000672443321869054
12,"(3, 'shafter', 17)",-0.0043081619270815,0.010966083018896455,-0.0003116201391789031,-0.0015125284244248416
13,"(3, 'shafter', 19)",0.015340396156862557,0.07211092407702413,0.003115856499927794,0.0017739375329882123
14,"(3, 'shafter', 21)",-0.010290857558273636,0.01387498801445286,-0.0007488183193625764,-0.0012228889847089308
18,"(4, 'donovan', 17)",0.012866895373124798,0.4859147991621118,0.03642535740776798,0.0067553313602422005
19,"(4, 'donovan', 19)",-0.13224996221880225,-0.1243845074359271,0.02839386171805003,-0.014160528966766922
20,"(4, 'donovan', 21)",0.6237647526517005,1.1793905521599939,0.11617516933898786,0.024485654192303807
24,"(4, 'elcajon', 11)",-0.034024026419829045,-0.025798843304975616,-0.0018734534706149608,-0.00020520644940452692
25,"(4, 'elcajon', 12)",-0.034412659007341695,-0.029032538253166873,-0.001919722949849767,-0.00012785557659455993
26,"(4, 'elcajon', 13)",-0.06604053518445818,-0.01200337545282526,-0.0030766529105099305,-0.0012290506301634863
23,"(4, 'shafter', 15)",-0.024929557691639737,-0.008069539342020704,-0.00035790357247622584,-0.0014312420222079292
21,"(4, 'shafter', 18)",-0.006131025858981953,-0.009889998359663199,0.000543970121549997,-0.00031561251386208466
22,"(4, 'shafter', 20)",-0.04810403499096649,-0.04779768368388293,-0.002149747483990383,-0.003566290687502388
