,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",5.531685234903396,13.074072926342934,0.520773105072593,0.3045069516313637
0,"(2, 'donovan', 18)",5.650455496235963,7.286890321710556,0.5435671148628077,0.17103520680629744
1,"(2, 'donovan', 20)",5.369329310553969,7.8630937133769425,0.517110963276082,0.1844035511649353
6,"(2, 'elcajon', 17)",3.2647548966382867,6.565839202432265,0.28999666307797334,0.1721471873606687
7,"(2, 'elcajon', 19)",3.0336055414238627,6.745592868360352,0.2695247263184734,0.1767031282384392
8,"(2, 'elcajon', 21)",2.9491904460530103,6.2302414058460664,0.26260954832914696,0.16324866796725215
3,"(2, 'shafter', 11)",4.474475331729978,6.967932890441574,0.33329140234578636,0.2208376199633875
4,"(2, 'shafter', 12)",4.272523257429628,7.132549612928099,0.31785222734650526,0.22555542615173796
5,"(2, 'shafter', 13)",4.56385247132518,7.42907470908788,0.3365445948207314,0.23653820072072906
9,"(3, 'donovan', 11)",3.737874857067791,5.0643354265577205,0.31520699765374177,0.1693248297437268
10,"(3, 'donovan', 12)",3.306624286462584,5.212180700662919,0.27876329400887295,0.17433445678866055
11,"(3, 'donovan', 13)",4.319051522131433,5.931613322178028,0.36787730453666284,0.19938367549224717
17,"(3, 'elcajon', 15)",2.878605790918855,4.728800876387983,0.181458751387445,0.20967420597240885
15,"(3, 'elcajon', 18)",3.3345111214285197,4.461669439478599,0.20908383645756012,0.1982117756019362
16,"(3, 'elcajon', 20)",3.0682102693929716,4.568470667591067,0.192318340735078,0.20305874291346743
12,"(3, 'shafter', 17)",3.5932273186979824,4.894224194531744,0.26250936038158523,0.214619382526821
13,"(3, 'shafter', 19)",3.694116957475788,4.642006234627506,0.2654831738201753,0.20291356137617914
14,"(3, 'shafter', 21)",3.4464213130808217,4.5000867043077015,0.25178419684010894,0.19733583738864247
18,"(4, 'donovan', 17)",5.240671250827152,9.906023368457895,0.687995725325143,0.2664842196784587
19,"(4, 'donovan', 19)",3.9683340274990044,8.210502627662626,0.5246428795819884,0.21995013136533761
20,"(4, 'donovan', 21)",5.784008684221251,11.979066988589826,0.7593251054165339,0.3222516442970283
24,"(4, 'elcajon', 11)",2.962824271000816,3.267782917063328,0.15318782819576643,0.18400462048711555
25,"(4, 'elcajon', 12)",3.64875336569578,3.9495020336014264,0.18865263430696924,0.22239134032165514
26,"(4, 'elcajon', 13)",3.69515684073063,4.744007982763237,0.1909983920497593,0.26746561273428954
23,"(4, 'shafter', 15)",3.5846130040099746,4.787779673494607,0.2887876279361677,0.2425035456053515
21,"(4, 'shafter', 18)",3.3081453729592054,3.79805282170768,0.26803415361376165,0.18956833531488793
22,"(4, 'shafter', 20)",3.4581902381453364,4.034218883371529,0.2803379199174406,0.20106883665605588
