,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",0.08168990609090532,0.13860773087749934,0.00901775256201831,0.003454164291116696
3,"(2, 'donovan', 18)",-0.13419973580593947,-0.04329012058837112,-0.00807286067879931,-0.0013399335268318158
4,"(2, 'donovan', 20)",-0.14859983547665578,-0.035329336050711646,-0.006156009839094256,-0.0018774232680966452
6,"(2, 'elcajon', 17)",-0.015069743226350685,-0.04118290642312683,-0.0016082030028339855,0.0014343060926660933
7,"(2, 'elcajon', 19)",0.05063574296919926,-0.06181582669870167,0.004301097119382036,0.0007195703754375726
8,"(2, 'elcajon', 21)",-0.12370238487887697,-0.16369812987002863,-0.007685998575936881,-0.0023262765948453556
0,"(2, 'shafter', 11)",0.06518416844469588,-0.0026048415166091132,0.007921793887421202,-0.0004751194391919289
1,"(2, 'shafter', 12)",0.004066400161946149,-0.02364848089212135,-0.0001889899297087272,-0.0016073870075896945
2,"(2, 'shafter', 13)",-0.10005779838872275,-0.10932992695017774,-0.008971200754116837,-0.0011852120007908584
12,"(3, 'donovan', 11)",-0.08682475455456284,-0.0653237633625583,-0.002603968276349511,-0.00292020417290334
13,"(3, 'donovan', 12)",-0.11031602393617979,-0.04860067569927029,-0.005172271319001942,-0.0020786857996429042
14,"(3, 'donovan', 13)",-0.09243780762150422,-0.12531589068311,-0.002720076686172579,-0.004191076849276082
17,"(3, 'elcajon', 15)",-0.026066810470910973,-0.0474499755121931,-0.0003807351438454287,-0.002863664622668627
15,"(3, 'elcajon', 18)",0.015588545590183411,-0.00903278753817549,0.0011485540017861784,-0.00012721767693762986
16,"(3, 'elcajon', 20)",-0.0067671339797046315,0.000806401182008365,-0.000588593535364168,0.0007773995572865067
9,"(3, 'shafter', 17)",-0.0010202874026230546,-0.014149355666146946,-7.128460190219954e-05,-0.0026536599767518765
10,"(3, 'shafter', 19)",-0.011713030474161279,0.08168874850029262,0.0016966038045923004,0.0007931165485043357
11,"(3, 'shafter', 21)",-0.008690780753801697,0.0051000498374467185,-0.0006318388032585109,-0.001703414504000661
21,"(4, 'donovan', 17)",0.04643599665062137,0.4358816626296367,0.049290374284522875,0.005515461065114691
22,"(4, 'donovan', 19)",-0.46327335784997725,-0.32302924703893865,-0.023399651267084376,-0.01442101085492345
23,"(4, 'donovan', 21)",0.6815771520923848,0.8319940782186599,0.12679442204953884,0.014392596084604636
24,"(4, 'elcajon', 11)",-0.01799936220730114,-0.034157322868272555,-0.0010455396224261782,-0.0006263224691503144
25,"(4, 'elcajon', 12)",-0.012091428984224883,-0.07829127843936412,-0.0007671213186563886,-0.0027259272124005307
26,"(4, 'elcajon', 13)",-0.08562941738704044,-0.018184745943858438,-0.004104930667209267,-0.0015643319965474856
20,"(4, 'shafter', 15)",-0.03509706141614721,-0.02456229414196276,-0.0010389282458778681,-0.0023652721259483367
18,"(4, 'shafter', 18)",-0.005602455542470075,-0.024299543849163996,0.0005530695870056834,-0.001046878783399624
19,"(4, 'shafter', 20)",-0.03806904769105479,-0.07258939927486985,-0.001394895373485916,-0.004780396564267014
