,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",0.06775098850739791,0.15274552385176854,0.007734221837932376,0.0037937265534413733
3,"(2, 'donovan', 18)",-0.12570189869453596,-0.05747502729111886,-0.00710411749785822,-0.0016673144108062532
4,"(2, 'donovan', 20)",-0.14565579122167893,-0.022275112312415857,-0.005620720855583405,-0.0016038229058774056
6,"(2, 'elcajon', 17)",-0.0028163760459265497,-0.07943933907230427,-0.0005183775595135054,0.0004244497688681015
7,"(2, 'elcajon', 19)",0.03654270238454016,-0.028327063002346442,0.0030291213767427716,0.0013566382615632089
8,"(2, 'elcajon', 21)",-0.09578584540872948,-0.1571224547063892,-0.005164059323829795,-0.002112038040063491
0,"(2, 'shafter', 11)",0.08135871043500931,-0.038164157217429384,0.00913280905838193,-0.0015717864863265818
1,"(2, 'shafter', 12)",0.01607374072199086,-0.0038020410850485575,0.0007068306573213001,-0.0010163862932678347
2,"(2, 'shafter', 13)",-0.10806463210104855,-0.17499148795762398,-0.009575114880401026,-0.0032807994934601625
12,"(3, 'donovan', 11)",-0.09957996281735415,-0.07943306558252594,-0.0037147083954792715,-0.0033625596232171595
13,"(3, 'donovan', 12)",-0.11828094535042055,-0.00024381931375572208,-0.005979218853273571,-0.0004461090658695599
14,"(3, 'donovan', 13)",-0.1025729841077716,-0.12970700958419723,-0.0035920772463248762,-0.004339039415268697
17,"(3, 'elcajon', 15)",-0.026247673587361575,-0.04810197443822073,-0.0004453203857515131,-0.0028566744048490467
15,"(3, 'elcajon', 18)",0.004045882442897941,-0.011970766839120017,0.0004198693691636335,-0.00024073099492674666
16,"(3, 'elcajon', 20)",-0.0002346750706889722,-0.024188579066328764,-0.00019052034963132347,-0.00028237177708637096
9,"(3, 'shafter', 17)",-0.02309410070294282,0.01363978744136407,-0.0016841003625973627,-0.0013142716729684922
10,"(3, 'shafter', 19)",0.05037262371166529,0.11246868890482542,0.00556697479452084,0.0036046334294840277
11,"(3, 'shafter', 21)",-0.013926513990971223,0.004857874525752592,-0.0010147516028454762,-0.0016587866590868916
21,"(4, 'donovan', 17)",-0.388410755918696,0.5844949259583565,-0.006659038050500055,0.009706766599330757
22,"(4, 'donovan', 19)",-0.043935284915649575,0.04292355159379646,0.04017023198544356,-0.009627916603584086
23,"(4, 'donovan', 21)",0.7061339456680855,0.9849347519528262,0.12201489785906006,0.020869841632546154
24,"(4, 'elcajon', 11)",-0.014742195636460398,-0.008444995604686145,-0.0008723670331790001,0.0008094458098615864
25,"(4, 'elcajon', 12)",-0.05001956057731727,-0.017887597092953733,-0.0027246990741514876,0.0006169359298789645
26,"(4, 'elcajon', 13)",-0.0930035588352931,-0.07928755277789179,-0.004485590454059302,-0.005049182456479562
20,"(4, 'shafter', 15)",-0.009464871348587867,-0.018571191115231755,0.0009345319122344709,-0.0020593366782047373
18,"(4, 'shafter', 18)",-0.0038202634285662285,-0.03538566197443327,0.000661120465874826,-0.0015904311822074468
19,"(4, 'shafter', 20)",-0.03868962000407583,-0.055430421235517,-0.001404840545927044,-0.003958663534352952
