,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",5.706729681118913,7.931342048474636,0.5372524302529527,0.18472811059974942
3,"(2, 'donovan', 18)",5.540927531511807,6.924017279018066,0.5330306546037074,0.16251798434770948
4,"(2, 'donovan', 20)",5.78064335211826,7.5030509903170595,0.5567239182543166,0.17595990809981632
6,"(2, 'elcajon', 17)",3.3300496361925247,6.523294484411844,0.29579656450603214,0.17103172392660299
7,"(2, 'elcajon', 19)",3.5823000480048166,7.994012881006069,0.318274220838868,0.20940592040140457
8,"(2, 'elcajon', 21)",2.9442590028103144,6.596759018258611,0.26217042982993016,0.17285239085939266
0,"(2, 'shafter', 11)",4.3624613727715795,6.879563683282936,0.3249477895877038,0.2180368976123247
1,"(2, 'shafter', 12)",4.6902781716746285,7.5675456798838665,0.34893089491064755,0.2393114781361081
2,"(2, 'shafter', 13)",4.531096289151028,7.907376608447133,0.33412911006811563,0.25176710541021163
12,"(3, 'donovan', 11)",3.777153572208692,4.92626418122191,0.31851928775030547,0.16470845106027904
13,"(3, 'donovan', 12)",3.5222809193682387,5.434522374630158,0.29694411776008167,0.18177123175458415
14,"(3, 'donovan', 13)",4.113157433931874,6.066279081021886,0.35034017588729016,0.20391029455907836
17,"(3, 'elcajon', 15)",3.0937672594026475,4.437490331667243,0.19502189071722986,0.1967575472353706
15,"(3, 'elcajon', 18)",3.2218656881292533,4.342547745242473,0.2020206303394936,0.19291973798069711
16,"(3, 'elcajon', 20)",2.984102454589843,4.513217279709074,0.18704638282947098,0.20060284808533144
9,"(3, 'shafter', 17)",3.5267363675790455,4.698445917807061,0.25765175035547644,0.20603419901402595
10,"(3, 'shafter', 19)",3.6075989503584496,4.461668612344789,0.25926542939396674,0.19503055835163993
11,"(3, 'shafter', 21)",3.0689732510456564,4.590241282172153,0.22420908384168517,0.20128925657504856
21,"(4, 'donovan', 17)",6.283498234762824,9.5579227988671,0.8248981320708847,0.25711988595879465
22,"(4, 'donovan', 19)",4.065633310970581,8.338849076790607,0.5375065588761339,0.22338838839126718
23,"(4, 'donovan', 21)",5.11783409957662,9.375604937153478,0.6718696546508671,0.25221531110518586
24,"(4, 'elcajon', 11)",2.873244954646419,3.3840888965617744,0.14855628083809735,0.19055365944140026
25,"(4, 'elcajon', 12)",3.5819561175129104,4.270164390685959,0.18519899533190745,0.24044742201904898
26,"(4, 'elcajon', 13)",3.497944148787265,4.906402130001064,0.1808046956313038,0.27662134144580164
20,"(4, 'shafter', 15)",3.7018841307599626,5.228388161327045,0.29823535645850624,0.26482059605667047
18,"(4, 'shafter', 18)",3.0873007552359413,3.7237939364185664,0.25014077423706893,0.1858619273402176
19,"(4, 'shafter', 20)",3.430991052410331,4.067787939636945,0.2781330200630911,0.20274194644163301
