,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",5.503776111427335,7.451782501932384,0.518145637985208,0.17355873618475237
6,"(2, 'donovan', 18)",5.651022121869596,6.964375730104121,0.543621623576501,0.16346526305277234
7,"(2, 'donovan', 20)",5.343463607039659,7.414000006128545,0.5146198814134353,0.17387150392740283
0,"(2, 'elcajon', 17)",3.560488711891418,6.741106320245866,0.31626565486998653,0.1767424478351021
1,"(2, 'elcajon', 19)",3.0558238335539847,6.897886045768633,0.2714987400865338,0.18069250046747445
2,"(2, 'elcajon', 21)",3.2986402365086196,7.5035115884494,0.29372617281098723,0.1966116867866147
3,"(2, 'shafter', 11)",4.39291340699787,7.014750793237778,0.3272160781442614,0.22232143939560015
4,"(2, 'shafter', 12)",4.782220616101184,8.061015458327924,0.3557709070036992,0.25491666733355967
5,"(2, 'shafter', 13)",4.49415996734428,7.9170974805324565,0.3314053762194159,0.25207661334794795
15,"(3, 'donovan', 11)",3.925815039958269,4.969095523505835,0.33105559158817705,0.16614050662711388
16,"(3, 'donovan', 12)",3.8478004033766573,5.993810312960026,0.3243868738051998,0.20047801966483184
17,"(3, 'donovan', 13)",4.368990228727878,5.918145375676624,0.37213085804965296,0.19893096751400746
11,"(3, 'elcajon', 15)",3.123841262443628,4.426703665687531,0.19691766646334083,0.19627926834744386
9,"(3, 'elcajon', 18)",3.374947619252687,4.315771920417781,0.2116193260061338,0.19173020929559378
10,"(3, 'elcajon', 20)",2.660754088098537,4.133615167694019,0.16677859937820544,0.18373034669884034
12,"(3, 'shafter', 17)",3.664496138424929,4.68586136425424,0.2677160257612892,0.20548234666612988
13,"(3, 'shafter', 19)",3.5910568931936973,4.667364773721583,0.25807661001218574,0.20402204577253605
14,"(3, 'shafter', 21)",3.2214035323064536,4.561637361246541,0.23534513844873306,0.2000349299232863
24,"(4, 'donovan', 17)",6.179896611971589,11.589084646568969,0.8112973030538256,0.31176063935626525
25,"(4, 'donovan', 19)",3.6925727309284406,7.75903919439834,0.48818521253392894,0.20785593373137443
26,"(4, 'donovan', 21)",7.214746690215953,12.296563641416713,0.9471525010062136,0.3307926949923556
18,"(4, 'elcajon', 11)",3.1454561274049153,3.4378576066672815,0.16263050008006777,0.19358130581453717
19,"(4, 'elcajon', 12)",4.012080745728012,4.267682794870862,0.2074378632575863,0.24030768657524854
20,"(4, 'elcajon', 13)",3.644354973114149,4.578012687378917,0.1883725021495206,0.25810685247244103
23,"(4, 'shafter', 15)",3.773373849244887,5.322664943053456,0.3039947916332352,0.2695957643802014
21,"(4, 'shafter', 18)",3.3204755364590253,3.7434936463392314,0.26903317408142546,0.18684517886176108
22,"(4, 'shafter', 20)",3.463463129050717,4.033267631710095,0.28076536640435185,0.20102142547920576
