,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",0.038565600047965276,0.03709139263969341,0.004990826022279293,0.0011105031566766566
0,"(2, 'donovan', 18)",-0.11004248077926615,-0.038775102641687376,-0.005815918697741784,-0.0012338984814615206
1,"(2, 'donovan', 20)",-0.15832084527246337,-0.005723438050840635,-0.007231839256741868,-0.0011913644552649094
3,"(2, 'elcajon', 17)",-0.03984467715109874,-0.045000671534008774,-0.003800630994336751,0.0012633491027399246
4,"(2, 'elcajon', 19)",0.006244532940969272,-0.08450595112721793,0.00036979739939985157,-0.000447341804556578
5,"(2, 'elcajon', 21)",-0.11493152480034752,-0.13224775176002002,-0.006831017766047165,-0.0015915566268198955
6,"(2, 'shafter', 11)",0.07063479524144167,0.002307603735143715,0.008367298887701269,-0.0002980693443813409
7,"(2, 'shafter', 12)",-0.0012496632077381165,-0.08246494226654555,-0.0005575423058469808,-0.003424932601192643
8,"(2, 'shafter', 13)",-0.09661297008548253,-0.16772189176152708,-0.00885573703899084,-0.002181832666299066
9,"(3, 'donovan', 11)",-0.0795489359986532,-0.08095202328360251,-0.001907454470844283,-0.003404929676696755
10,"(3, 'donovan', 12)",-0.08238660647450802,-0.04091510232697981,-0.003139359348071691,-0.0017869316419020786
11,"(3, 'donovan', 13)",-0.08722953701198355,-0.1572727578437041,-0.0026930074062087583,-0.005267603121391934
14,"(3, 'elcajon', 15)",-0.03588105630653571,0.021893525802304303,-0.0010409379020732412,0.00019598638040202454
12,"(3, 'elcajon', 18)",-0.020570812174562025,0.01850222269560975,-0.0011321975180240973,0.0010855621131906357
13,"(3, 'elcajon', 20)",-0.004087652262088959,0.036965047991908584,-0.0004263181954801132,0.0023884310088296834
15,"(3, 'shafter', 17)",-0.017949053606866272,0.009335806240104993,-0.0013082360871550236,-0.0014732843064657608
16,"(3, 'shafter', 19)",0.03089225687330588,0.07031840427960745,0.004139070534372569,0.0017634923140747438
17,"(3, 'shafter', 21)",-0.017281643345421482,0.01010741115887015,-0.0012595918391825889,-0.0013750422206668111
18,"(4, 'donovan', 17)",-0.1547924779851666,0.35953084741863073,0.011805365448919303,0.003391524639915433
19,"(4, 'donovan', 19)",-0.17699892203295642,0.2887182402844788,0.019171759590495274,-0.0021606430208031546
20,"(4, 'donovan', 21)",0.5811102859554111,1.218455554108683,0.11367722857905183,0.025663363958158547
21,"(4, 'elcajon', 11)",-0.047159519300576935,0.0228632477031967,-0.0025550035664169413,0.002548200925166638
22,"(4, 'elcajon', 12)",-0.02375341684639709,-0.03485947518284416,-0.0013663553877254486,-0.00047044047756464313
23,"(4, 'elcajon', 13)",-0.07665553411211956,0.054542025759944934,-0.0034657684287295876,0.0024516346086677077
26,"(4, 'shafter', 15)",-0.03220414279778172,-0.017748437085681523,-0.0009247451771997595,-0.0019993551438757806
24,"(4, 'shafter', 18)",-0.011344201769831752,-0.028789256233416882,1.7260666912349842e-05,-0.0012676560863564001
25,"(4, 'shafter', 20)",-0.03950643057965442,-0.04937031312242324,-0.0015160794051921611,-0.003621047748816192
