,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",5.53909277697017,7.71228045207271,0.5214704782092149,0.1796259684199054
3,"(2, 'donovan', 18)",5.207711916986728,6.861276260544524,0.5009757078237017,0.16104535026154954
4,"(2, 'donovan', 20)",5.5749516942149375,7.3233928446625844,0.536914104923037,0.17174660462639704
0,"(2, 'elcajon', 17)",3.334470693838929,6.8661126847943645,0.29618927146423374,0.18001994114490394
1,"(2, 'elcajon', 19)",3.1298178149502123,6.853889154867304,0.2780728339536197,0.17953998675863572
2,"(2, 'elcajon', 21)",2.9230575204028963,5.767925960988262,0.2602825518441691,0.15113479056871257
6,"(2, 'shafter', 11)",4.4521231309403095,7.2326243693554755,0.3316264481792332,0.22922659803579695
7,"(2, 'shafter', 12)",4.561434466334117,6.936247987230393,0.3393456319981886,0.21934770251273641
8,"(2, 'shafter', 13)",5.3546949417204885,9.896882337877145,0.3948623779739923,0.3151120203546375
12,"(3, 'donovan', 11)",3.9354004013281774,5.225061924648222,0.3318639046254961,0.1746986813219146
13,"(3, 'donovan', 12)",3.38831209213999,5.220846013863086,0.2856499432977619,0.17462428992308404
14,"(3, 'donovan', 13)",3.9347967581619616,5.7113597743860804,0.33514821897236263,0.1919801312094852
11,"(3, 'elcajon', 15)",3.0097903605854945,4.5525653606730865,0.1897282366667785,0.2018599539479328
9,"(3, 'elcajon', 18)",3.107250666220428,4.037625249666554,0.19483392511534123,0.1793734118601902
10,"(3, 'elcajon', 20)",2.7898278462135906,4.399970551681485,0.17486906541984315,0.19556927341548005
15,"(3, 'shafter', 17)",3.6277008948564444,4.842501478034082,0.2650278863819672,0.2123512605454576
16,"(3, 'shafter', 19)",3.5194237905266355,4.512806116042594,0.25292859123921413,0.1972659049821129
17,"(3, 'shafter', 21)",3.0332747838611382,4.623447052811309,0.22160107133480972,0.20274538153125007
21,"(4, 'donovan', 17)",6.237054201864427,9.075076902017566,0.8188009558559267,0.2441307371085508
22,"(4, 'donovan', 19)",3.761641406452778,8.033758749170625,0.4973165982904954,0.21521536163743343
23,"(4, 'donovan', 21)",7.140226438947437,11.000332320540531,0.9373694766818387,0.29592247722501747
18,"(4, 'elcajon', 11)",2.9990385668717052,3.5301711802195315,0.1550602272402857,0.19877936348801206
19,"(4, 'elcajon', 12)",3.503276833099304,4.060041456870197,0.18113101572836313,0.22861567196903199
20,"(4, 'elcajon', 13)",3.2702459316144044,4.130982375564589,0.16903523760093392,0.23290343024072366
26,"(4, 'shafter', 15)",3.506358366979212,4.805099536000483,0.28248318977845327,0.24338080570366477
24,"(4, 'shafter', 18)",3.1568945419249275,3.6276854225779624,0.25577943566483835,0.18106496114895765
25,"(4, 'shafter', 20)",3.112853621939568,3.9811297662385483,0.25234323426059446,0.19842283074273656
