,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",5.5345914922673245,8.675792560793054,0.5210467107835621,0.20206703454668032
6,"(2, 'donovan', 18)",5.214408858967335,6.9420146448543845,0.501619945696777,0.16294041189250347
7,"(2, 'donovan', 20)",5.513852499996337,7.692293564078908,0.5310297455644725,0.18039798348150854
3,"(2, 'elcajon', 17)",3.3236935062202075,6.7885427541802175,0.29523197189788264,0.17798616526838826
4,"(2, 'elcajon', 19)",3.0672201437437123,6.739567646631456,0.27251126044983887,0.17654529548028094
5,"(2, 'elcajon', 21)",2.9182766945070404,6.3899871659163265,0.2598568450096609,0.167434425925269
0,"(2, 'shafter', 11)",3.8932697526520026,5.812753875399185,0.28999899191982514,0.1842260468720966
1,"(2, 'shafter', 12)",4.3904343247696,7.157635420853134,0.32662416213179674,0.22634872453786287
2,"(2, 'shafter', 13)",4.441302582385835,7.731344631385477,0.3275076018465826,0.24616233109389726
15,"(3, 'donovan', 11)",5.121740554667131,9.18670397253537,0.4319054341654641,0.3071552247306186
16,"(3, 'donovan', 12)",3.5245023147390584,5.573940499640448,0.2971313913772873,0.1864344206357891
17,"(3, 'donovan', 13)",4.306819816401598,5.911125441027879,0.36683546307894466,0.1986950012943706
14,"(3, 'elcajon', 15)",3.1547784289723375,4.9651172938998025,0.19886785346966002,0.22015243470211643
12,"(3, 'elcajon', 18)",3.187368408480622,4.2366021983095115,0.19985754756255114,0.1882130569368512
13,"(3, 'elcajon', 20)",2.9228756166454577,4.365409985296301,0.18320862633690527,0.19403313021238636
9,"(3, 'shafter', 17)",3.52432208876748,4.556929800523036,0.2574753710923809,0.1998284960257924
10,"(3, 'shafter', 19)",3.5150245871095556,4.40106512126301,0.2526124359850922,0.1923814300252925
11,"(3, 'shafter', 21)",3.154647918789701,4.573043481859822,0.23046819305900665,0.20053510614442954
24,"(4, 'donovan', 17)",4.827242530336128,8.914525126432045,0.6337207710662636,0.23981169675870365
25,"(4, 'donovan', 19)",3.683983113097024,7.405176918587146,0.4870496020227283,0.19837636133739214
26,"(4, 'donovan', 21)",5.335900580078976,13.551470581387495,0.7004974390017058,0.3645512360565743
21,"(4, 'elcajon', 11)",5.118131563007235,7.0987264174538085,0.2646243539420046,0.39972008347460736
22,"(4, 'elcajon', 12)",3.578824510316574,4.340236115681775,0.18503708086743367,0.24439307002932736
23,"(4, 'elcajon', 13)",3.7027713738959926,5.030451872696479,0.19139197848018163,0.2836152252166789
20,"(4, 'shafter', 15)",3.7286630034353987,5.498770773828544,0.3003927461432763,0.2785156168540232
18,"(4, 'shafter', 18)",2.9970864434135693,3.4812577102014663,0.2428313866536788,0.1737564641421417
19,"(4, 'shafter', 20)",3.5603413943541136,4.132098089550684,0.28861879536866747,0.20594721799534835
