,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",5.503483048339059,8.003484536236016,0.5181180479528791,0.18640837421423925
0,"(2, 'donovan', 18)",5.39110462354242,6.893771515615985,0.5186178686115823,0.16180806692476205
1,"(2, 'donovan', 20)",5.610189433141801,7.670067144350873,0.5403077915580371,0.1798767343552824
6,"(2, 'elcajon', 17)",3.222805738849389,6.709053399124516,0.286270467341124,0.17590206474809475
7,"(2, 'elcajon', 19)",3.0788605496144132,6.606110697218851,0.2735454678191543,0.1730493447304251
8,"(2, 'elcajon', 21)",2.884660958298904,6.2721011562829405,0.2568635444874159,0.16434550323495928
3,"(2, 'shafter', 11)",4.308765924778921,6.754736307152286,0.32094816285288863,0.2140806912187783
4,"(2, 'shafter', 12)",5.428469098025503,10.079776711773498,0.40384823906777767,0.31875674970665696
5,"(2, 'shafter', 13)",4.316581702937809,7.4158425361221045,0.3183105171241368,0.23611689463517832
9,"(3, 'donovan', 11)",3.620092457936581,4.806928209376085,0.30527465967393924,0.16071848171323852
10,"(3, 'donovan', 12)",4.086290847396777,6.8546963205693725,0.3444926904947064,0.22927251147407507
11,"(3, 'donovan', 13)",3.9914968661823482,5.5582084752518215,0.33997767812527957,0.18683214409885732
17,"(3, 'elcajon', 15)",2.982539717726687,4.417685604429673,0.18801043715311672,0.19587940908437076
15,"(3, 'elcajon', 18)",3.2702034014158117,4.3611373673105325,0.20505154976710957,0.19374559073555955
16,"(3, 'elcajon', 20)",3.0014129840522865,4.401532871305766,0.1881314232964405,0.19563871517882242
12,"(3, 'shafter', 17)",3.5757216127495,4.723510483158584,0.26123045112704096,0.20713331939046015
13,"(3, 'shafter', 19)",3.5894284529348277,4.522745177493781,0.2579595797466912,0.1977003659142747
14,"(3, 'shafter', 21)",3.334118087727411,4.558634319611538,0.24357969285481826,0.19990324185265668
18,"(4, 'donovan', 17)",4.776992990474198,8.884883319177936,0.6271240076041199,0.23901429566422186
19,"(4, 'donovan', 19)",3.9065100964645634,7.656141851091875,0.5164693022116807,0.20509942962879377
20,"(4, 'donovan', 21)",5.714857680007509,11.693305668243564,0.7502469562589261,0.3145643131012193
24,"(4, 'elcajon', 11)",2.803393825608566,3.2481754150941127,0.14494474610785282,0.18290054746570808
25,"(4, 'elcajon', 12)",3.2957956363493963,3.691257103552576,0.17040355064288218,0.20784990303760695
26,"(4, 'elcajon', 13)",3.5504391210035946,4.818374947822738,0.18351810015408265,0.2716583978116121
23,"(4, 'shafter', 15)",3.5108167233490564,4.54392137823431,0.28284236890297837,0.23015199535476635
21,"(4, 'shafter', 18)",3.253780446522671,3.4916703736821004,0.2636293722632202,0.17427618079035048
22,"(4, 'shafter', 20)",3.4624799892956553,3.8475387461742616,0.28068566825736097,0.19176454278946287
