,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.085234112666428,0.033783078397443767,0.00936055966145155,0.0010090885632852153
6,"(2, 'donovan', 18)",-0.11055822066231169,-0.04287799817566196,-0.005825338811565328,-0.0013238052176575699
7,"(2, 'donovan', 20)",-0.15945122428095626,-0.0719646670466636,-0.007469235013719211,-0.0027429852974823754
3,"(2, 'elcajon', 17)",0.01512678932569722,-0.053446030127995314,0.001058167620678785,0.0010385421532259909
4,"(2, 'elcajon', 19)",0.029937820531276582,-0.03087215219881223,0.002480028109669019,0.0009650014799490181
5,"(2, 'elcajon', 21)",-0.11097818506337598,-0.08593440776171857,-0.006529936467926656,-0.0004538058709546988
0,"(2, 'shafter', 11)",0.06413766080658423,0.016619884110995464,0.00785627531576083,0.0001627633556315622
1,"(2, 'shafter', 12)",-0.01812164890306356,-0.029394686369230705,-0.0018291708180920851,-0.0017917563059461628
2,"(2, 'shafter', 13)",-0.1410090157399777,-0.16486680760513472,-0.012436262004627885,-0.002331293280123825
15,"(3, 'donovan', 11)",-0.07818930748504682,-0.07323313018547051,-0.0020234301869271887,-0.003144202895143583
16,"(3, 'donovan', 12)",-0.10143749416931191,-0.03795927115603437,-0.004552740084998341,-0.0017151598587248351
17,"(3, 'donovan', 13)",-0.12003186102978969,-0.10099001681234654,-0.004581227963565249,-0.003370146703124216
14,"(3, 'elcajon', 15)",-0.005639803170134794,-0.01450063560964221,0.0007548265234669504,-0.0013603849616832808
12,"(3, 'elcajon', 18)",0.0015670661208893044,-0.007790576603553312,0.00026831735407395474,-5.211670298793658e-05
13,"(3, 'elcajon', 20)",0.008591496147886346,0.024402563474693828,0.00036718210979527766,0.0018934119936788174
9,"(3, 'shafter', 17)",-0.02845007173890446,-0.004493306974558742,-0.002075411523841053,-0.0020206746306134504
10,"(3, 'shafter', 19)",0.040183196190657355,0.11696597657952168,0.004784920217715427,0.00382961169524465
11,"(3, 'shafter', 21)",-0.013656394315342268,-0.03537470298277334,-0.0009949604193191242,-0.0033542460632581816
24,"(4, 'donovan', 17)",-0.5895309163420492,0.3398061489315154,-0.030810910742559816,0.002575078003364595
25,"(4, 'donovan', 19)",-0.16282525829588712,-0.019796501316610815,0.020927832810244185,-0.01020048525820022
26,"(4, 'donovan', 21)",0.602330251621257,1.2645549944506875,0.10557869305694684,0.027924204332133606
21,"(4, 'elcajon', 11)",-0.023103505320727802,-0.015482888648848725,-0.0013138142373388673,0.0004072807713226545
22,"(4, 'elcajon', 12)",-0.04225567646213335,-0.05906483035984689,-0.0023226705585353558,-0.0017389605474305292
23,"(4, 'elcajon', 13)",-0.06049692985098609,-0.037524896748792,-0.002834403017359266,-0.0025578356914223166
20,"(4, 'shafter', 15)",-0.025016711107982648,-0.022684022439709572,-0.0004058854750094154,-0.0021470697359175783
18,"(4, 'shafter', 18)",-0.022404937645346568,-0.012742433643304185,-0.000821026961558613,-0.0004712765032576782
19,"(4, 'shafter', 20)",-0.04418950211697714,-0.043212022868822864,-0.001841051203887556,-0.0032460363547379134
