,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.037907620860590185,-0.014870356132887785,0.004972821256044924,-0.00012953382805702685
6,"(2, 'donovan', 18)",-0.11226933238088055,-0.05905148635424684,-0.0059801535764058,-0.0016965334223749684
7,"(2, 'donovan', 20)",-0.1741729503162066,-0.0398614430850035,-0.008694098497437963,-0.002043948298455639
3,"(2, 'elcajon', 17)",0.010218272363452297,-0.10385917717991777,0.000628257475733196,-9.896320647212464e-05
4,"(2, 'elcajon', 19)",0.013813686874838638,-0.06784635390236993,0.0010350633114939445,1.1855432432039681e-05
5,"(2, 'elcajon', 21)",-0.13579604846134563,-0.19629088333185774,-0.00865122285444514,-0.003172616577510473
0,"(2, 'shafter', 11)",0.08373661779711661,0.020567384779520026,0.00932838947409248,0.00029329045934795017
1,"(2, 'shafter', 12)",-0.008868717147453076,0.028680706229751607,-0.0011304456832496035,2.7625386975010935e-05
2,"(2, 'shafter', 13)",-0.09234348610712306,-0.12680815199643547,-0.008425610579953668,-0.0017263834051406413
15,"(3, 'donovan', 11)",-0.07091958050044012,-0.08389076507555782,-0.0015578092982975744,-0.0035050754888151514
16,"(3, 'donovan', 12)",-0.09267603439863237,-0.009819035567920409,-0.003869038466713992,-0.0007810967701142868
17,"(3, 'donovan', 13)",-0.09163587356066483,-0.11531198750411242,-0.002601404508580041,-0.0038552992168191524
14,"(3, 'elcajon', 15)",-0.047111144821777806,0.007500812301476145,-0.0012936396439393039,-0.001345074940898805
12,"(3, 'elcajon', 18)",0.01252492936585492,0.017462200662652805,0.0009495302208084033,0.0010571571908662425
13,"(3, 'elcajon', 20)",-0.011074505616901043,-0.01608599644749198,-0.0008789323946868377,8.823053671319636e-05
9,"(3, 'shafter', 17)",-0.027201067321449557,-0.03289380359879868,-0.0019840414696237763,-0.0033318546226930312
10,"(3, 'shafter', 19)",0.025688305462759686,0.08620373629590627,0.0037500465889597767,0.002450025943608908
11,"(3, 'shafter', 21)",-0.005371012683473619,0.03239163527629785,-0.00038937858646692636,-0.0005193158034005607
24,"(4, 'donovan', 17)",-0.4075911073348104,0.36220640575275986,-0.013501673581249984,0.002025609010635032
25,"(4, 'donovan', 19)",-0.19380838716773674,0.34149378281544784,0.021381514033505633,-0.0014342502824265801
26,"(4, 'donovan', 21)",0.41632405460137445,1.0573829017160836,0.08807721784876399,0.021805631875673803
21,"(4, 'elcajon', 11)",-0.030645387557934445,-0.01645976138243377,-0.0016935921062575243,0.0003631349042211851
22,"(4, 'elcajon', 12)",-0.013702692775922287,-0.05599054462467201,-0.0008520241032036191,-0.001572028357539279
23,"(4, 'elcajon', 13)",-0.06619568521306807,-0.04933955524405764,-0.003104777329361541,-0.0033371222662062494
20,"(4, 'shafter', 15)",-0.0024495836683646743,-0.006639923903028588,0.0013606824427462305,-0.0013382549260314014
18,"(4, 'shafter', 18)",-0.00972277369781116,-0.02713506458255832,0.00022655088774875543,-0.0011854114443245467
19,"(4, 'shafter', 20)",-0.03869929403876249,-0.059153105511475346,-0.0013725589838660124,-0.004145417339757984
