,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",5.438558763910508,7.785372547511159,0.5120058380637235,0.1813283492537667
6,"(2, 'donovan', 18)",5.176863267058734,5.8123206610395,0.4980081043004207,0.13642465062545972
7,"(2, 'donovan', 20)",5.353649140588968,7.1929911949111585,0.515600832806156,0.16868845370406726
0,"(2, 'elcajon', 17)",3.3614186122784164,6.706726037803264,0.29858296001720774,0.1758410445657429
1,"(2, 'elcajon', 19)",3.1730195880548004,6.746039917033656,0.28191115304734793,0.17671483883239134
2,"(2, 'elcajon', 21)",3.0025980626800886,6.341645816665494,0.26736520936098834,0.1661677557661427
3,"(2, 'shafter', 11)",4.5020051464520074,7.273124402448778,0.33534202278165265,0.23051018257333353
4,"(2, 'shafter', 12)",4.484109191764334,7.1131835005958255,0.33359305693392277,0.2249430039525161
5,"(2, 'shafter', 13)",4.516024882081127,7.8354660778502625,0.33301772432162474,0.2494775083626212
15,"(3, 'donovan', 11)",3.749485831634131,4.976163312415816,0.3161861263225279,0.16637681643936908
16,"(3, 'donovan', 12)",3.3866923544170033,5.352066761978231,0.28551339212533544,0.17901329697327054
17,"(3, 'donovan', 13)",4.095495076993215,5.9951118825442515,0.34883577608352223,0.2015180992428559
11,"(3, 'elcajon', 15)",3.0920377858536288,4.6367263635281954,0.19491286984617048,0.20559163813357892
9,"(3, 'elcajon', 18)",4.617660396738562,8.119833110190877,0.2895411399301684,0.3607274272991433
10,"(3, 'elcajon', 20)",3.1620721360714366,4.496648327922445,0.19820169189844883,0.19986639364226053
12,"(3, 'shafter', 17)",3.559746269670463,4.700507512570151,0.2600633451463723,0.20612460316747058
13,"(3, 'shafter', 19)",3.5842034230143955,4.55482611584077,0.25758407525061006,0.19910270299079946
14,"(3, 'shafter', 21)",3.6009152541305514,4.8583138660366725,0.26307101563856183,0.21304465848035037
24,"(4, 'donovan', 17)",5.113322371961084,9.200757538468258,0.6712773547021096,0.24751170090073177
25,"(4, 'donovan', 19)",3.710391175554362,8.042040059569999,0.49054094167200946,0.2154372086293682
26,"(4, 'donovan', 21)",6.411385421878781,11.394188862741867,0.8416871718424117,0.3065177029185056
18,"(4, 'elcajon', 11)",3.1586282442664295,3.4415416479288705,0.16331154215013108,0.19378874940286672
19,"(4, 'elcajon', 12)",3.589892936728132,4.243176141978567,0.18560935517344862,0.2389277487154507
20,"(4, 'elcajon', 13)",3.5672275303573957,4.343488896254921,0.1843858736559552,0.24488447811690475
23,"(4, 'shafter', 15)",3.7425650901854537,5.0355469717440435,0.3015127417052575,0.25505308890267103
21,"(4, 'shafter', 18)",5.3227194667209075,5.532689590137764,0.43125994971310605,0.2761474904777269
22,"(4, 'shafter', 20)",3.515091653239485,4.219976345414965,0.2849506286608461,0.21032714362279153
