,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",5.581889439618093,8.462399726775454,0.5254995127524814,0.19709692295614836
0,"(2, 'donovan', 18)",5.298315501745494,6.776448499483384,0.5096916651826009,0.15905430428508127
1,"(2, 'donovan', 20)",5.594901382580571,7.381939475620843,0.5388354254402071,0.17311962738957218
6,"(2, 'elcajon', 17)",7.6386454129839505,16.4814602874373,0.6785139314691534,0.43212100458199715
7,"(2, 'elcajon', 19)",3.0719096910222716,6.713332964567103,0.2729279095261779,0.17585806894888803
8,"(2, 'elcajon', 21)",3.051873068440899,6.134852877395983,0.2717528836205739,0.16074923829921062
3,"(2, 'shafter', 11)",4.3583411086075134,6.896064443407589,0.3246408824042988,0.21855986312459505
4,"(2, 'shafter', 12)",4.543648113416687,7.444447249341404,0.338022425183259,0.23541868797460835
5,"(2, 'shafter', 13)",4.516159293767402,8.134151252827127,0.3330276360194241,0.25898750208829446
9,"(3, 'donovan', 11)",3.835474194847281,4.937476850139829,0.32343734120745815,0.16508334393280544
10,"(3, 'donovan', 12)",3.4194425582656227,5.461762801798481,0.28827438155545604,0.18268235616599926
11,"(3, 'donovan', 13)",4.128177773888421,5.937314470681906,0.3516195406154312,0.19957531238452067
17,"(3, 'elcajon', 15)",2.911665126726125,4.511217128039166,0.18354271363618713,0.20002658052568334
15,"(3, 'elcajon', 18)",3.110583673014001,4.492343620266092,0.19504291462593576,0.19957449059494434
16,"(3, 'elcajon', 20)",3.1296271138423943,4.505929372460608,0.19616800701627268,0.2002789162070244
12,"(3, 'shafter', 17)",6.127477108365186,12.959369347370123,0.44765330823895744,0.5682886064715087
13,"(3, 'shafter', 19)",3.47053721723099,4.494589448225195,0.24941528541129337,0.1964696094244591
14,"(3, 'shafter', 21)",3.0425763672534125,4.557355777811738,0.22228061440021385,0.19984717579587197
18,"(4, 'donovan', 17)",3.6987810222284536,6.05758402284639,0.48557625739361027,0.16295646511443823
19,"(4, 'donovan', 19)",3.9720267545809307,8.12401857530143,0.5251310852008569,0.21763332086779721
20,"(4, 'donovan', 21)",4.975567382451726,11.49969595198757,0.6531928690725847,0.3093559734638499
24,"(4, 'elcajon', 11)",3.0823869569302023,3.4029696274940733,0.1593696150705541,0.19161680892773122
25,"(4, 'elcajon', 12)",3.6705960785643237,4.081129416674193,0.18978197490910548,0.22980310765220427
26,"(4, 'elcajon', 13)",3.3721773960873827,4.2470561662828015,0.17430395734755408,0.23944763245742298
23,"(4, 'shafter', 15)",3.5956695478612675,4.706755134683228,0.289678377667984,0.2383996103195291
21,"(4, 'shafter', 18)",3.021505995297233,3.5265129042418746,0.24480991939116556,0.17601524046814737
22,"(4, 'shafter', 20)",3.494561610877008,3.9278757877739583,0.28328636238994237,0.1957686080030341
