,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.06131736543798194,0.1875604648153555,0.00707760968038329,0.004597703864160446
6,"(2, 'donovan', 18)",-0.1511210103546894,-0.10345100241080996,-0.009779013723808183,-0.0027511716879960735
7,"(2, 'donovan', 20)",-0.16781091484530197,-0.03351545248223431,-0.008185873959916767,-0.0018471584551735254
0,"(2, 'elcajon', 17)",-0.018877099523256557,-0.08462073424210459,-0.0019439510956353323,0.00036179280555201365
1,"(2, 'elcajon', 19)",0.010880535191534868,-0.01475325811490169,0.0008054262428925651,0.001214893839377007
2,"(2, 'elcajon', 21)",-0.09171242286068715,-0.16453723036411372,-0.004813739844311604,-0.0024447644278304814
3,"(2, 'shafter', 11)",0.05604836308827732,0.07612475766825622,0.007293212749489519,0.002048148017498086
4,"(2, 'shafter', 12)",-0.020523600266651343,-0.003387491413572974,-0.002001214966007414,-0.0009687980681237773
5,"(2, 'shafter', 13)",-0.11361483085390756,-0.13392814552318733,-0.00995281231388595,-0.0020708023037657453
15,"(3, 'donovan', 11)",-0.09045365491333879,-0.06382178102871983,-0.003206618495129543,-0.002815073722824968
16,"(3, 'donovan', 12)",-0.08455786994572234,-0.006108477499814136,-0.0032309904696302127,-0.0006524217612647321
17,"(3, 'donovan', 13)",-0.11082042135699677,-0.11273845921708414,-0.004391905743361291,-0.003769252601575568
11,"(3, 'elcajon', 15)",-0.014211663506680683,-0.016029027064888623,0.0002620139814644429,-0.0014449925570986788
9,"(3, 'elcajon', 18)",0.0021703718771681757,-0.03316363654091914,0.0002923847427372672,-0.001204863307180809
10,"(3, 'elcajon', 20)",-0.005271297724138702,-0.0067871170368540845,-0.0004912573686486621,0.00043424988736889825
12,"(3, 'shafter', 17)",-0.0026077760431841845,0.0067712533995401,-0.00018737876833468947,-0.0015967067930961476
13,"(3, 'shafter', 19)",0.037787622644740004,0.11960494094580909,0.004861849740179169,0.003523818387187738
14,"(3, 'shafter', 21)",-0.015244830452376679,-0.006171969848343117,-0.0011109062416174709,-0.0020907802848249835
24,"(4, 'donovan', 17)",-0.40469258875551706,0.44069921270579293,-0.009628826370326138,0.005083682708954207
25,"(4, 'donovan', 19)",-0.2626542938877443,0.016982831354748207,0.004155468744014956,-0.006898844363350587
26,"(4, 'donovan', 21)",0.5551310726861569,1.0225477981505229,0.10063382596508474,0.02132972846646186
18,"(4, 'elcajon', 11)",0.006925505074010907,0.023878920536025916,0.00024587329540290415,0.0025770321349079806
19,"(4, 'elcajon', 12)",-0.01424042330253128,-0.04153547692149173,-0.0008727233909824328,-0.0008117391824092879
20,"(4, 'elcajon', 13)",-0.07492643040230229,-0.01698400582261783,-0.003546231876176753,-0.0014893232495350461
23,"(4, 'shafter', 15)",-0.022914803233933245,-0.01859091310794536,-0.00021554281042102108,-0.001926363025735428
21,"(4, 'shafter', 18)",0.006346151016808577,-0.02344081168499157,0.0014403538329750831,-0.0010053619013086212
22,"(4, 'shafter', 20)",-0.05109551433266635,-0.06991256351360242,-0.0025033711797678992,-0.004674837214380695
