,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.11224428244664963,0.1565153177124632,0.011904695827069989,0.003906462428060975
6,"(2, 'donovan', 18)",-0.11797409314205076,-0.10178302580838672,-0.006465640489701885,-0.002714881771544886
7,"(2, 'donovan', 20)",-0.1882574484465911,-0.08671638792045311,-0.010155442062621978,-0.003135695943100092
3,"(2, 'elcajon', 17)",-0.008142023503880047,-0.027615938642574278,-0.0009845427407609852,0.0017984415634329232
4,"(2, 'elcajon', 19)",0.007255297558299567,-0.011617274416948042,0.00046613475843465535,0.0014224669415560387
5,"(2, 'elcajon', 21)",-0.08630254694616024,-0.07574495087360056,-0.004211709004328601,-0.00014774663831568224
0,"(2, 'shafter', 11)",0.04052457678302268,0.03167222520389501,0.006267360462494098,0.0006285378222709859
1,"(2, 'shafter', 12)",-0.0009103747489476177,0.04135658945392251,-0.0005508531004314032,0.00039997753364659494
2,"(2, 'shafter', 13)",-0.11863970801162438,-0.13487812366726182,-0.010402206233471212,-0.001995080427943108
15,"(3, 'donovan', 11)",-0.08476775326479524,-0.07026776336451235,-0.002397528788426917,-0.0030631898150780823
16,"(3, 'donovan', 12)",-0.09573980830309559,-0.03004037329321374,-0.004002271214483211,-0.0014660183859391829
17,"(3, 'donovan', 13)",-0.11149851943429301,-0.12908204370365617,-0.0042966806603245145,-0.004319079115646052
14,"(3, 'elcajon', 15)",0.00021834452199165355,-0.0116502209804219,0.0009878204676439795,-0.0011458294983536232
12,"(3, 'elcajon', 18)",0.01615474942996986,0.011921652476037714,0.0011763685296015958,0.0007884076526679384
13,"(3, 'elcajon', 20)",-0.004640155110876343,-0.02032208882461095,-0.0004630120921747527,-0.00011091253530162715
9,"(3, 'shafter', 17)",-0.005107868298914298,0.018659794683149933,-0.0003700530001831126,-0.001083037028448558
10,"(3, 'shafter', 19)",0.03268592772046519,0.0820630544865546,0.00419192229645568,0.0023028391414173233
11,"(3, 'shafter', 21)",-0.008000813608235013,-0.00045596448021978375,-0.0005817374382327545,-0.0018370548350714333
24,"(4, 'donovan', 17)",-0.20256349686187303,0.1916783544572418,0.009399397947601917,-0.0016700190929068714
25,"(4, 'donovan', 19)",-0.142002185584988,0.27469538775066926,0.024330584084427065,-0.002932596974425855
26,"(4, 'donovan', 21)",0.9924945812388408,1.2826865819323547,0.1747911435423063,0.027693936564622046
21,"(4, 'elcajon', 11)",-0.022496170932732706,-0.005581244169194921,-0.0012748158956542577,0.0009811417946148648
22,"(4, 'elcajon', 12)",-0.03572482174003078,-0.059110596520318914,-0.001990786448019033,-0.0016792733491320655
23,"(4, 'elcajon', 13)",-0.08317203563905684,-0.010377893711429387,-0.003979326755005647,-0.0010982336214614974
20,"(4, 'shafter', 15)",-0.07190385422864853,0.009349032992112427,-0.0027546171025015775,-0.0014375951999787695
18,"(4, 'shafter', 18)",-0.014087600222378871,-0.02475518012498723,-0.0001325027526823952,-0.0010714301576996155
19,"(4, 'shafter', 20)",-0.0427676886907129,-0.04864923050100689,-0.0017065355350127098,-0.0035645818854146416
