,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",5.67516727470744,8.756433079252835,0.5342810297316877,0.2039452249615956
6,"(2, 'donovan', 18)",5.429456932611939,7.046115067285927,0.5223073152417049,0.16538381868101437
7,"(2, 'donovan', 20)",5.433640600349825,7.582030377739691,0.5233046740902976,0.17781211539130357
3,"(2, 'elcajon', 17)",3.2390651922263314,6.615289310523461,0.2877147372394984,0.1734437005344039
4,"(2, 'elcajon', 19)",2.915910320972967,6.589146065636336,0.2590679376398336,0.17260495036383008
5,"(2, 'elcajon', 21)",3.0512302790680557,6.112177627338308,0.2716956466838752,0.16015508726611158
0,"(2, 'shafter', 11)",4.567091674274631,7.198228878013275,0.34019013982858093,0.22813648730067454
1,"(2, 'shafter', 12)",4.617457905745331,7.711599459295805,0.3435134677073333,0.24386694754989732
2,"(2, 'shafter', 13)",4.657046367111073,7.977580028920951,0.34341683753543123,0.2540023488844769
15,"(3, 'donovan', 11)",3.8483432570372598,4.985504242201653,0.3245225617166072,0.1666891281668547
16,"(3, 'donovan', 12)",3.6146975229141756,5.693727412763631,0.30473525294621373,0.19044099439618553
17,"(3, 'donovan', 13)",4.149820307212652,5.756434949314006,0.3534629538699075,0.193495276172995
14,"(3, 'elcajon', 15)",2.513395106552446,3.887833406058146,0.1584369555626929,0.17238585503539072
12,"(3, 'elcajon', 18)",3.1804720170347234,3.8833287293509837,0.19942512315947886,0.17251871594965598
13,"(3, 'elcajon', 20)",2.917774208228561,4.514805941895299,0.1828888652006049,0.20067346071916917
9,"(3, 'shafter', 17)",3.5821125654726007,4.676275499856766,0.2616973530964321,0.20506199152582585
10,"(3, 'shafter', 19)",3.3999399172814555,4.340704199346306,0.2443417061311874,0.18974290499645854
11,"(3, 'shafter', 21)",3.192510792805129,4.450801378577058,0.23323433000455346,0.19517459880301286
24,"(4, 'donovan', 17)",5.214232869511825,10.372431939648044,0.6845248925903878,0.2790311842395064
25,"(4, 'donovan', 19)",3.710646061470155,8.19621722848755,0.49057463946052715,0.21956744158766456
26,"(4, 'donovan', 21)",7.6892094105219915,11.441827602400458,1.00944000346025,0.3077992436429912
21,"(4, 'elcajon', 11)",2.905938622723475,3.414520817278936,0.15024665176474894,0.19226724145231533
22,"(4, 'elcajon', 12)",3.7318767589413384,4.294956987946519,0.19295038905678047,0.24184346103559384
23,"(4, 'elcajon', 13)",3.4863812545014694,4.408307314663055,0.18020702297186897,0.24853891926856175
20,"(4, 'shafter', 15)",6.572416632113362,8.973011166024149,0.5294944271175088,0.45448771056939835
18,"(4, 'shafter', 18)",3.198882142714867,3.486560056148459,0.2591813753534612,0.17402111472538004
19,"(4, 'shafter', 20)",3.484810101893676,3.8811533673053744,0.28249585708046304,0.19343992356598094
