,Benchmark,Board,Calibration,Model,NO2 CvMAE,NO2 MAE,O3 CvMAE,O3 MAE,NO2 MAE Improvement,NO2 CvMAE Improvement,O3 MAE Improvement,O3 CvMAE Improvement
9,Level 1,,Split-NN,"(3, 'donovan', 11)",0.434724598978026,5.230085749848679,0.3107322161423249,9.254608468834617,-0.14057872690088846,-0.011684900324741065,-0.9138011609646011,-0.030681736652195202
21,Level 1,,Split-NN,"(4, 'elcajon', 11)",0.26590508923589623,5.139111487976628,0.3928023255716748,7.023113785232245,0.48811821255907084,0.02525594495699257,0.0024934862176548833,0.00013946053204139108
9,Level 2,,Split-NN,"(3, 'donovan', 11)",0.3680845387697745,4.4283523533866775,0.2179576030411292,6.491481005714025,0.040182884561882126,0.0033400003771352216,0.9793992807483214,0.03288425545175411
2,Level 2,,Split-NN,"(2, 'donovan', 20)",0.5327033538911974,5.613922869108646,0.18129360047579088,7.6834016506242575,0.3872403013894381,0.03674510892322691,0.36545658692363414,0.008623125989462882
2,Level 1,,Split-NN,"(2, 'donovan', 20)",0.5662868709694663,5.967844565252691,0.190995251584876,8.094567196179623,0.349276866739646,0.03314277069473881,0.8058349589927918,0.019014067954288782
26,Level 1,,Split-NN,"(4, 'shafter', 20)",0.3901084964429439,4.842105850362438,0.319985020463584,6.382990895541532,2.3728655439685316,0.19117198967253968,5.597870036096648,0.2806262122830274
10,Level 1,,Split-NN,"(3, 'donovan', 12)",0.4672131250089588,5.615012381085259,0.3736725855857699,11.145059666665919,-0.39295970897683397,-0.03269733371419431,-0.42875076477157137,-0.01437519507618723
22,Level 1,,Split-NN,"(4, 'elcajon', 12)",0.2764069968235164,5.342080427323736,0.3705781326863825,6.625756067985541,1.7296499318577876,0.0894945985417,1.0808205544786729,0.06045022767787178
8,Level 2,,Split-NN,"(2, 'shafter', 13)",0.4028938000958235,5.43807447551528,0.3174945174284187,10.061276760599387,0.7337588285114478,0.05436241892307392,0.6982446039161747,0.022033866957671955
25,Level 2,,Split-NN,"(4, 'shafter', 18)",0.3291393006924755,4.078125791260509,0.2408504991585201,4.830028759500328,1.2115614026542563,0.09778326938080062,3.1921253511592553,0.15917606757331362
13,Level 1,,Split-NN,"(3, 'elcajon', 18)",0.2892302287509225,4.616504193726161,0.3608306634181924,8.134396297098897,1.7723394942171007,0.11103946532385917,4.646765803964934,0.20612415802653045
25,Level 1,,Split-NN,"(4, 'shafter', 18)",0.4254539748961276,5.271490898740503,0.2762980722544089,5.540896281493487,1.5967130712501172,0.12886827199005035,7.770182388924353,0.387461938657023
6,Level 1,,Split-NN,"(2, 'shafter', 11)",0.3562269293391893,4.828916136384454,0.2497852118609951,7.868295925218833,0.7716971427961914,0.05692774440351711,3.2034649788955942,0.10169650278124989
21,Level 1,,Split-NN,"(4, 'elcajon', 11)",0.2279445902694291,4.405454088306368,0.21808612043698755,3.899273347172042,1.2217756122293304,0.06321644392345971,3.1263339242778576,0.17485566566672867
8,Level 1,,Split-NN,"(2, 'shafter', 13)",0.3704688386631801,5.000417318481621,0.3516304172558303,11.143030040679626,1.0659793757332539,0.07897583665811225,1.2213916227633135,0.03854233941550472
23,Level 1,,Split-NN,"(4, 'elcajon', 13)",0.2859905889887042,5.542531514347627,0.3032956508076459,5.368463750179299,1.780924574014442,0.09189441080278576,4.373817320223,0.2471023056840948
21,Level 2,,Split-NN,"(4, 'elcajon', 11)",0.17216586585208987,3.327426269201605,0.21633164365079613,3.8679041589040297,1.003750423518163,0.05193550413541437,2.366817067055398,0.13237593417566237
15,Level 1,,Split-NN,"(3, 'shafter', 17)",0.2986954126230523,4.088590426389032,0.26798111989010065,6.054732832722809,1.1117623341378229,0.0812207324535929,5.573408503522327,0.24667781281891288
18,Level 1,,Split-NN,"(4, 'donovan', 17)",1.1014203481354448,8.837127003753395,0.3813972382420919,13.832898664195636,-0.5800691090165522,-0.07229724317917663,-0.40478755308452463,-0.011160701640995419
1,Level 1,,Split-NN,"(2, 'donovan', 18)",0.6104158048353744,6.403957573190273,0.22635539816689745,9.625091178949306,-0.06753434522092494,-0.0064372743293371615,0.5981372693265552,0.014066526460859125
13,Level 1,,Split-NN,"(3, 'elcajon', 18)",0.2780281436252376,4.437703820111904,0.3278453323458571,7.390790550315634,1.9511398678313583,0.1222415504495441,5.390371550748197,0.23910948909886576
