,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",5.362335647808678,7.331432006556889,0.5048299147844677,0.17075566458796823
3,"(2, 'donovan', 18)",5.335489892648422,6.670320021594448,0.5132677974826159,0.15656329572554656
4,"(2, 'donovan', 20)",5.325011890424394,7.2679565193210065,0.5128428280048724,0.1704465240691565
0,"(2, 'elcajon', 17)",3.0159572942322974,5.8710908045153625,0.2678968495349014,0.15393184901055787
1,"(2, 'elcajon', 19)",3.0866641870928286,6.606538469993636,0.27423879238852833,0.17306055038557727
2,"(2, 'elcajon', 21)",6.0461934532237915,14.454814524247725,0.5383810102825775,0.3787540583231509
6,"(2, 'shafter', 11)",4.246915179479472,6.526934769910102,0.31634107037641374,0.20686088154214163
7,"(2, 'shafter', 12)",4.292136408543334,6.544207397602239,0.3193113378980825,0.20695004850945
8,"(2, 'shafter', 13)",4.315171413102967,7.37143488536171,0.31820652046253817,0.23470297618363162
12,"(3, 'donovan', 11)",3.4986189042574947,4.655751078626656,0.29503105452030076,0.1556639109217672
13,"(3, 'donovan', 12)",3.278311357518366,5.086818871444861,0.2763763868032851,0.17014141597639876
14,"(3, 'donovan', 13)",3.75625065546907,5.313994453205119,0.3199404682294929,0.17862319879550148
11,"(3, 'elcajon', 15)",2.599807965849944,4.128996353196329,0.1638841653200726,0.1830789780433082
9,"(3, 'elcajon', 18)",3.0051743293544657,3.7725388174359065,0.18843343300532348,0.16759682169967857
10,"(3, 'elcajon', 20)",2.5754023906456314,3.901951033736465,0.16142867372388817,0.17343337179358986
15,"(3, 'shafter', 17)",3.211538098246913,4.094697014926325,0.23462440230955797,0.17955886572580368
16,"(3, 'shafter', 19)",3.4220869204448756,4.317335873401509,0.24593333323940106,0.18872141773401443
17,"(3, 'shafter', 21)",5.5772957698494565,9.817341179643513,0.40745887063238195,0.4305057590913671
21,"(4, 'donovan', 17)",4.656901675235491,9.219695318129755,0.611358410492898,0.24802115047982382
22,"(4, 'donovan', 19)",3.777245511042389,8.287364308529488,0.499379575426105,0.22200916935244802
23,"(4, 'donovan', 21)",2.091460417792245,2.636533849050572,0.27456708468417923,0.07092600524820489
18,"(4, 'elcajon', 11)",2.781995182786573,3.1712113206601824,0.14383836539795986,0.17856679906598982
19,"(4, 'elcajon', 12)",3.530043187981935,3.998965390658684,0.1825149249305793,0.2251765578450758
20,"(4, 'elcajon', 13)",3.3195100833833133,4.094264247920364,0.1715816447438839,0.23083327425774447
26,"(4, 'shafter', 15)",3.3107375807054287,4.319330664675792,0.26672336778935224,0.21877635819888547
24,"(4, 'shafter', 18)",2.695329099889448,3.1424886334197364,0.21838225729275382,0.15684782886076098
25,"(4, 'shafter', 20)",2.8526365170187735,3.385663728211106,0.23124875509754034,0.16874430635034998
