,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",5.382418770363544,7.1647965109300635,0.5067206134862773,0.16687457358497507
6,"(2, 'donovan', 18)",5.332696932329786,6.7034294437250175,0.5129991180136176,0.1573404278918517
7,"(2, 'donovan', 20)",5.311279015922455,7.314650182066293,0.5115202382452373,0.17154157361848085
3,"(2, 'elcajon', 17)",2.9988449155789527,5.655965368001166,0.2663768172923871,0.14829155876221667
4,"(2, 'elcajon', 19)",2.8991729841199376,6.41297777216081,0.25758088664621775,0.16799016124728508
5,"(2, 'elcajon', 21)",2.707086740390261,5.3336780597162265,0.24105151538556518,0.139756356438742
0,"(2, 'shafter', 11)",4.862316380826138,8.526712868749565,0.3621806189705526,0.27024068768356213
1,"(2, 'shafter', 12)",4.292838297843316,6.5879469918668825,0.31936355460093185,0.20833324292932248
2,"(2, 'shafter', 13)",4.176685902064469,7.186037131211187,0.3079944133679676,0.22879999998515788
15,"(3, 'donovan', 11)",3.315750621417284,4.2647507316289275,0.2796101630768201,0.1425909089168172
16,"(3, 'donovan', 12)",3.248183918669447,5.208273361474677,0.27383650825465194,0.17420376602907417
17,"(3, 'donovan', 13)",3.7487554821882254,5.306636510271165,0.31930206321638677,0.1783758708550997
14,"(3, 'elcajon', 15)",2.560750984120393,4.009528157532275,0.16142212930251,0.1777817790874599
12,"(3, 'elcajon', 18)",3.0482177052363744,3.6731690141403615,0.1911323816175023,0.16318227117781678
13,"(3, 'elcajon', 20)",2.5285625800611258,3.8211888662334283,0.15849270980322125,0.16984366630976744
9,"(3, 'shafter', 17)",3.200546585541708,4.07410417949397,0.23382139857114856,0.17865583769739696
10,"(3, 'shafter', 19)",3.4351510966546006,4.4040013322343246,0.24687220956720246,0.19250977906125388
11,"(3, 'shafter', 21)",2.8140104984875025,4.238819188267017,0.2055823443791171,0.1858788483464123
24,"(4, 'donovan', 17)",4.655216759600598,9.279122969971374,0.6111372146386156,0.2496198274503186
25,"(4, 'donovan', 19)",3.7198279005490384,8.833613302564132,0.49178854596658805,0.23664256555785268
26,"(4, 'donovan', 21)",4.265609124538836,7.207903749082795,0.5599894943090444,0.19390148141663247
21,"(4, 'elcajon', 11)",3.3910536707002503,4.287059723126873,0.17532870652986154,0.2413987762897261
22,"(4, 'elcajon', 12)",3.5321752001002533,4.105761362974241,0.18262515701868823,0.23119010062139225
23,"(4, 'elcajon', 13)",3.230585492355214,4.209181862578181,0.16698523527275272,0.2373122916477011
20,"(4, 'shafter', 15)",3.268231796630701,4.369261600046567,0.2632989689650508,0.22130538620112156
18,"(4, 'shafter', 18)",2.719867675672993,3.143103850191397,0.22037043364219466,0.15687853554777567
19,"(4, 'shafter', 20)",2.8339687247125953,3.46507904150292,0.22973545198111853,0.17270243185565629
