,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",5.436082269923798,7.288733680417453,0.5117726918508814,0.1697611820571049
0,"(2, 'donovan', 18)",5.30895404563595,6.639953057765818,0.5107150804829654,0.15585053353080972
1,"(2, 'donovan', 20)",5.36597674768204,7.390326785373277,0.5167880836544616,0.17331632474044284
3,"(2, 'elcajon', 17)",3.097445016843082,5.728379534258458,0.27513511653720657,0.150190157655964
4,"(2, 'elcajon', 19)",3.0194035655717815,6.435377553571146,0.268262932851114,0.1685769312353804
5,"(2, 'elcajon', 21)",2.463171909389901,4.492082322824362,0.21933221147099075,0.11770434046298905
6,"(2, 'shafter', 11)",4.180460971136013,6.391621799675675,0.31139107855647735,0.2025723508162302
7,"(2, 'shafter', 12)",4.174053758983493,6.465659254932498,0.3105266383395008,0.20446608965114946
8,"(2, 'shafter', 13)",4.203462630100196,7.110808021246057,0.3099689651625378,0.22640474095091964
9,"(3, 'donovan', 11)",3.5104048240309176,4.628987124747359,0.2960249359444859,0.1547690645989672
10,"(3, 'donovan', 12)",3.242996232134129,5.0549914107857,0.2733991629557648,0.1690768667246294
11,"(3, 'donovan', 13)",3.696017985060019,5.172592001040417,0.3148101213647739,0.17387013430783482
14,"(3, 'elcajon', 15)",2.681875585336834,3.9303738128903287,0.16905746407755115,0.17427208925362964
12,"(3, 'elcajon', 18)",3.0583795625050523,3.7009591562759527,0.19176956050996888,0.16441686138931605
13,"(3, 'elcajon', 20)",2.5335144334727397,3.6775759364163667,0.1588030966894086,0.16346037896556972
15,"(3, 'shafter', 17)",3.27693753002975,4.110175139308921,0.23940226952583324,0.1802376056783742
16,"(3, 'shafter', 19)",3.4200621395426345,4.42221679735241,0.24578781936791153,0.19330602204594924
17,"(3, 'shafter', 21)",3.7074874679384413,6.602951669930943,0.2708568307846228,0.2895497537359144
18,"(4, 'donovan', 17)",4.704294119412598,9.1223839413036,0.61758009421355,0.2454033546848002
19,"(4, 'donovan', 19)",3.853237185359176,8.049451563676898,0.5094262324266354,0.21563575448896455
20,"(4, 'donovan', 21)",4.487150784461729,10.87762305533781,0.5890735004817901,0.2926214469761907
21,"(4, 'elcajon', 11)",2.8058536051290432,3.234175855966228,0.14507192485627554,0.18211225043689921
22,"(4, 'elcajon', 12)",3.587602127264238,4.019565550965416,0.18549091273660925,0.22633652617082378
23,"(4, 'elcajon', 13)",3.25935287956127,4.23308893378246,0.16847218831335575,0.2386601644741313
26,"(4, 'shafter', 15)",3.2158161598772574,4.069933425280479,0.2590762014339791,0.20614425752968202
24,"(4, 'shafter', 18)",2.739178617846548,3.2930698668301734,0.22193505413417236,0.1643636363250828
25,"(4, 'shafter', 20)",2.824566824805805,3.3225889179732335,0.22897328770395745,0.16560060515726263
