,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",5.389439498451815,7.248401251019745,0.5073815705384482,0.16882180339546093
3,"(2, 'donovan', 18)",5.724654294556218,8.261403029631449,0.5507049512294679,0.19390861029887102
4,"(2, 'donovan', 20)",5.310555460195546,7.373662022509794,0.5114505538252129,0.1729255063725885
6,"(2, 'elcajon', 17)",3.084977688111984,5.640074963178689,0.2740276876967636,0.1478749344112581
7,"(2, 'elcajon', 19)",3.0412556706963607,6.4917958666720565,0.2702044122467577,0.17005482837643476
8,"(2, 'elcajon', 21)",2.6853873190240423,5.2136771031188145,0.2391192986134632,0.1366120165900579
0,"(2, 'shafter', 11)",4.183119976095329,6.478860934482038,0.3115891405472208,0.20533725731019636
1,"(2, 'shafter', 12)",4.264932787809423,6.564172892498738,0.31728753816167926,0.20758142521961656
2,"(2, 'shafter', 13)",4.17856587647081,7.065847080884396,0.30813304519904244,0.22497320602196683
12,"(3, 'donovan', 11)",3.5700628894123856,4.718154375501079,0.3010557730895996,0.157750350055182
13,"(3, 'donovan', 12)",3.2557127791824456,5.104505547372754,0.2744712250458306,0.17073299121474267
14,"(3, 'donovan', 13)",3.7380989517031153,5.211186411787928,0.31839438807278475,0.1751674365846917
17,"(3, 'elcajon', 15)",2.618765369295216,3.9696749764039585,0.1650791836756874,0.17601469598817382
15,"(3, 'elcajon', 18)",2.5503796939322254,3.0363887428700993,0.1599164469430121,0.1348930063748395
16,"(3, 'elcajon', 20)",2.4647734781979107,3.6975670612800564,0.15449434816885338,0.16434894167716693
9,"(3, 'shafter', 17)",3.295430764492996,4.122910304281874,0.24075332436310207,0.18079606257250797
10,"(3, 'shafter', 19)",3.488810242522362,4.233219496885308,0.25072850337528674,0.18504448309277272
11,"(3, 'shafter', 21)",2.8656315471881393,4.161539720903571,0.20935360828054514,0.18249002288433488
21,"(4, 'donovan', 17)",4.616048036083098,9.345027546029636,0.6059951415993596,0.25139274165321124
22,"(4, 'donovan', 19)",3.890518131060047,8.340272639116352,0.5143550470300703,0.22342652402494925
23,"(4, 'donovan', 21)",4.417583380276856,7.326756036526297,0.5799406863039106,0.19709875421706116
24,"(4, 'elcajon', 11)",2.7555154144931464,3.2707359295422807,0.14246927367162976,0.1841709007922258
25,"(4, 'elcajon', 12)",3.4321981159534687,3.874956299550668,0.17745601062695235,0.2181937666605289
26,"(4, 'elcajon', 13)",3.2506078736128647,4.2140387603584895,0.1680201690495995,0.23758612195016218
20,"(4, 'shafter', 15)",3.2297402513754063,4.207132948878277,0.26019796976724635,0.21309348518775972
18,"(4, 'shafter', 18)",3.7884576253003974,5.646754723656751,0.30695024511291796,0.2818407071057523
19,"(4, 'shafter', 20)",2.8536336105579867,3.3745971407717166,0.231329584406947,0.1681927383946889
