,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.13758783684671094,0.23226603622315523,0.014408271171283071,0.005701609501754967
6,"(2, 'donovan', 18)",-0.2152748256036645,-0.1409224065816197,-0.016377493459965586,-0.0035626392109213145
7,"(2, 'donovan', 20)",-0.13384920624852015,-0.08537109027763012,-0.005845248399657776,-0.0029005259742650447
0,"(2, 'elcajon', 17)",-0.08278497063511026,-0.10212100313865768,-0.007568415122957972,-0.0009794133195008964
1,"(2, 'elcajon', 19)",-0.023716213230519756,-0.08197428588630018,-0.0022713693988830608,-0.0007861154979293128
2,"(2, 'elcajon', 21)",-0.0624639491555139,-0.10038252866277109,-0.0028437437999894177,-0.0012999952586757874
3,"(2, 'shafter', 11)",0.052222483020879285,-0.014153069696635434,0.006513949280090081,-0.0007294591709021692
4,"(2, 'shafter', 12)",-0.029088256797102918,-0.11183812034704665,-0.002540591265490555,-0.004182521464243749
5,"(2, 'shafter', 13)",-0.07064338626414246,-0.11835187523087143,-0.006576963209373066,-0.002066679240421032
15,"(3, 'donovan', 11)",-0.08679479476945584,-0.09374559413094685,-0.0036459092500558676,-0.0036828654685046314
16,"(3, 'donovan', 12)",-0.06832996999129826,-0.038113961144620845,-0.0025308049673591904,-0.0016213029846821325
17,"(3, 'donovan', 13)",-0.10589865010891675,-0.13791326855196573,-0.00489854766424519,-0.00462024063236996
11,"(3, 'elcajon', 15)",0.009905989277202654,-0.04532297344757419,0.0014308129189563867,-0.002513858555286047
9,"(3, 'elcajon', 18)",-0.02890677857116808,-0.051607548548598725,-0.0016789809992947269,-0.002081616863784469
10,"(3, 'elcajon', 20)",-0.024655915330517253,-0.04637419270524967,-0.0016817665364755319,-0.0014693117406803513
12,"(3, 'shafter', 17)",-0.01672215333572291,-0.01200010389912709,-0.0012191449462036485,-0.001984575746128925
13,"(3, 'shafter', 19)",0.03036655957973533,0.06133299739314291,0.0038077544344335967,0.0015738509768208897
14,"(3, 'shafter', 21)",-0.0009449712498397211,-0.013973743084987778,-6.682018093839837e-05,-0.0020952905845814662
24,"(4, 'donovan', 17)",-0.5327933917139882,-0.05777089077976072,-0.03753688512262243,-0.007055714656238582
25,"(4, 'donovan', 19)",-0.14498242046486798,-0.003930134447354128,0.02728219452734404,-0.009483770606141001
26,"(4, 'donovan', 21)",0.677093900109075,0.8483044193863911,0.11319993217607305,0.018613288411720386
18,"(4, 'elcajon', 11)",-0.0381822112028356,-0.02859568495676168,-0.0020653895915165865,-0.0006030058743675126
19,"(4, 'elcajon', 12)",-0.04736561160555253,-0.024695662787240114,-0.002564249972952931,-0.0002128667479149582
20,"(4, 'elcajon', 13)",-0.07921735331919244,-0.02337861585366552,-0.003844262123958858,-0.001696604186402273
23,"(4, 'shafter', 15)",-0.03680805667691267,-0.00794468029674178,-0.0016625381090527858,-0.0011868148915102072
21,"(4, 'shafter', 18)",0.007688319242402208,-0.011605588832943603,0.0014078634917618904,-0.00044751950517465944
22,"(4, 'shafter', 20)",-0.041091611464414424,-0.034451965984683586,-0.0020559377423208514,-0.0025412959356064524
