,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",0.03213757492607794,-0.039461453685154524,0.004201094649808557,-0.0007309072748744039
0,"(2, 'donovan', 18)",-0.10319535393535872,0.17470400236591566,-0.004308029944965819,0.0036444316015144806
1,"(2, 'donovan', 20)",-0.1505248445475127,-0.08160168261863188,-0.007525224324517632,-0.0028038649350581313
6,"(2, 'elcajon', 17)",-0.04769408999706792,-0.05880217231565421,-0.00444884804732934,0.00012826534790462418
7,"(2, 'elcajon', 19)",-0.04050197542343259,-0.07144339454868032,-0.003761616542793944,-0.0005340351220775308
8,"(2, 'elcajon', 21)",-0.05846029109849926,-0.11587512335840433,-0.002435002647620449,-0.0016967183280869602
3,"(2, 'shafter', 11)",0.04087313432618256,-0.04710924879344347,0.005654704526994514,-0.0017794012790732228
4,"(2, 'shafter', 12)",-0.039198252711889925,-0.08393741635441643,-0.0032970044926169395,-0.00331742043873251
5,"(2, 'shafter', 13)",-0.07380448419323571,-0.10344983527072227,-0.006806123457835933,-0.0015634516065574922
9,"(3, 'donovan', 11)",-0.08104198178843847,-0.09207327293062839,-0.003094220377975909,-0.003640314015745466
10,"(3, 'donovan', 12)",-0.07600722311544805,-0.059382138495990944,-0.0031193505518094244,-0.0023397086723528637
11,"(3, 'donovan', 13)",-0.09441299284940685,-0.11243554234621378,-0.003935848357450811,-0.0037637891454163075
17,"(3, 'elcajon', 15)",-0.01377012412424028,-0.0619248504762111,2.2819864675893697e-05,-0.003312857662726848
15,"(3, 'elcajon', 18)",0.0327631229818639,-0.05776499429467297,0.0023114221819036107,-0.0021176239508327033
16,"(3, 'elcajon', 20)",-0.023865727887096178,-0.04747302559766764,-0.0016306327678264343,-0.0015154468635669993
12,"(3, 'shafter', 17)",-0.01732959407496848,-0.02318478192536455,-0.0012635322181093755,-0.0024725477347318503
13,"(3, 'shafter', 19)",0.03053002029048768,0.0726325636142362,0.0038205604899383683,0.0020698696348168677
14,"(3, 'shafter', 21)",0.0033111505101790506,-0.016454878717830912,0.00024410490546003527,-0.002207543580559912
18,"(4, 'donovan', 17)",-0.24592665484727227,-0.5720697976986759,-0.0017883960383663355,-0.021185168995086823
19,"(4, 'donovan', 19)",-0.14269831248473608,0.07720472726847216,0.024817948836248327,-0.007212822201499158
20,"(4, 'donovan', 21)",0.5702232673072469,0.9986422265467922,0.10176077855664878,0.022766499734329343
24,"(4, 'elcajon', 11)",-0.0413611010013355,0.0028106891724677396,-0.002230964465968238,0.0011480841345344883
25,"(4, 'elcajon', 12)",-0.02856094849188695,-0.017807523046247553,-0.001595103187469582,0.00024076250872440141
26,"(4, 'elcajon', 13)",-0.07725884044146802,-0.04297771660581606,-0.00374323769624077,-0.0028049138705465437
23,"(4, 'shafter', 15)",-0.024069011138043717,-0.006782236145637555,-0.0006073495027648645,-0.001154305195941091
21,"(4, 'shafter', 18)",-0.021154597721739776,-0.028400036552134633,-0.000994102671805136,-0.0012986878475271246
22,"(4, 'shafter', 20)",-0.03719912133050851,-0.040399077678306305,-0.0017307691656251178,-0.0028498857027652313
