,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",4.921066007778413,6.159341977790988,0.4632871749404065,0.1434566305602564
0,"(2, 'donovan', 18)",6.280228918133143,10.180470072303512,0.6041505708666584,0.2389522453787958
1,"(2, 'donovan', 20)",4.763820645103224,6.112728001075258,0.4587954547361626,0.14335435794005238
6,"(2, 'elcajon', 17)",2.591051876478237,4.339028128841766,0.23015399986514198,0.11376329289060759
7,"(2, 'elcajon', 19)",2.6186822562216823,5.041053750287622,0.23266031419889713,0.13205213903021362
8,"(2, 'elcajon', 21)",2.4444445008019464,4.396342902047249,0.21766463645316167,0.11519571649552059
3,"(2, 'shafter', 11)",3.677648427458322,5.421397449454565,0.27393795045204855,0.17182262350079164
4,"(2, 'shafter', 12)",3.601669037520456,5.517857426359617,0.267944363731688,0.17449337905637666
5,"(2, 'shafter', 13)",3.864689155694638,6.001394895724265,0.2849873553501757,0.19108155538033006
9,"(3, 'donovan', 11)",3.015171437784281,3.8875456226519933,0.2542629629556007,0.1299791473575327
10,"(3, 'donovan', 12)",2.922598639839789,4.327656751169945,0.24638820541028833,0.14474933472414625
11,"(3, 'donovan', 13)",3.27007765764569,4.509692461819415,0.27853044775131364,0.1515876051824419
17,"(3, 'elcajon', 15)",2.2847176526803032,3.4524808004797127,0.14402180869506515,0.15308239644645524
15,"(3, 'elcajon', 18)",5.010635743351601,6.653522763554767,0.31418187139304443,0.2955858964590193
16,"(3, 'elcajon', 20)",2.262734569083704,3.3559157488580884,0.14183035699706942,0.14916327210347513
12,"(3, 'shafter', 17)",2.8778682282635675,3.5432367402917375,0.21024757992146767,0.15537647053385847
13,"(3, 'shafter', 19)",3.0023443342127325,3.7368777418531183,0.21576791204046264,0.16334815868415922
14,"(3, 'shafter', 21)",2.5436727774745385,3.6237336232352817,0.185832360329724,0.15890638469920867
18,"(4, 'donovan', 17)",4.343859665554639,8.071645762389007,0.5702622313586648,0.21713720455779834
19,"(4, 'donovan', 19)",3.7617363057122533,7.221053118572711,0.49732914466900496,0.19344389181180977
20,"(4, 'donovan', 21)",4.61895376164193,7.11061929415398,0.6063766054744555,0.19128440985377937
24,"(4, 'elcajon', 11)",2.3828524776207485,2.6160887935421817,0.12320136551140162,0.14730856909213605
25,"(4, 'elcajon', 12)",3.0760215625164276,3.2651821042901967,0.15904050309607773,0.18385817209093255
26,"(4, 'elcajon', 13)",2.7157628110465435,3.2451662121189426,0.1403746450978417,0.18296140573596606
23,"(4, 'shafter', 15)",2.888333555806414,3.7959814100297584,0.23269317924603777,0.19226844461543807
21,"(4, 'shafter', 18)",2.2714215059634575,2.513143617900206,0.18403621129455092,0.12543597322545197
22,"(4, 'shafter', 20)",2.537262019652817,2.8430487998375065,0.20568294625007896,0.14169992537984896
