,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",4.669806723039353,6.000251848129616,0.43963270576232355,0.13975127793672826
3,"(2, 'donovan', 18)",4.648110126684307,5.493007629051727,0.4471426795254736,0.12892985270058105
4,"(2, 'donovan', 20)",4.7214895605084655,6.088519390012312,0.45471862005807906,0.14278662289688693
6,"(2, 'elcajon', 17)",2.560198876351777,4.435816763322107,0.2274134366786588,0.11630095649773618
7,"(2, 'elcajon', 19)",2.637898970949758,5.244859637659722,0.23436764882335648,0.13739090443673224
8,"(2, 'elcajon', 21)",9.0028152203591,13.593331651308452,0.8016522777880912,0.3561809472151328
0,"(2, 'shafter', 11)",3.7647100556389894,5.540009469445914,0.2804229324880593,0.17558184400503493
1,"(2, 'shafter', 12)",3.5851166738923514,5.568444739383437,0.2667129589317508,0.1760931215841086
2,"(2, 'shafter', 13)",3.788723345695418,5.797710999765382,0.27938553475955685,0.18459635713525577
12,"(3, 'donovan', 11)",3.002969735264916,3.930552340136545,0.2532340194611119,0.131417066551771
13,"(3, 'donovan', 12)",2.895740621755295,4.374748654698563,0.24412395373148843,0.14632444155414573
14,"(3, 'donovan', 13)",3.2580593635392385,4.435686963094203,0.2775067837319438,0.14910000399520681
17,"(3, 'elcajon', 15)",2.2780540626792347,3.346177667215123,0.1436017557912718,0.14836893406090074
15,"(3, 'elcajon', 18)",2.5219344461294746,3.0640288276629772,0.15813284469278563,0.13612093021789873
16,"(3, 'elcajon', 20)",2.2745664420352822,3.350349685789777,0.1425719900580545,0.14891587251357596
9,"(3, 'shafter', 17)",2.892279642619508,3.527765674462533,0.2113004304174788,0.15469804010988944
10,"(3, 'shafter', 19)",3.0158654325865033,3.749994563340718,0.21673962575476158,0.16392152735870563
11,"(3, 'shafter', 21)",7.261665192691773,11.628133617916578,0.5305133563688578,0.5099118384901439
21,"(4, 'donovan', 17)",4.425347337581195,8.134646252890137,0.5809599392166266,0.21883199528522695
22,"(4, 'donovan', 19)",3.911108199676578,7.217641213916997,0.5170772051989418,0.1933524907233183
23,"(4, 'donovan', 21)",1.2217283948076085,1.4969874945553867,0.16038859773990163,0.040270805904337875
24,"(4, 'elcajon', 11)",2.3719664134540617,2.6938239676701508,0.12263851993746172,0.15168573598998222
25,"(4, 'elcajon', 12)",3.00437752027166,3.215647170000497,0.1553362688145979,0.18106892414632872
26,"(4, 'elcajon', 13)",2.7214528008480556,3.2381445034206364,0.14066875410314536,0.1825655241045991
20,"(4, 'shafter', 15)",2.901658683467169,3.7186614347635443,0.2337666931803987,0.1883521474115425
18,"(4, 'shafter', 18)",2.5043222132486775,2.806124169760692,0.2029064049878225,0.14005921258073234
19,"(4, 'shafter', 20)",2.5481272789957443,2.8376145304077065,0.2065637376449426,0.14142907685528597
