,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",4.8412186958376076,6.012824104930359,0.4557700565930464,0.1400440971381423
0,"(2, 'donovan', 18)",4.731721756130408,5.479194187200163,0.45518601907876644,0.1286056286791559
1,"(2, 'donovan', 20)",4.8185479606098545,6.194058370137752,0.46406614930569123,0.1452616999379182
3,"(2, 'elcajon', 17)",2.591349554330419,4.276904473714159,0.23018044153887804,0.11213449691052631
4,"(2, 'elcajon', 19)",2.5927550283298793,5.081938616092319,0.23035677509128627,0.1331231321699248
5,"(2, 'elcajon', 21)",2.4192584381952567,4.40005130522823,0.21542195302992453,0.11529288638672457
6,"(2, 'shafter', 11)",5.563966115891831,8.372774699255578,0.4144445844230516,0.2653618607047308
7,"(2, 'shafter', 12)",3.603634748920576,5.447765100659447,0.2680906018465449,0.17227682182912482
8,"(2, 'shafter', 13)",3.725932037932031,5.77584596725739,0.274755219611934,0.183900184913187
9,"(3, 'donovan', 11)",4.570673765861131,7.6339002227963135,0.38543514967271675,0.2552376070366617
10,"(3, 'donovan', 12)",2.9496771310286474,4.355870604672292,0.24867104396303838,0.14569301782086255
11,"(3, 'donovan', 13)",3.2265213557089147,4.42218619862011,0.274820518645356,0.14864619288234562
14,"(3, 'elcajon', 15)",2.2896382617415045,3.3967503915138124,0.14433198926203547,0.15061131983445625
12,"(3, 'elcajon', 18)",2.568988255511246,3.103063101906365,0.16108325949940017,0.13785504631772771
13,"(3, 'elcajon', 20)",2.284723919328051,3.3483675317319026,0.14320867040505889,0.14882777000826536
15,"(3, 'shafter', 17)",2.8866314848841053,3.5568956169421604,0.21088779460489346,0.15597543362917377
16,"(3, 'shafter', 19)",3.0307521234550845,3.7544251552483807,0.2178094797915897,0.16411519947751535
17,"(3, 'shafter', 21)",2.5477881676217966,3.679555148781002,0.18613301718760097,0.16135424586537941
18,"(4, 'donovan', 17)",4.238677101226147,8.155780307358661,0.5564538562148666,0.2194005273595222
19,"(4, 'donovan', 19)",3.8586233521698157,7.438757252938247,0.5101383232047456,0.19927594072817537
20,"(4, 'donovan', 21)",4.986259366672409,7.534489061825436,0.6545965135843278,0.20268702824885404
21,"(4, 'elcajon', 11)",1.9426443878016173,1.8499483996889365,0.10044114922263037,0.10416819655554639
22,"(4, 'elcajon', 12)",3.0647063276249686,3.175697311299632,0.15845546797417964,0.17881939938433117
23,"(4, 'elcajon', 13)",2.6632537056916745,3.204061573855017,0.13766051004944457,0.18064393972422496
26,"(4, 'shafter', 15)",2.888685409815245,3.7574125693193494,0.23272152570477028,0.19031491265281636
24,"(4, 'shafter', 18)",2.511920194119934,2.8245117938517064,0.20352201226694852,0.14097697530098918
25,"(4, 'shafter', 20)",2.5426985796647643,2.8955426582826878,0.20612366056025325,0.14431626310328435
