,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",4.94352244813254,6.128110470141339,0.46540130647094,0.14272922057540888
0,"(2, 'donovan', 18)",4.621393725856767,5.423360329191606,0.4445725934630282,0.12729511692041087
1,"(2, 'donovan', 20)",4.805166483903125,6.196834868555211,0.46277740206937035,0.1453268137705452
6,"(2, 'elcajon', 17)",2.6730860766885485,4.507518278099732,0.2374408085452536,0.11818087065918795
7,"(2, 'elcajon', 19)",2.6137079527443263,5.237513871015848,0.2322183655786655,0.13719847954975598
8,"(2, 'elcajon', 21)",2.453087659129586,4.38908948493633,0.21843426321890563,0.1150056579400917
3,"(2, 'shafter', 11)",3.865946134744387,5.540371641434066,0.2879637305194525,0.17559332247377718
4,"(2, 'shafter', 12)",3.6254117268533737,5.401269126133943,0.26971068921032426,0.17080646131043575
5,"(2, 'shafter', 13)",3.8833375791089146,5.933890616706182,0.2863625150735532,0.1889322512845784
9,"(3, 'donovan', 11)",3.067881173078806,3.9986935786116566,0.2587078622753024,0.13369535237439223
10,"(3, 'donovan', 12)",2.9201865847013435,4.284056013971739,0.24618485831746112,0.14329099870865322
11,"(3, 'donovan', 13)",3.262155064505989,4.462573399871351,0.2778556370447871,0.15000375754324646
17,"(3, 'elcajon', 15)",2.351234542953737,3.4123174016963507,0.14821483571296054,0.15130155835045847
15,"(3, 'elcajon', 18)",2.5256406459217127,3.0821084882258565,0.15836523452236503,0.13692412769163792
16,"(3, 'elcajon', 20)",2.2581393440737094,3.331333403824555,0.14154232391861898,0.1480706394822819
12,"(3, 'shafter', 17)",2.958481886591475,3.6104453754128314,0.21613694844974288,0.15832367425743854
13,"(3, 'shafter', 19)",3.054746696120371,3.772121337001124,0.2195338852121457,0.16488874330333433
14,"(3, 'shafter', 21)",2.582900888702186,3.6636693815649433,0.18869823701215968,0.16065763013725554
18,"(4, 'donovan', 17)",4.555576853563359,8.545405424585091,0.5980564801020618,0.22988192251368855
19,"(4, 'donovan', 19)",4.1015319138021376,7.262605502917028,0.542252617608087,0.19455703345605976
20,"(4, 'donovan', 21)",7.124238907242101,11.418512148678827,0.9352706322885684,0.30717202924420006
24,"(4, 'elcajon', 11)",2.3883048673699405,2.695114886253711,0.12348327212069014,0.1517584259421842
25,"(4, 'elcajon', 12)",3.0180172786265795,3.1682130992530353,0.15604148949877955,0.17839797310473096
26,"(4, 'elcajon', 13)",2.724693461603635,3.2942366560736414,0.14083626011714506,0.185727981257587
23,"(4, 'shafter', 15)",2.8792159373374315,3.7439079451418587,0.23195863540346984,0.18963089637210917
21,"(4, 'shafter', 18)",2.5326331379338094,2.7944310069549956,0.20520022641357635,0.1394755836762125
22,"(4, 'shafter', 20)",2.547017910428101,2.8492876196376336,0.2064738067691786,0.14201087336645646
