,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",0.02884294354983652,-0.0028602443574374803,0.0038637035534297426,0.00011577167618959106
0,"(2, 'donovan', 18)",-0.23997005820817652,-0.134267075275754,-0.018792278187528044,-0.003407818624681813
1,"(2, 'donovan', 20)",-0.12814889533331097,-0.04613045277609196,-0.005399650482401208,-0.0019789892043444723
3,"(2, 'elcajon', 17)",-0.04202950836037367,-0.09430676580818886,-0.00394480372011366,-0.0007735543525003857
4,"(2, 'elcajon', 19)",-0.02443576172600892,-0.09303118777471031,-0.002329399405167659,-0.0010972712435383947
5,"(2, 'elcajon', 21)",-0.07218906353965959,-0.08681497173449859,-0.0036567795823104488,-0.0009332454342065588
6,"(2, 'shafter', 11)",0.06723913066293141,-0.011765214892645481,0.007690057246216853,-0.0006650629426831756
7,"(2, 'shafter', 12)",0.05413050030586053,-0.057093719062233816,0.003405310493547198,-0.003221537845061795
8,"(2, 'shafter', 13)",-0.1015757483232389,-0.16628343949042979,-0.008840649624533403,-0.003609588709626771
9,"(3, 'donovan', 11)",-0.08504985885551175,-0.10627778610936556,-0.0034423030085110606,-0.004121470118946341
10,"(3, 'donovan', 12)",-0.110713074843249,-0.07846914790275461,-0.006366379842866199,-0.00292864856897955
11,"(3, 'donovan', 13)",-0.10685149450430265,-0.1434427673637213,-0.0050268358225559195,-0.004806173028633537
14,"(3, 'elcajon', 15)",-0.01778017211057259,-0.06194422501503771,-0.00022377614941981872,-0.0033058145613599488
12,"(3, 'elcajon', 18)",-0.035746627607757375,-0.05436177902247552,-0.0021095983350689074,-0.0022049745527732423
13,"(3, 'elcajon', 20)",-0.027620205723624558,-0.03260861492280531,-0.0018671693169168835,-0.0008600895566178435
15,"(3, 'shafter', 17)",-0.016286170818502477,-0.03817559763026823,-0.0011872851407144502,-0.0031370327722962388
16,"(3, 'shafter', 19)",0.021652003775787687,0.05790457198511456,0.003190150321981139,0.001416304451001743
17,"(3, 'shafter', 21)",0.008710216192757692,-0.012572833491644175,0.0006385270098445139,-0.0020539861176101515
18,"(4, 'donovan', 17)",-0.17498038702800578,-0.23481753506589875,0.00707012362836712,-0.011894654462317883
19,"(4, 'donovan', 19)",-0.04192296964269637,0.17424946164570088,0.03960213449169131,-0.004873619516540584
20,"(4, 'donovan', 21)",0.5512443495811574,0.6270081160483976,0.101353113305364,0.012333145698376985
21,"(4, 'elcajon', 11)",-0.037176665794699026,-0.0019192442434783352,-0.0020143999304522986,0.0009179786573298154
22,"(4, 'elcajon', 12)",0.10013723646274819,0.05784244832462537,0.004958330721912152,0.005623873565780535
23,"(4, 'elcajon', 13)",-0.10812507662253079,-0.06391299637328895,-0.005338567451860982,-0.003985340250117625
26,"(4, 'shafter', 15)",-0.030459383956547015,-0.011442700356497415,-0.0011187044915290933,-0.0013899877157414475
24,"(4, 'shafter', 18)",-0.003839072308284397,-0.014339824799653123,0.00047443881255920806,-0.0005822297798305787
25,"(4, 'shafter', 20)",-0.039993728717836685,-0.04760765370358033,-0.0019554322797022683,-0.003224948368394237
