,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.0661675250594067,0.03783748024424316,0.0073969448862810094,0.001063827272476392
6,"(2, 'donovan', 18)",-0.22741295885297674,-0.11858857953243707,-0.017580196740792975,-0.0030424132464806075
7,"(2, 'donovan', 20)",-0.06483445250183006,0.13114842746613675,0.001737745689777137,0.0016886196344316484
3,"(2, 'elcajon', 17)",-0.011133212989876462,-0.02606805168161852,-0.001201767404160392,0.0010345662659102944
4,"(2, 'elcajon', 19)",0.007880227183983735,-0.0870125792771681,0.0005376791359374966,-0.0008980424251971153
5,"(2, 'elcajon', 21)",-0.08370091159456639,-0.12075627487637774,-0.004642944779999103,-0.00180840213477923
0,"(2, 'shafter', 11)",0.05796443252265604,-0.013210572208933513,0.007025260069038086,-0.0007117345652752349
1,"(2, 'shafter', 12)",-0.01724879999425788,-0.10689404778858247,-0.001667788723397734,-0.004048704259831032
2,"(2, 'shafter', 13)",-0.06885167217413368,-0.09457502811075535,-0.006442291884060758,-0.0012737685787558295
15,"(3, 'donovan', 11)",-0.06167111013216697,-0.06965174094594984,-0.0014461581125743694,-0.002901245361236815
16,"(3, 'donovan', 12)",-0.06628454010171136,-0.05000581891424627,-0.002250016286651002,-0.002027283193914986
17,"(3, 'donovan', 13)",-0.09483255734933715,-0.13050260788421753,-0.003921438816578193,-0.004370980822769904
14,"(3, 'elcajon', 15)",-0.03388018063464937,-0.06890712380983155,-0.0012055249007291713,-0.0036265760597724017
12,"(3, 'elcajon', 18)",-0.04265500097610042,-0.04560627161689235,-0.0025413201884443015,-0.0018197939724866052
13,"(3, 'elcajon', 20)",-0.03393486342452556,-0.029432192087679,-0.0022415745673377563,-0.0008189760833241799
9,"(3, 'shafter', 17)",-0.027662691928576066,-0.032429224377749755,-0.0020183720579092235,-0.002908666544762878
10,"(3, 'shafter', 19)",0.037262342455602226,0.0758747870372245,0.004315206329800786,0.0022035803916283514
11,"(3, 'shafter', 21)",-0.0015156393522337552,-0.02283451839164119,-0.00010850417822966252,-0.0025148688534188945
24,"(4, 'donovan', 17)",-0.1356548283961665,-0.10878148827117151,0.01176056086988797,-0.008447910918686685
25,"(4, 'donovan', 19)",-0.019088356757233527,0.20804256164091228,0.03936308692803708,-0.0038052411008107356
26,"(4, 'donovan', 21)",0.6556422238746644,0.8700513191822328,0.11136352274606859,0.019217363562764406
21,"(4, 'elcajon', 11)",-0.03107763873276559,-0.02802254106987201,-0.0017020682584237556,-0.0005268920069562699
22,"(4, 'elcajon', 12)",-0.033984048592782035,-0.026097660150976587,-0.0018752124527655067,-0.00025068578069992187
23,"(4, 'elcajon', 13)",-0.08234915264277332,-0.03614085393050548,-0.004004821974687822,-0.0024220434451880657
20,"(4, 'shafter', 15)",-0.03412065108476403,-0.002856478516188865,-0.001406541300533054,-0.0009631764263560161
18,"(4, 'shafter', 18)",-0.002541378844652886,-0.002252430365232261,0.0005887762190497636,2.1063050561459518e-05
19,"(4, 'shafter', 20)",-0.0067093325118223746,0.01001084132823582,0.0020779343404125905,-0.0015933537409479337
