,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",0.009567313588842552,0.06472517952916146,0.0020763154810124473,0.0016902228807927633
3,"(2, 'donovan', 18)",-0.2055276378007278,-0.11925760062823976,-0.015499002088687874,-0.00305727409565254
4,"(2, 'donovan', 20)",-0.1479092373680393,-0.09984990656090442,-0.007448188536149036,-0.0031918558667204944
0,"(2, 'elcajon', 17)",-0.06516842718638527,-0.07022197237323802,-0.0060068520262057945,-0.00014124491063244315
1,"(2, 'elcajon', 19)",0.010492102125974512,-0.053225127307821474,0.0007716063429955566,-2.1604330148028428e-05
2,"(2, 'elcajon', 21)",-0.06838514689176822,-0.06342990948210403,-0.0032843455412307487,-0.0003170286331635741
6,"(2, 'shafter', 11)",0.053737270071082754,-0.009776042839353849,0.006688956513013988,-0.0006013635257428318
7,"(2, 'shafter', 12)",-0.0036153119224708874,-0.10353876112135207,-0.0006515313863362238,-0.003934859387830197
8,"(2, 'shafter', 13)",-0.07632846408750815,-0.14234883977456736,-0.006976896678971889,-0.002827275354435471
12,"(3, 'donovan', 11)",-0.08630428189800687,-0.12165272465755361,-0.0035092522834784257,-0.004646027786622903
13,"(3, 'donovan', 12)",-0.07779054159169307,-0.03907297461807602,-0.0032510808877126707,-0.0016643288465128803
14,"(3, 'donovan', 13)",-0.10040859133035474,-0.12904631991735904,-0.004499037115949955,-0.00432215491449503
11,"(3, 'elcajon', 15)",-0.006320126549177019,-0.06689497291046909,0.0004984237545006542,-0.0035282524281814165
9,"(3, 'elcajon', 18)",-0.0459551858841909,-0.06089857343461125,-0.0027479317891212773,-0.0024951393646128472
10,"(3, 'elcajon', 20)",-0.043783600944375944,-0.03818904623421471,-0.002870891234578149,-0.0011361353799034246
15,"(3, 'shafter', 17)",-0.014930946242154963,-0.010137544756029016,-0.0010882397164280466,-0.0019194166874601515
16,"(3, 'shafter', 19)",0.022628313126112243,0.06343646628271227,0.0032830704032272007,0.0016632317647178319
17,"(3, 'shafter', 21)",0.014217130451481985,-0.002438112332102893,0.0010408809583766498,-0.0016281189612472047
21,"(4, 'donovan', 17)",-0.2112929283840721,-0.20469232348944644,0.002373926045510788,-0.011142313705043927
22,"(4, 'donovan', 19)",-0.19383548953806695,0.03919324400215096,0.02076836409388516,-0.008656299273041207
23,"(4, 'donovan', 21)",0.57462467321669,0.4687925761944127,0.10117160542170911,0.008159497279189076
18,"(4, 'elcajon', 11)",-0.04001484908094666,-0.008487140761769485,-0.0021627433602062207,0.0005619973133046408
19,"(4, 'elcajon', 12)",-0.040455175017706235,-0.03496319481615995,-0.0022095349206338877,-0.0007409571518951219
20,"(4, 'elcajon', 13)",-0.08331745948733493,-0.06172098296804185,-0.004054111580599068,-0.003867056842622646
26,"(4, 'shafter', 15)",-0.02990765211079971,-0.00863918752628079,-0.0010471700236270032,-0.001245652041329287
24,"(4, 'shafter', 18)",-0.003977874198357156,-0.016674502171567962,0.00047330512659862767,-0.0006995977782414953
25,"(4, 'shafter', 20)",-0.03683367406002436,-0.01830983650311424,-0.0008535710300175969,-0.0027033355859940045
